SampleName,Sample,Date,Project,contributing PI,MetaG Number_of_reads,MetaG Size_bp,Number_of_Bins_Medium_and_High_Quality,Country,GROW_version,has_MetaT,MetaT_bp,has_FTICR,Latitude,Longitude,MetaG_JGI_accession,MetaT sequencing location,MetaT_accession,MetaG mapping,Removed from mapping analysis
augustacreek_2019_sw_WHONDRS-S19S_0067,S19S_0067,8/12/19,WHONDRS,James Stegen,NA,NA,NA,USA,v1,Y,18022158946,Y,42.3921,-85.35412,NA,JGI,3300042578,NA,NA
cachelapoudre_2019_sw_WHONDRS-S19S_0077,S19S_0077,8/18/19,WHONDRS,James Stegen,NA,NA,NA,USA,v1,Y,10052424850,Y,40.66403,-105.223141,NA,UC Denver,TBD,NA,NA
cartcreek_2019_sw_WHONDRS-S19S_0073,S19S_0073,8/12/19,WHONDRS,James Stegen,NA,NA,NA,USA,v1,Y,10700839990,Y,42.7688065,-70.9164986,NA,UC Denver,TBD,NA,NA
kingscreed_2019_sw_WHONDRS-S19S_0040,S19S_0040,8/5/19,WHONDRS,James Stegen,NA,NA,NA,USA,v1,Y,8300571472,Y,39.087889,-96.584725,NA,UC Denver,TBD,NA,NA
sawmillbrook_2019_sw_WHONDRS-S19S_0072,S19S_0072,8/12/19,WHONDRS,James Stegen,NA,NA,NA,USA,v1,Y,8766472308,Y,42.5235645,-71.1848201,NA,UC Denver,TBD,NA,NA
providencecreek_2019_sw_WHONDRS-S19S_0007,S19S_0007,7/29/19,WHONDRS,James Stegen,324902932,49060342732,14,USA,v1,Y,8530812648,Y,37.05255,-119.195598,3300043393,UC Denver,TBD,83.465439,No
altamaha_2019_sw_WHONDRS-S19S_0010,S19S_0010,7/31/19,WHONDRS,James Stegen,250282804,37792703404,80,USA,v1,Y,14003601684,Y,31.667875,-81.840062,3300043395,JGI,3300041982,85.533524,No
teakettle_2019_sw_WHONDRS-S19S_0008,S19S_0008,7/29/19,WHONDRS,James Stegen,233972266,35329812166,1,USA,v1,Y,7580638806,Y,36.961112,-119.027785,3300043441,UC Denver,TBD,65.041237,No
yakimariver_2019_sw_WHONDRS-S19S_0060,S19S_0060,8/19/19,WHONDRS,James Stegen,229758236,34693493636,34,USA,v1,N,NA,Y,46.2531882,-119.4768203,3300043447,NA,NA,69.254225,No
stroublescreek_2019_sw_WHONDRS-S19S_0089,S19S_0089,8/26/19,WHONDRS,James Stegen,221306914,33417344014,57,USA,v1,Y,37230804922,Y,37.21008,-80.44539,3300043425,JGI,3300041988,79.207016,No
teakettle2_2019_sw_WHONDRS-S19S_0032,S19S_0032,8/26/19,WHONDRS,James Stegen,211104136,31876724536,8,USA,v1,Y,8883608142,Y,36.95545,-119.02313,3300043405,UC Denver,TBD,74.681705,No
blueriver_2019_sw_WHONDRS-S19S_0024,S19S_0024,8/18/19,WHONDRS,James Stegen,210080280,31722122280,82,USA,v1,Y,8400441664,Y,34.44205,-96.6227,3300043443,UC Denver,TBD,84.317123,No
guil_2019_sw_WHONDRS-S19S_0049,S19S_0049,8/13/19,WHONDRS,James Stegen,202544480,30584216480,34,USA (Puerto Rico),v1,Y,9285878786,Y,18.17443,-66.80038,3300043413,UC Denver,TBD,86.297178,No
comocreek_2019_sw_WHONDRS-S19S_0026,S19S_0026,8/5/19,WHONDRS,James Stegen,201864702,30481570002,19,USA,v1,Y,8994388084,Y,40.03489,-105.54327,3300042989,UC Denver,TBD,83.502167,No
sharkriverslough_2019_sw_WHONDRS-S19S_0042,S19S_0042,8/5/19,WHONDRS,James Stegen,200041998,30206341698,109,USA,v1,Y,9029522462,Y,25.40976,-80.96434,3300044681,UC Denver,TBD,92.2897873,No
NASQAN2011_188,NASQAN2011_188,2/9/11,NASQAN,Byron Crump,199401784,30109669384,3,USA,v1,N,NA,N,30.75852,-91.39595,3300045578,NA,NA,37.55795,No
whiteclaycreek2_2019_sw_WHONDRS-S19S_0038,S19S_0038,8/12/19,WHONDRS,James Stegen,199284612,30091976412,30,USA,v1,Y,10005948560,Y,39.8594333,-75.7839486,3300044540,UC Denver,TBD,77.18109,No
marthacreek_2019_sw_WHONDRS-S19S_0030,S19S_0030,8/13/19,WHONDRS,James Stegen,197725612,29856567412,7,USA,v1,Y,7406534900,Y,45.792348,-121.929131,3300043403,UC Denver,TBD,77.875656,No
sycamorecreek_2019_sw_WHONDRS-S19S_0028,S19S_0028,8/6/19,WHONDRS,James Stegen,193590886,29232223786,16,USA,v1,Y,12334769012,Y,33.750675,-111.507871,3300043445,JGI,3300041983,90.854364,No
lewisrun_2019_sw_WHONDRS-S19S_0014,S19S_0014,8/19/19,WHONDRS,James Stegen,192437590,29058076090,39,USA,v1,N,NA,Y,39.0941,-77.9808,3300043399,NA,NA,76.412762,No
riogrande_2019_sw_WHONDRS-S19S_0066,S19S_0066,8/18/19,WHONDRS,James Stegen,190523662,28769072962,100,USA,v1,Y,9634328198,Y,35.19845,-106.643178,3300043449,UC Denver,TBD,80.174137,No
NASQAN2011_332,NASQAN2011_332,8/17/11,NASQAN,Byron Crump,188271024,28428924624,30,USA,v1,N,NA,N,38.13088,-87.94142,3300045581,NA,NA,73.13782,No
NASQAN2015_010,NASQAN2015_010,2/3/15,NASQAN,Byron Crump,188021772,28391287572,14,USA,v1,N,NA,N,61.93369,-162.88294,3300047277,NA,NA,77.353138,No
oksrukuyikcreek_2019_sw_WHONDRS-S19S_0050,S19S_0050,8/13/19,WHONDRS,James Stegen,187055322,28245353622,16,USA,v1,Y,9505598282,Y,68.66953,-149.14198,3300043414,UC Denver,TBD,63.48793,No
poseycreek_2019_sw_WHONDRS-S19S_0013,S19S_0013,8/19/19,WHONDRS,James Stegen,185090406,27948651306,4,USA,v1,Y,8686811352,Y,38.8952,-78.1476,3300043398,UC Denver,TBD,76.391815,No
farmington_2019_sw_WHONDRS-S19S_0053,S19S_0053,8/25/19,WHONDRS,James Stegen,183041168,27639216368,64,USA,v1,Y,13673281030,Y,41.869567,-72.7966519,3300046786,UC Denver,TBD,70.1833,No
eastriver_2019_sw_WHONDRS-S19S_0100,S19S_0100,8/20/19,WHONDRS,James Stegen,177268274,26767509374,51,USA,v1,N,NA,Y,38.92352,-106.950961,3300043429,NA,NA,78.9926,No
NASQAN2015_114,NASQAN2015_114,2/17/15,NASQAN,Byron Crump,175370218,26480902918,5,USA,v1,N,NA,N,38.92956,-77.11692,3300047393,NA,NA,71.709806,No
marshallgulch_2019_sw_WHONDRS-S19S_0035,S19S_0035,8/12/19,WHONDRS,James Stegen,173688248,26226925448,11,USA,v1,Y,7452985218,Y,32.42735,-110.757838,3300043406,UC Denver,TBD,75.680655,No
crookedriver_2019_sw_WHONDRS-S19S_0041,S19S_0041,8/5/19,WHONDRS,James Stegen,173378712,26180185512,42,USA,v1,N,NA,Y,44.299994,-120.858196,3300043409,NA,NA,77.015722,No
pringlecreek_2019_sw_WHONDRS-S19S_0025,S19S_0025,8/6/19,WHONDRS,James Stegen,173277820,26164950820,86,USA,v1,Y,7758527376,Y,33.37853,-97.78275,3300043444,UC Denver,TBD,87.887263,No
king_2019_sw_WHONDRS-S19S_0016,S19S_0016,8/12/19,WHONDRS,James Stegen,172104556,25987787956,15,USA,v1,Y,10570796676,Y,39.10445,-96.6025,3300043400,UC Denver,TBD,74.34652,No
cariboucreek_2019_sw_WHONDRS-S19S_0051,S19S_0051,8/14/19,WHONDRS,James Stegen,171991374,25970697474,2,USA,v1,Y,10404070026,Y,65.1531,-147.50267,3300044804,UC Denver,TBD,65.152233,No
