TermID,Name,Value,LogSize,Frequency,Uniqueness,Dispensability,PC_0,PC_1,Representative
GO:0000160,phosphorelay signal transduction system,1239,5.876423388797577,2.5024686913261722,0.911757098,0.01255158,0.17025091686163252,-5.492117914,null
GO:0007165,signal transduction,750,6.388453966952047,8.135788134528843,0.9002294722006667,0.79100692,null,null,160
GO:0007186,G protein-coupled receptor signaling pathway,2,5.678597582760593,1.5868742522745753,0.9155631711417375,0.58860726,null,null,160
GO:0035556,intracellular signal transduction,28,6.0572076090390246,3.7944870018179575,0.9079709216108696,0.66233911,null,null,160
GO:0000413,protein peptidyl-prolyl isomerization,26,4.762205758054881,0.19237298779371506,0.8347798355404952,0.48275232,8.084914439,-0.872725089,null
GO:0017186,"peptidyl-pyroglutamic acid biosynthetic process, using glutaminyl-peptide cyclotransferase",3,3.607776603741693,0.013477684254445906,0.8626535242507194,0.50234008,null,null,413
GO:0001514,selenocysteine incorporation,1,3.6506959797606107,0.014878006335176835,0.7734167002922132,0.35742736,5.956610808,-0.287829124,null
GO:0001522,pseudouridine synthesis,53,5.003774937097418,0.33551850101541647,0.7932906644278063,0.44891187,7.355893782,3.2846584458096197,null
GO:0001558,regulation of cell growth,93,4.272908612690247,0.062349257,0.9710216132870947,0.228591,1.1173945315510307,-6.220152581,null
GO:0051495,positive regulation of cytoskeleton organization,1,3.9175055095525466,0.027504188326755476,0.9699971137368455,0.64321704,null,null,1558
GO:1902208,regulation of bacterial-type flagellum assembly,82,3.6790643181213127,0.015882512910903063,0.9717056294391408,0.59491352,null,null,1558
GO:1902209,negative regulation of bacterial-type flagellum assembly,12,3.0236639181977933,0.003509121,0.9685546761576552,0.81986085,null,null,1558
GO:0005975,carbohydrate metabolic process,907,6.220115151808519,5.521546466478484,0.9233050406698128,0.09441481,1.6066503014704925,8.575832248,null
GO:0005976,polysaccharide metabolic process,163,5.526004379634945,1.1167319130275588,0.8561894809080263,0.13749988,2.4300651264527007,5.978443741493887,null
GO:0005996,monosaccharide metabolic process,32,5.436522024142947,0.908795726,0.7958095478088267,0.59519536,null,null,5976
GO:0016051,carbohydrate biosynthetic process,23,5.460651322,0.9607174066221332,0.8289907267991559,0.59881341,null,null,5976
GO:0016052,carbohydrate catabolic process,1,5.599383018287246,1.3222932073535736,0.8191381688043228,0.62049982,null,null,5976
GO:0006011,UDP-glucose metabolic process,27,4.254620574310027,0.059778119797853364,0.7640365804723872,0.43934398,4.3855628519548056,-0.578936307,null
GO:0006040,amino sugar metabolic process,3,4.910389588,0.27060143201393055,0.8980516177294635,0.32757242,5.971293619240817,-5.37359624,null
GO:0006051,N-acetylmannosamine metabolic process,4,3.230959555748569,0.005657833,0.9199639148687625,0.03130017,5.734171459706973,-5.589457455,null
GO:0006071,glycerol metabolic process,43,4.622690552512651,0.13951665006237254,0.8065219536317371,0.49443582,1.440106068183828,1.0495037777494591,null
GO:0006021,inositol biosynthetic process,11,3.950997333988805,0.029709446,0.8182715948573085,0.78397015,null,null,6071
GO:0006729,tetrahydrobiopterin biosynthetic process,1,4.1038379160256095,0.042242495071930654,0.7467906265678477,0.85424956,null,null,6071
GO:0009712,catechol-containing compound metabolic process,34,4.279894980011638,0.063360416,0.8663567052170265,0.62761176,null,null,6071
GO:0045151,acetoin biosynthetic process,1,3.097951071,0.004164378,0.8249354839411778,0.57245332,null,null,6071
GO:0006109,regulation of carbohydrate metabolic process,9,4.302179353813202,0.066696576,0.9729199249562381,0.29996098,2.3329424130013954,-6.442969231,null
GO:0006139,nucleobase-containing compound metabolic process,32,6.851645187818115,23.636924490908086,0.7799262427018933,0.35376162,4.839421631836033,3.8456748787008754,null
GO:0016070,RNA metabolic process,2,6.609374431919826,13.53069692267082,0.7588888376756666,0.56955197,null,null,6139
GO:0006259,DNA metabolic process,9,6.241746897108298,5.803533415077551,0.7813371574362121,0.4571446,6.301156248967359,3.7344798710946594,null
GO:0006270,DNA replication initiation,1123,4.560062129651679,0.12078027409857843,0.8252585892849883,0.49569685,6.7474991601520875,5.312860460158642,null
GO:0006269,"DNA replication, synthesis of RNA primer",1,4.584161544942867,0.12767212053866034,0.7666097300439619,0.78227907,null,null,6270
GO:0006274,DNA replication termination,11,3.441852175773292,0.00919689,0.8531705275962387,0.65376713,null,null,6270
GO:0006276,plasmid maintenance,641,3.050379756261458,0.003731975,0.9923694778608921,0.00683766,-6.166531751,-0.613810589,null
GO:0006303,double-strand break repair via nonhomologous end joining,4,4.1062929121756575,0.04248198,0.8073333456463633,0.45203948,2.7233314982275236,2.615628127123488,null
GO:0006310,DNA recombination,3464,5.697388903585554,1.6570433606239807,0.7860368895110297,0,6.564507481799246,4.221900067566301,null
GO:0000723,telomere maintenance,84,4.570764700328436,0.1237937938257571,0.7970943559337184,0.68025865,null,null,6310
