seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_1032653	6068	No terminal repeats	7	11	0.9989	0.0011	1	6.1922	NA	NA
k121_322530	5422	No terminal repeats	5	11	0.9989	0.0011	2	4.9328	MOBP1	NA
k121_1830600	1810	No terminal repeats	1	11	0.9989	0.0011	1	1.7183	MOBP1	NA
k121_17925	6304	No terminal repeats	6	11	0.9989	0.0011	1	5.4153	NA	NA
k121_1557314	1462	No terminal repeats	1	11	0.9988	0.0011	1	1.7183	MOBP1	NA
k121_319520	1518	No terminal repeats	3	11	0.9988	0.0012	2	4.4834	T_virB6	NA
k121_129797	1947	No terminal repeats	2	11	0.9988	0.0012	2	3.2146	MOBP1	NA
k121_513377	1411	No terminal repeats	2	11	0.9988	0.0012	2	3.2146	MOBP1	NA
k121_1765957	1330	No terminal repeats	3	11	0.9988	0.0012	2	4.4834	T_virB6	NA
k121_1469215	1239	No terminal repeats	2	11	0.9987	0.0012	2	2.7964	T_virB8;T_virB6	NA
k121_1664631	1379	No terminal repeats	3	11	0.9987	0.0012	3	4.9288	F_traL;F_traE	NA
k121_1487648	2284	No terminal repeats	4	11	0.9987	0.0012	3	3.8069	T_virB9;T_virB8;T_virB6	NA
k121_1895487	3995	DTR	7	11	0.9987	0.0012	1	2.6836	NA	NA
k121_520310	3791	No terminal repeats	5	11	0.9987	0.0012	4	5.0113	T_virB3;virb4;T_virB6	NA
k121_36765	1403	No terminal repeats	3	11	0.9987	0.0012	1	3.2390	NA	NA
k121_1743191	1535	No terminal repeats	2	11	0.9987	0.0012	2	3.1823	MOBP1	NA
k121_1567022	1906	No terminal repeats	3	11	0.9987	0.0012	2	2.5626	T_virB9;T_virB8	NA
k121_968886	2869	No terminal repeats	3	11	0.9986	0.0012	1	2.0896	NA	NA
k121_437370	1599	No terminal repeats	4	11	0.9986	0.0012	2	4.1940	T_virB3;T_virB2	NA
k121_425332	1295	No terminal repeats	3	11	0.9986	0.0013	3	4.1500	F_traW	NA
k121_1384234	1016	No terminal repeats	3	11	0.9986	0.0013	3	4.9288	F_traL;F_traE	NA
k121_1259723	1164	No terminal repeats	2	11	0.9985	0.0013	2	2.8738	MOBP1	NA
