,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
0,k121_353260,78622,,66,0.0,no,0,0,1,0,0,0,0,0
16,k121_817495,11849,,14,0.0,no,0,1,0,0,0,1,0,0
18,k121_480478,10047,,10,-0.0,no,0,1,0,0,0,0,0,0
28,k121_806947,6448,,8,0.2,no,0,0,1,0,0,0,0,0
55,k121_1500410,4014,,3,0.0,no,0,0,1,0,0,0,0,0
56,k121_290504,3919,,6,0.1,no,0,0,1,0,0,0,0,0
58,k121_1703219,3736,,4,0.0,yes,0,1,0,0,0,0,0,0
71,k121_959163,2798,,3,0.0,no,0,0,1,0,0,0,0,0
74,k121_1315942,2762,,4,0.0,no,0,0,1,0,0,0,0,0
75,k121_1873073,2738,,3,0.0,yes,0,0,1,0,0,0,0,0
77,k121_1332350,2674,,4,1.6,yes,0,0,0,0,0,0,0,0
85,k121_1219171,2543,,2,0.0,no,0,0,1,0,0,0,0,0
93,k121_63996,2227,,3,0.5,no,0,0,0,0,0,0,0,1
101,k121_651812,2008,,2,0.0,no,0,0,1,0,0,0,0,0
109,k121_153951,1885,,1,0.0,no,0,0,1,0,0,0,0,0
114,k121_1762211,1729,,2,0.0,no,0,0,1,0,0,0,0,0
119,k121_946442,1670,,1,0.9,no,0,0,0,0,0,0,0,1
120,k121_898728,1669,,1,0.7,no,0,0,0,0,0,0,0,1
124,k121_744781,1621,,2,0.0,no,0,0,1,0,0,0,0,0
126,k121_860409,1605,,1,0.0,no,0,0,1,0,0,0,0,0
129,k121_270803,1573,,1,0.0,no,0,1,0,0,0,0,0,0
143,k121_999361,1462,,2,0.0,no,0,0,1,0,0,0,0,0
145,k121_1329286,1442,,2,9.0,no,0,0,0,0,0,0,0,1
148,k121_155978,1435,,1,0.1,no,0,0,0,0,0,0,0,1
149,k121_1774874,1422,,2,1.0,no,0,0,0,0,0,0,0,0
162,k121_675576,1311,,2,0.1,no,0,0,0,0,0,0,0,1
168,k121_950566,1290,,1,0.1,no,0,0,0,0,0,0,0,1
171,k121_511451,1268,,2,0.0,no,0,0,1,0,0,0,0,0
176,k121_1255311,1225,,1,3.3,no,0,0,0,0,0,0,0,0
188,k121_152085,1201,,1,0.1,no,0,0,0,0,0,0,0,1
212,k121_1481364,1113,,1,0.1,no,0,0,0,0,0,0,0,1
224,k121_1820921,1073,,1,0.2,no,0,0,0,0,0,0,0,1
230,k121_596559,1052,,1,0.1,no,0,0,0,0,0,0,0,1
232,k121_1170417,1048,,1,0.0,no,0,0,1,0,0,0,0,0
246,k121_898021,1003,,1,0.1,no,0,0,0,0,0,0,0,1
