seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_1896373	3651	DTR	5	11	0.9991	0.0009	3	5.1113	MOBQ	NA
k121_1539065	1941	No terminal repeats	2	11	0.9990	0.0009	2	2.7339	MOBP1	NA
k121_1285457	3348	No terminal repeats	7	11	0.9990	0.0009	1	3.1858	NA	NA
k121_1846479	3755	No terminal repeats	6	11	0.9990	0.0010	1	3.6146	MOBC	NA
k121_1304125	1198	No terminal repeats	2	11	0.9990	0.0010	1	2.8336	NA	NA
k121_1896704	1712	DTR	2	11	0.9990	0.0010	2	1.8665	NA	NA
k121_473358	4304	No terminal repeats	6	11	0.9990	0.0010	1	2.0206	MOBQ	NA
k121_1529952	7817	No terminal repeats	8	11	0.9990	0.0010	1	2.0759	MOBQ	NA
k121_1377649	1128	No terminal repeats	1	11	0.9990	0.0010	1	1.7183	MOBP1	NA
k121_558918	1288	No terminal repeats	2	11	0.9990	0.0010	1	1.7183	MOBC	NA
k121_508730	1765	No terminal repeats	2	11	0.9990	0.0010	1	1.7134	NA	NA
k121_670542	1923	No terminal repeats	3	11	0.9989	0.0010	2	3.0347	MOBQ	NA
k121_1539831	3888	No terminal repeats	5	11	0.9989	0.0010	2	2.9367	MOBP1	NA
k121_217934	4483	No terminal repeats	5	11	0.9989	0.0010	2	3.2465	MOBP1	NA
k121_1845069	4505	No terminal repeats	5	11	0.9989	0.0010	4	4.4164	T_virB2;T_virB3;virb4;T_virB5	NA
k121_1895994	4456	DTR	8	11	0.9989	0.0010	1	2.5004	MOBV	NA
k121_455410	3816	No terminal repeats	4	11	0.9989	0.0010	2	2.9639	NA	NA
k121_393904	2741	No terminal repeats	2	11	0.9989	0.0010	1	1.6645	MOBP1	NA
k121_767176	2134	No terminal repeats	4	11	0.9989	0.0010	1	2.9983	T_virB2	NA
k121_1704490	2144	No terminal repeats	4	11	0.9989	0.0010	3	3.7668	T_virB5;T_virB6	NA
k121_368950	4260	No terminal repeats	7	11	0.9988	0.0010	2	4.2438	MOBQ	NA
k121_1270853	2569	No terminal repeats	3	11	0.9988	0.0011	2	2.1114	NA	NA
k121_1185034	2093	No terminal repeats	3	11	0.9987	0.0011	3	3.1284	T_virB9;T_virB8;T_virB6	NA
k121_187812	1299	No terminal repeats	1	11	0.9986	0.0011	1	1.6920	MOBQ	NA
k121_186058	1462	No terminal repeats	2	11	0.9986	0.0011	1	1.6808	MOBQ	NA
k121_1044817	1265	No terminal repeats	3	11	0.9986	0.0011	1	1.7183	NA	NA
k121_429396	1323	No terminal repeats	2	11	0.9985	0.0011	2	2.5290	T_virB8;T_virB9	NA
k121_740296	1146	No terminal repeats	2	11	0.9984	0.0011	1	1.5314	NA	NA
k121_810443	4294	No terminal repeats	6	11	0.9984	0.0012	4	4.1076	T_virB10;T_virB9;T_virB8	NA
k121_1879327	2589	No terminal repeats	4	11	0.9984	0.0012	1	1.6689	NA	NA
k121_731457	3191	No terminal repeats	4	11	0.9980	0.0012	2	2.6906	virb4;T_virB3	NA
k121_1897861	6313	DTR	6	11	0.9978	0.0012	1	1.7134	NA	NA
k121_1789585	1324	No terminal repeats	2	11	0.9977	0.0013	2	2.5290	T_virB8;T_virB9	NA
k121_979471	1669	No terminal repeats	2	11	0.9976	0.0013	1	1.7183	NA	NA
k121_1492890	1070	No terminal repeats	2	11	0.9974	0.0013	2	2.7797	T_virB6;T_virB5	NA
k121_65878	2262	No terminal repeats	2	4	0.9972	0.0014	1	1.7148	NA	NA
k121_820244	3223	No terminal repeats	4	11	0.9972	0.0014	3	3.3342	T_virB2;T_virB3;virb4	NA
k121_977037	1364	No terminal repeats	3	11	0.9971	0.0014	2	2.8371	T_virB3	NA
k121_351632	3050	No terminal repeats	5	11	0.9969	0.0015	2	1.5368	T_virB3;T_virB2;T_virB11	NA
