seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_432192	1136	No terminal repeats	2	11	0.9989	0.0011	1	2.8673	NA	NA
k121_977351	3620	No terminal repeats	6	11	0.9989	0.0011	1	6.5685	NA	NA
k121_466216	1534	No terminal repeats	3	11	0.9989	0.0011	1	3.5509	MOBV	NA
k121_981215	2422	DTR	4	11	0.9988	0.0011	1	3.7568	NA	NA
k121_32972	3661	No terminal repeats	6	11	0.9988	0.0012	1	2.9807	MOBV	NA
k121_75017	1619	No terminal repeats	1	11	0.9988	0.0012	1	1.6987	NA	NA
k121_484526	1470	No terminal repeats	3	11	0.9988	0.0012	2	3.0347	MOBQ	NA
k121_856253	1338	No terminal repeats	2	11	0.9988	0.0012	1	3.4366	NA	NA
k121_803124	6435	No terminal repeats	8	11	0.9988	0.0012	1	3.2811	NA	NA
k121_695068	4791	No terminal repeats	9	11	0.9988	0.0012	1	2.8167	NA	NA
k121_856366	1066	No terminal repeats	2	11	0.9987	0.0012	1	1.7297	NA	NA
k121_349471	1283	No terminal repeats	3	11	0.9987	0.0012	1	3.4321	NA	NA
k121_425609	1452	No terminal repeats	2	11	0.9987	0.0012	1	2.0215	NA	NA
k121_175530	5696	DTR	8	11	0.9986	0.0012	2	3.3473	MOBV;MOBV	NA
k121_980695	1601	DTR	2	11	0.9986	0.0012	1	1.6987	NA	NA
k121_981529	1513	DTR	2	15	0.9986	0.0013	2	1.9887	NA	NA
k121_947061	9942	No terminal repeats	13	11	0.9986	0.0013	4	7.1728	T_virB6;T_virB5	NA
k121_887233	1259	No terminal repeats	2	11	0.9986	0.0013	1	1.7134	NA	NA
k121_212692	1564	No terminal repeats	2	11	0.9985	0.0013	1	1.7183	MOBP1	NA
k121_97427	3225	No terminal repeats	4	11	0.9984	0.0013	1	2.6481	NA	NA
k121_955960	1378	No terminal repeats	3	11	0.9982	0.0013	1	2.3538	NA	NA
k121_58001	3336	No terminal repeats	4	11	0.9982	0.0013	1	1.5301	NA	NA
k121_812482	1202	No terminal repeats	2	11	0.9981	0.0014	1	1.5207	NA	NA
k121_871527	6607	No terminal repeats	6	11	0.9979	0.0014	1	4.2600	NA	NA
k121_666375	1171	No terminal repeats	1	11	0.9979	0.0014	1	1.7137	NA	NA
k121_450080	3106	No terminal repeats	4	11	0.9969	0.0015	2	2.4725	F_traH;F_traN	NA
k121_619623	6051	No terminal repeats	6	11	0.9961	0.0016	1	1.5314	NA	NA
k121_739761	1722	No terminal repeats	6	11	0.9960	0.0017	2	2.8600	T_virB2;T_virB3	NA
k121_51929	1333	No terminal repeats	2	11	0.9945	0.0018	1	1.5606	NA	NA
k121_250730	2118	No terminal repeats	3	11	0.9928	0.0020	1	2.3719	NA	NA
k121_861966	1522	No terminal repeats	2	11	0.9652	0.0030	1	1.5314	NA	NA
k121_757841	1684	No terminal repeats	3	11	0.9590	0.0042	1	1.6987	NA	NA
k121_147194	5603	No terminal repeats	5	11	0.9448	0.0058	1	3.4696	NA	NA
k121_470415	1842	No terminal repeats	2	11	0.9441	0.0072	2	2.2057	T_virB6;T_virB9	NA
k121_521169	1384	No terminal repeats	4	11	0.9303	0.0090	1	2.2753	NA	NA
k121_91956	1009	No terminal repeats	2	11	0.9298	0.0107	2	2.4740	F_traV;virb4	NA
k121_92859	1123	No terminal repeats	2	11	0.9085	0.0129	2	2.1819	G_tfc15;virb4	NA
k121_563182	2992	No terminal repeats	7	11	0.9020	0.0151	1	2.2336	NA	NA
k121_794108	2619	No terminal repeats	3	11	0.8644	0.0182	1	1.9762	NA	NA
k121_655755	2388	No terminal repeats	3	11	0.8615	0.0212	2	2.4974	F_traF;F_traN	NA
k121_30483	3466	No terminal repeats	4	11	0.8001	0.0256	2	1.9515	T_virB10;T_virB9	NA
