gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_2467740_1	353	1384	1032	1	0.433	11	AGGA	GENOMAD.098755.PP	7.911e-59	210	0	0	0	1	NA	I_traE	NA	COG5606;TIGR02612	NA
k121_2467740_2	1387	1632	246	-1	0.472	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_3	1625	2977	1353	-1	0.511	11	GGA/GAG/AGG	GENOMAD.107942.PC	7.138e-27	118	0	1	0	1	NA	T_virB10	NA	PF03743	Bacterial conjugation TrbI-like protein
k121_2467740_4	2986	3963	978	-1	0.479	11	GGA/GAG/AGG	GENOMAD.104710.PC	3.223e-10	64	0	1	0	1	NA	T_virB9	NA	PF03524;TIGR02781;K03204;COG3504	P-type conjugative transfer protein VirB9
k121_2467740_5	3976	4638	663	-1	0.498	11	AGGAG	GENOMAD.123484.PC	1.809e-29	119	0	1	0	2561	Caudoviricetes	T_virB8	NA	PF04335;K20531;COG3701;TIGR03781	Type IV secretory pathway, TrbF components
k121_2467740_6	4631	4888	258	-1	0.469	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_7	4891	6270	1380	-1	0.512	11	AGGA	GENOMAD.116928.PC	5.871e-13	74	0	1	0	1	NA	T_virB6	NA	COG3846;K07344	Type IV secretory pathway, TrbL components
k121_2467740_8	6278	6997	720	-1	0.490	11	GGAG/GAGG	GENOMAD.109739.PC	1.138e-17	85	0	1	0	1	NA	T_virB5	NA	COG5314;K20266	Conjugal transfer/entry exclusion protein
k121_2467740_9	7014	9482	2469	-1	0.509	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_10	9479	9781	303	-1	0.472	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_11	9962	10279	318	-1	0.516	11	None	GENOMAD.117152.PC	5.818e-12	63	0	1	0	1	NA	T_virB2	NA	PF04956;K20528;COG3838	Type IV secretory pathway, VirB2 components (pilins)
k121_2467740_12	10410	10565	156	1	0.519	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_13	10562	10954	393	1	0.517	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_14	10958	11557	600	1	0.432	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_15	11957	12175	219	1	0.461	11	None	GENOMAD.041926.PP	4.422e-09	53	0	0	0	1	NA	NA	NA	PF07308	NA
k121_2467740_16	12307	12771	465	1	0.467	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_17	12781	13503	723	1	0.488	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_18	13507	14811	1305	-1	0.449	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_19	14812	15828	1017	-1	0.502	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_20	15861	17201	1341	-1	0.524	11	AGGAG	GENOMAD.036539.PP	1.1e-23	108	0	0	0	1	NA	NA	NA	PF04917;COG4537;TIGR01708	Bacterial shufflon protein, N-terminal constant region
k121_2467740_21	17235	17816	582	-1	0.498	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_22	17827	19038	1212	-1	0.501	11	GGAG/GAGG	GENOMAD.110992.PC	2.837e-23	106	0	0	0	1	NA	NA	NA	PF00482;TIGR02120;COG1459;K10934	type II secretion system protein F
k121_2467740_23	19035	21008	1974	-1	0.494	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_24	21029	21751	723	-1	0.521	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_25	21729	23057	1329	-1	0.505	11	None	GENOMAD.100081.PC	9.705e-17	86	0	0	0	1	NA	NA	NA	PF06864	Pilin accessory protein (PilO)
k121_2467740_26	23059	24666	1608	-1	0.496	11	AGGA	GENOMAD.137956.PC	1.779e-86	299	0	0	0	1	NA	NA	NA	PF00263;PF07655;TIGR02520;K12282;COG1450	type IVB pilus formation outer membrane protein, R64 PilN family
k121_2467740_27	24685	25335	651	-1	0.524	11	None	GENOMAD.119005.PC	3.23e-14	74	0	0	0	1	NA	NA	NA	PF10671	Toxin co-regulated pilus biosynthesis protein Q
k121_2467740_28	25536	25751	216	1	0.546	11	GGAGG	GENOMAD.128941.PC	2.407e-21	88	0	0	0	1	NA	NA	NA	PF11455	Antitoxin MazE-like
k121_2467740_29	25748	26074	327	1	0.489	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_30	26089	26259	171	1	0.520	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_31	26284	26787	504	-1	0.512	11	GGA/GAG/AGG	GENOMAD.130054.PC	9.876e-12	65	0	1	0	1	NA	NA	NA	PF10502;COG4959;TIGR02771;K12062	Type IV secretory pathway, protease TraF
k121_2467740_32	26845	28791	1947	-1	0.497	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_33	28793	32182	3390	-1	0.505	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_34	32204	32329	126	-1	0.516	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_35	32373	35492	3120	-1	0.490	11	None	GENOMAD.151529.VP	1.198e-19	98	0	0	0	2561	Caudoviricetes	NA	NA	PF18857;PF18798	Large polyvalent protein associated domain 38; Large polyvalent protein-associated domain 3
k121_1961987_1	1	675	675	1	0.667	11	None	GENOMAD.142566.PC	6.293e-117	372	0	1	0	1	NA	F_traK	NA	PF06586;K12066;TIGR02756	type-F conjugative transfer system secretin TraK
k121_1961987_2	672	2060	1389	1	0.676	11	GGA/GAG/AGG	GENOMAD.094143.PC	2.979e-58	213	0	1	0	1	NA	F_traB	NA	K12065	NA
k121_1961987_3	2044	2838	795	1	0.663	11	GGAGG	GENOMAD.142039.PC	1.811e-133	422	0	0	0	1	NA	NA	NA	PF13462;PF10411;K03981;COG1651;TIGR00411	Protein-disulfide isomerase
k121_1457879_1	1	336	336	1	0.679	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1457879_2	346	720	375	1	0.683	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1457879_3	717	1346	630	1	0.665	11	GGAG/GAGG	GENOMAD.092693.PC	4.03e-23	100	0	1	0	1	NA	F_traW	NA	PF09673;K12061;TIGR02743	type-F conjugative transfer system protein TraW
k121_1457879_4	1343	2365	1023	1	0.655	11	GGAG/GAGG	GENOMAD.093442.PC	7.674e-100	329	0	1	0	1	NA	F_traU	NA	PF06834;K12060;TIGR03756	TraU protein
k121_1457879_5	2352	3122	771	1	0.680	11	GGAG/GAGG	GENOMAD.116679.PC	7.35e-13	71	0	1	0	1	NA	F_trbC	NA	PF09673	Type-F conjugative transfer system pilin assembly protein
k121_1457879_6	3125	5317	2193	1	0.661	11	GGAG/GAGG	GENOMAD.082259.PC	5.039e-15	82	0	1	0	1	NA	F_traN	NA	PF06986;PF09673;TIGR02750;K12058	type-F conjugative transfer system mating-pair stabilization protein TraN
k121_1205232_1	2	565	564	-1	0.514	11	TAAA	GENOMAD.107250.PP	1.701e-53	187	0	1	0	1	NA	NA	NA	PF14516;TIGR02928;COG1474;K06921	orc1/cdc6 family replication initiation protein
k121_1205232_2	703	885	183	1	0.475	11	AACAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1205232_3	882	1190	309	1	0.528	11	AAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1711935_1	1	741	741	1	0.690	11	None	GENOMAD.106498.VV	1.821e-05	48	0	0	0	1	NA	NA	NA	PF00691;TIGR03350;COG5461	type VI secretion system peptidoglycan-associated domain
k121_1711935_2	911	1267	357	1	0.681	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1711935_3	1298	1597	300	1	0.643	11	GGAG/GAGG	GENOMAD.034210.PP	2.251e-58	196	0	1	0	1	NA	F_traL	NA	PF07178;K12068;TIGR02762	TraL protein
k121_1711935_4	1614	2180	567	1	0.651	11	GGAG/GAGG	GENOMAD.092876.PC	1.397e-28	115	0	1	0	1	NA	F_traE	NA	PF05309;K12067;TIGR02761	type IV conjugative transfer system protein TraE
k121_1711935_5	2167	2553	387	1	0.690	11	AGGAG	GENOMAD.142566.PC	5.948e-46	162	0	1	0	1	NA	F_traK	NA	PF06586;K12066;TIGR02756	type-F conjugative transfer system secretin TraK
k121_320597_1	1	987	987	1	0.545	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_320597_2	984	1886	903	1	0.524	11	GGA/GAG/AGG	GENOMAD.136538.PC	6.086e-39	150	0	1	0	1	NA	NA	NA	PF05621;COG2842;TIGR02928;K02450	Bacterial TniB protein
k121_320597_3	1892	2905	1014	1	0.549	11	GGA/GAG/AGG	GENOMAD.177185.PC	9.846e-32	130	0	0	0	1	NA	NA	NA	PF06527;PF14803;COG1645;TIGR01206	TniQ; Nudix N-terminal
