,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
0,k121_1352268,133197,,122,-0.1,no,0,0,1,0,8,0,0,0
5,k121_726621,29974,,26,0.0,no,0,0,1,0,0,0,0,0
7,k121_1045470,26321,,22,0.1,no,0,0,0,0,0,0,0,1
8,k121_1375475,24208,,25,0.0,yes,0,0,1,0,0,0,0,0
9,k121_1342297,22021,,18,0.0,no,0,0,1,0,0,0,0,0
10,k121_17391,16828,,16,0.0,no,0,0,1,0,0,0,0,0
11,k121_258713,16227,,13,0.0,no,0,0,1,0,0,0,0,0
12,k121_746236,15429,,18,0.0,no,0,0,1,0,0,0,0,0
13,k121_520053,13180,,12,0.0,no,0,0,1,0,1,0,0,0
15,k121_874908,10787,,9,0.4,no,0,1,0,0,0,0,0,0
16,k121_548794,10394,,9,0.1,no,0,0,0,0,0,0,0,1
17,k121_795893,9911,,9,-1.2,no,0,0,1,0,2,0,0,0
18,k121_324247,9902,,9,0.0,no,0,0,1,0,1,0,0,0
19,k121_36271,9708,,11,3.4,no,0,0,0,0,0,1,0,0
20,k121_869060,9133,,14,1.5,no,0,0,0,0,2,0,0,1
21,k121_859587,8950,,11,0.0,no,0,0,1,0,0,0,0,0
22,k121_923566,8903,,9,0.1,no,0,0,0,0,0,0,0,1
23,k121_658443,8527,,8,0.1,no,0,0,0,0,0,0,0,1
24,k121_488500,8453,,6,0.4,no,0,0,0,0,0,0,0,1
25,k121_691225,8316,,8,-0.3,no,0,1,0,0,0,0,0,0
26,k121_347518,8232,,12,0.0,no,0,0,1,0,0,0,0,0
27,k121_866020,7697,,5,0.0,no,0,0,1,0,1,0,0,0
28,k121_1142582,7616,,7,0.0,no,0,0,1,0,0,0,0,0
30,k121_1024644,7413,,5,2.6,no,0,0,0,0,0,0,0,1
32,k121_1154060,6875,,8,0.0,no,0,1,0,0,0,0,0,0
