gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_1260003_1	3	530	528	1	0.638	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1260003_2	505	1848	1344	1	0.625	11	None	GENOMAD.143120.CP	9.881e-08	57	0	0	0	1	NA	NA	NA	PF00529;TIGR01843;K02022;COG1566	type I secretion membrane fusion protein, HlyD family
k121_1260003_3	1928	3319	1392	-1	0.647	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1260003_4	3381	4313	933	-1	0.638	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1260003_5	4310	4411	102	-1	0.657	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_219470_1	1	231	231	-1	0.619	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_219470_2	431	916	486	-1	0.597	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_219470_3	1256	2119	864	1	0.618	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_219470_4	2384	3304	921	1	0.610	11	GGA/GAG/AGG	GENOMAD.119384.CP	8.108e-07	53	0	0	0	1	NA	NA	NA	PF00528;K02054;COG4132;TIGR01253	ABC-type uncharacterized transport system, permease component
k121_219470_5	3301	4128	828	1	0.593	11	GGA/GAG/AGG	GENOMAD.121616.CP	4.233e-11	66	0	0	0	1	NA	NA	NA	PF00528;K02053;COG1176;TIGR03255	ABC-type spermidine/putrescine transport system, permease component I
k121_219470_6	4141	5226	1086	1	0.597	11	GGA/GAG/AGG	GENOMAD.126777.CP	3.713e-09	61	0	0	0	2561	Caudoviricetes	NA	NA	PF17912;PF03459;COG3585;TIGR00638	MalK OB fold domain; TOBE domain
k121_219470_7	5232	5309	78	-1	0.551	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_767740_1	2	199	198	1	0.606	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_767740_2	206	1516	1311	1	0.655	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_767740_3	1549	2550	1002	-1	0.626	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_767740_4	2734	4614	1881	-1	0.516	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_767740_5	4684	4911	228	-1	0.627	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_165216_1	80	259	180	1	0.294	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_165216_2	326	1327	1002	-1	0.302	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_165216_3	1893	2204	312	-1	0.353	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_165216_4	2412	2759	348	-1	0.328	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_165216_5	2776	3486	711	-1	0.328	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_165216_6	3736	4740	1005	-1	0.353	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_165216_7	4998	5177	180	1	0.289	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1042826_1	1	93	93	-1	0.602	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1042826_2	294	674	381	1	0.656	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1042826_3	741	1937	1197	-1	0.579	11	AGxAGG/AGGxGG	GENOMAD.180554.CP	1.915e-74	258	0	0	0	1	NA	NA	NA	COG3659;K07267	Carbohydrate-selective porin OprB
k121_1042826_4	2041	2436	396	-1	0.646	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1042826_5	2579	3277	699	1	0.648	11	AGGA	GENOMAD.223041.PV	1.686e-06	51	0	0	0	1	NA	NA	NA	PF14590;TIGR00673;K07110;COG3655	cyanase
k121_1042826_6	3292	3993	702	-1	0.624	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1042826_7	4240	4401	162	1	0.593	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1042826_8	4465	4857	393	1	0.664	11	AGGA	GENOMAD.141423.CP	2.132e-06	48	0	0	0	1	NA	NA	NA	PF13171;TIGR02044;K19592;COG0789	Cu(I)-responsive transcriptional regulator
k121_440518_1	2	214	213	1	0.498	11	None	GENOMAD.123328.PC	2.832e-12	62	0	0	0	1	NA	NA	NA	PF11604;COG5569	Periplasmic Cu and Ag efflux protein CusF
k121_440518_2	284	478	195	-1	0.533	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_440518_3	500	1012	513	-1	0.505	11	GGA/GAG/AGG	GENOMAD.128855.CP	1.746e-36	137	0	0	0	1	NA	NA	NA	PF01252;COG0597;TIGR00077;K03101	Lipoprotein signal peptidase
k121_440518_4	1016	1912	897	-1	0.573	11	GGAG/GAGG	GENOMAD.111113.PC	1.573e-06	52	0	0	0	1	NA	NA	NA	NA	NA
k121_440518_5	2008	2415	408	1	0.554	11	GGAGG	GENOMAD.136042.PC	9.914e-09	55	0	0	0	1	NA	NA	NA	PF13171;K21744;TIGR02044;COG0789	Cu(I)-responsive transcriptional regulator
k121_715055_1	2	124	123	-1	0.618	11	None	GENOMAD.181304.PC	3.99e-10	54	0	0	0	1	NA	NA	NA	K15773;TIGR00673;COG3620	cyanase
k121_715055_2	385	612	228	1	0.513	11	None	GENOMAD.209742.PC	2.033e-17	77	0	0	0	1	NA	NA	NA	PF12910;COG2161;TIGR01552	Antitoxin component YafN of the YafNO toxin-antitoxin module, PHD/YefM family
k121_715055_3	609	1007	399	1	0.521	11	GGA/GAG/AGG	GENOMAD.167260.CP	1.522e-29	115	0	0	0	1	NA	NA	NA	PF01850;COG3744;TIGR00028;K07062	PIN domain nuclease, a component of toxin-antitoxin system (PIN domain)
k121_715055_4	1244	2173	930	1	0.547	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_715055_5	2332	2832	501	1	0.535	11	AGGAG	GENOMAD.120946.PP	7.42e-70	233	0	0	0	1	NA	NA	NA	K11312	NA
k121_715055_6	2914	3906	993	1	0.504	11	AGGAG	GENOMAD.116284.PP	4.936e-181	563	0	0	0	1	NA	NA	NA	PF18191	Hydroquinone 1,2-dioxygenase large subunit N-terminal
k121_715055_7	4097	5173	1077	1	0.539	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_386912_1	967	1563	597	-1	0.702	11	None	GENOMAD.211284.PC	2.05e-14	74	0	0	0	1	NA	NA	NA	NA	NA
k121_386912_2	1512	2087	576	-1	0.686	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_386912_3	2084	5011	2928	-1	0.651	11	None	GENOMAD.154766.VP	2.459e-06	54	0	0	0	2561	Caudoviricetes	NA	NA	PF16793	RepB DNA-primase from phage plasmid
k121_1099017_1	3	782	780	-1	0.585	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1099017_2	875	3148	2274	-1	0.604	11	GGAG/GAGG	GENOMAD.194682.PC	2.185e-07	57	0	0	0	1	NA	NA	NA	PF10087;COG4378	NA
