seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_342934	1798	No terminal repeats	4	11	0.9987	0.0013	1	4.7687	NA	NA
k121_825457	2158	No terminal repeats	3	11	0.9987	0.0013	1	3.2636	NA	NA
k121_1539556	1600	No terminal repeats	1	11	0.9987	0.0013	1	1.7183	MOBP1	NA
k121_1224757	2944	No terminal repeats	5	11	0.9987	0.0013	1	5.1548	NA	NA
k121_403077	1287	No terminal repeats	3	11	0.9987	0.0013	1	3.4366	NA	NA
k121_393974	1218	No terminal repeats	2	11	0.9987	0.0013	1	2.9530	NA	NA
k121_1924270	4030	No terminal repeats	5	11	0.9987	0.0013	3	6.1272	virb4;T_virB3;T_virB2	NA
k121_534364	2902	No terminal repeats	4	11	0.9987	0.0013	1	1.7283	MOBV	NA
k121_17247	2849	No terminal repeats	4	11	0.9987	0.0013	1	2.6481	NA	NA
k121_2186720	1120	No terminal repeats	3	11	0.9986	0.0013	2	4.4834	T_virB6	NA
k121_1646200	3230	No terminal repeats	6	11	0.9986	0.0013	3	5.1664	virb4;T_virB3;T_virB2	NA
k121_1056513	1870	No terminal repeats	4	11	0.9986	0.0013	4	6.4097	F_traK;F_traE;F_traL	NA
k121_227186	1191	No terminal repeats	1	11	0.9986	0.0013	1	1.7183	MOBP1	NA
k121_890672	1177	No terminal repeats	2	11	0.9986	0.0013	1	2.6481	NA	NA
k121_1974953	1004	No terminal repeats	1	11	0.9986	0.0013	1	1.7183	MOBP1	NA
k121_523777	1456	No terminal repeats	4	11	0.9985	0.0014	1	1.5453	NA	NA
k121_1147548	1976	No terminal repeats	2	11	0.9985	0.0014	2	2.4066	virb4;T_virB5	NA
k121_2048568	1031	No terminal repeats	2	11	0.9985	0.0014	2	2.7118	T_virB9	NA
k121_1619530	1712	No terminal repeats	3	11	0.9985	0.0014	2	2.1114	NA	NA
k121_1555468	1257	No terminal repeats	3	11	0.9985	0.0014	2	4.4834	T_virB6	NA
k121_323767	1126	No terminal repeats	2	11	0.9985	0.0014	2	2.5626	T_virB8;T_virB9	NA
k121_1447223	1127	No terminal repeats	2	11	0.9985	0.0014	1	2.9626	T_virB6	NA
k121_1458837	1628	No terminal repeats	3	11	0.9984	0.0014	3	3.8069	T_virB6;T_virB8;T_virB9	NA
k121_2081246	1300	No terminal repeats	3	11	0.9984	0.0014	3	4.4089	T_virB2;T_virB3;virb4	NA
k121_1569909	6286	No terminal repeats	7	11	0.9983	0.0014	4	5.9977	T_virB6;T_virB5;T_virB8;T_virB9	NA
k121_175294	1125	No terminal repeats	2	11	0.9983	0.0014	1	2.9354	F_traF	NA
k121_2149031	1671	No terminal repeats	5	11	0.9983	0.0014	1	2.3037	NA	NA
k121_843750	1277	No terminal repeats	3	11	0.9981	0.0015	2	2.6197	T_virB5	NA
k121_205652	1310	No terminal repeats	1	11	0.9981	0.0015	1	1.7183	MOBP1	NA
k121_1523196	1051	No terminal repeats	3	11	0.9980	0.0015	2	3.4366	T_virB3;T_virB2	NA
k121_621990	1142	No terminal repeats	3	11	0.9979	0.0015	1	2.6906	virb4	NA
k121_978502	1172	No terminal repeats	4	11	0.9979	0.0015	4	5.0143	G_tfc11;G_tfc10;G_tfc9;G_tfc8	NA
k121_200120	1203	No terminal repeats	2	11	0.9977	0.0015	1	1.7183	NA	NA
k121_2197140	1278	No terminal repeats	2	11	0.9977	0.0016	1	2.8654	T_virB6	NA
k121_489723	2574	No terminal repeats	2	11	0.9976	0.0016	1	2.2095	NA	NA
k121_606241	1202	No terminal repeats	2	11	0.9976	0.0016	2	2.3690	virb4;T_virB6	NA
k121_1931508	1251	No terminal repeats	2	11	0.9976	0.0016	1	2.0896	NA	NA
k121_1518347	1827	No terminal repeats	3	11	0.9976	0.0017	2	2.8405	T_virB3	NA
k121_1038979	1382	No terminal repeats	2	11	0.9975	0.0017	1	1.7183	MOBP1	NA
k121_686873	2054	No terminal repeats	3	11	0.9974	0.0017	2	1.9957	T_virB8;T_virB9	NA
