gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_93609_1	287	577	291	1	0.519	11	GGAG/GAGG	GENOMAD.193186.PC	1.668e-05	44	0	0	0	1	NA	NA	NA	PF03693;COG3905;TIGR04563	Predicted transcriptional regulator
k121_93609_2	565	858	294	1	0.473	11	GGA/GAG/AGG	GENOMAD.147643.PC	8.739e-28	108	0	1	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385	Plasmid stabilization system protein ParE
k121_93609_3	1126	1311	186	1	0.441	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_93609_4	1357	1581	225	1	0.413	11	AGGA	GENOMAD.097219.PP	6.924e-06	44	0	1	0	1	NA	NA	NA	PF02402;COG3895;K20489;TIGR01004	Lysis protein
k121_93609_5	1558	1674	117	-1	0.462	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_392691_1	2	280	279	1	0.516	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_392691_2	434	802	369	1	0.569	11	AGGAG	GENOMAD.000638.PP	1.79e-05	45	0	1	0	1	NA	NA	NA	PF07328	T-DNA border endonuclease VirD1
k121_392691_3	768	1010	243	1	0.556	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_336939_1	1	192	192	-1	0.646	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_336939_2	626	955	330	1	0.673	11	GGA/GAG/AGG	GENOMAD.034769.PP	4.054e-41	147	0	1	0	1	NA	NA	NA	K12069;COG3838	NA
k121_336939_3	1020	1304	285	1	0.600	11	GGA/GAG/AGG	GENOMAD.059201.PP	7.948e-51	174	0	1	0	1	NA	F_traL	NA	PF07178;K12068;TIGR02762	type IV conjugative transfer system protein TraL
k121_336939_4	1307	1870	564	1	0.665	11	GGA/GAG/AGG	GENOMAD.030647.PP	9.817e-60	205	0	1	0	1	NA	F_traE	NA	PF05309;K12067;TIGR02761	type IV conjugative transfer system protein TraE
k121_336939_5	1867	2697	831	1	0.667	11	AGGAG	GENOMAD.094453.PP	2.119e-65	226	0	1	0	1	NA	F_traK	NA	PF06586;TIGR02756;K12066	type-F conjugative transfer system secretin TraK
k121_336939_6	2694	2885	192	1	0.672	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_299660_1	2	127	126	-1	0.611	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_299660_2	185	1393	1209	-1	0.620	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
