seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_1628393	5400	No terminal repeats	8	11	0.9985	0.0015	5	6.2022	T_virB5;T_virB8;T_virB9	NA
k121_1372051	3550	No terminal repeats	6	11	0.9985	0.0015	1	2.8533	NA	NA
k121_1914858	1641	No terminal repeats	2	11	0.9982	0.0016	2	2.5091	F_traG;F_traH	NA
k121_849628	2097	No terminal repeats	2	11	0.9981	0.0017	2	2.4284	F_traH;F_traF	NA
k121_620064	1058	No terminal repeats	2	11	0.9980	0.0017	2	2.9200	F_traH	NA
k121_2333993	2451	No terminal repeats	2	11	0.9977	0.0018	1	1.7134	NA	NA
k121_1754191	1501	No terminal repeats	2	11	0.9971	0.0020	1	1.6987	NA	NA
k121_1362796	1129	No terminal repeats	4	11	0.9970	0.0021	2	2.6382	T_virB3;T_virB2	NA
k121_2304724	5503	No terminal repeats	6	11	0.9966	0.0023	4	4.7784	F_traU;F_traW;virb4;F_traB	NA
k121_888172	2389	No terminal repeats	4	11	0.9942	0.0026	1	2.4076	T_virB9;T_virB10	NA
k121_303729	2644	No terminal repeats	4	11	0.9929	0.0030	3	3.1123	T_virB8;T_virB9	NA
k121_1476078	3044	No terminal repeats	9	11	0.9929	0.0034	1	3.1144	NA	NA
k121_1778233	2397	No terminal repeats	3	11	0.9882	0.0040	1	3.4326	NA	NA
k121_896097	7264	No terminal repeats	6	11	0.9819	0.0050	3	3.6980	F_traU;F_traF;F_traG	NA
k121_1911773	5190	No terminal repeats	6	11	0.9793	0.0061	5	6.1535	T_virB2;T_virB3;virb4;T_virB5	NA
k121_2403008	2349	No terminal repeats	3	11	0.9729	0.0074	3	4.1908	F_traN;F_traH	NA
k121_2481985	1699	No terminal repeats	5	11	0.9635	0.0091	1	2.2753	NA	NA
k121_1942592	3906	No terminal repeats	3	11	0.9488	0.0114	2	2.3591	F_traU;F_trbC	NA
k121_2197011	3857	No terminal repeats	4	11	0.9380	0.0141	1	1.7023	NA	NA
k121_2426757	2156	No terminal repeats	4	11	0.9009	0.0183	1	1.7143	NA	NA
k121_1753645	1722	No terminal repeats	3	11	0.8991	0.0223	3	3.6772	F_traV;virb4	NA
k121_1100910	1691	No terminal repeats	2	11	0.8959	0.0260	1	1.7183	NA	NA
k121_217947	1013	No terminal repeats	2	11	0.8649	0.0307	1	1.7134	NA	NA
