gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_981367_1	2	1444	1443	-1	0.666	11	GGAG/GAGG	GENOMAD.100869.PC	5.289e-43	168	0	1	0	1	NA	virb4	NA	PF11130;K12063;TIGR02746;COG3451	TraC protein
k121_981367_2	1466	2146	681	-1	0.699	11	AGGAG	GENOMAD.113435.PC	3.847e-53	188	0	1	0	1	NA	F_traV	NA	K12064;TIGR02747	type IV conjugative transfer system lipoprotein TraV
k121_981367_3	2143	2736	594	-1	0.672	11	None	GENOMAD.142039.PC	1.804e-83	274	0	0	0	1	NA	NA	NA	PF13462;PF10411;K03981;COG1651;TIGR00411	Protein-disulfide isomerase
k121_818497_1	2	937	936	-1	0.619	11	GGAG/GAGG	GENOMAD.092909.PC	1.812e-84	283	0	1	0	1	NA	F_traH	NA	K12072	NA
k121_818497_2	948	1748	801	-1	0.663	11	GGAG/GAGG	GENOMAD.084811.PC	5.649e-77	259	0	1	0	1	NA	F_traF	NA	PF13728;K12057;TIGR02739;COG0386	type-F conjugative transfer system pilin assembly protein TraF
k121_818497_3	1753	2118	366	-1	0.623	11	GGA/GAG/AGG	GENOMAD.045016.PP	1.416e-33	126	0	0	0	1	NA	NA	NA	NA	NA
k121_818497_4	2115	3410	1296	-1	0.658	11	GGA/GAG/AGG	GENOMAD.116679.PC	3.002e-20	97	0	1	0	1	NA	F_trbC	NA	PF09673	Type-F conjugative transfer system pilin assembly protein
k121_818497_5	3412	4080	669	-1	0.680	11	GGAG/GAGG	GENOMAD.080907.PC	1.61e-17	84	0	1	0	1	NA	F_trbC	NA	PF09673;K12059;TIGR02742	Type-F conjugative transfer system pilin assembly protein
k121_818497_6	4080	5081	1002	-1	0.658	11	AGGAG	GENOMAD.093442.PC	1.602e-115	374	0	1	0	1	NA	F_traU	NA	PF06834;K12060;TIGR03756	TraU protein
k121_818497_7	5078	5716	639	-1	0.676	11	GGAGG	GENOMAD.092693.PC	5.172e-20	91	0	1	0	1	NA	F_traW	NA	PF09673;K12061;TIGR02743	type-F conjugative transfer system protein TraW
k121_818497_8	5703	6179	477	-1	0.704	11	GGAG/GAGG	GENOMAD.117317.PC	4.035e-09	57	0	1	0	1	NA	NA	NA	PF10502;COG4959;TIGR02771;K12062	Type IV secretory pathway, protease TraF
k121_818497_9	6179	6601	423	-1	0.686	11	GGAGG	GENOMAD.039601.PP	9.603e-30	116	0	1	0	1	NA	NA	NA	PF09677;TIGR02744	type-F conjugative transfer system protein TrbI
k121_818497_10	6591	9215	2625	-1	0.653	11	GGAGG	GENOMAD.100869.PC	3.5e-41	168	0	1	0	1	NA	virb4	NA	PF11130;K12063;TIGR02746;COG3451	TraC protein
k121_818497_11	9288	9953	666	-1	0.694	11	AGGAG	GENOMAD.113435.PC	7.198e-43	158	0	1	0	1	NA	F_traV	NA	K12064;TIGR02747	type IV conjugative transfer system lipoprotein TraV
k121_818497_12	9950	10699	750	-1	0.665	11	AGGAG	GENOMAD.142039.PC	7.824e-65	223	0	0	0	1	NA	NA	NA	PF13462;PF10411;K03981;COG1651;TIGR00411	Protein-disulfide isomerase
k121_818497_13	10692	12041	1350	-1	0.682	11	GGAG/GAGG	GENOMAD.094143.PC	2.635e-48	183	0	1	0	1	NA	F_traB	NA	K12065	NA
