gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_282252_1	1	66	66	-1	0.424	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_282252_2	145	1905	1761	-1	0.541	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_282252_3	1942	2304	363	-1	0.499	11	AGGA	GENOMAD.147977.PC	1.453e-07	51	0	0	0	1	NA	NA	NA	PF06953	Arsenical resistance operon protein ArsD
k121_282252_4	2475	2888	414	1	0.507	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1223052_1	21	1286	1266	1	0.600	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1223052_2	1506	2510	1005	1	0.637	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_658717_1	3	248	246	-1	0.585	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_658717_2	291	2078	1788	-1	0.596	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_658717_3	2075	2653	579	-1	0.625	11	GGAG/GAGG	GENOMAD.132398.CP	1.809e-13	71	0	0	0	1	NA	NA	NA	PF03965;K15973;TIGR04472;COG5631	mobile rSAM pair MarR family regulator
k121_658717_4	2779	3297	519	-1	0.632	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_658717_5	3455	4576	1122	-1	0.628	11	GGAGG	GENOMAD.170689.PC	1.441e-12	72	0	0	0	1	NA	NA	NA	PF16490	NA
k121_658717_6	4739	6490	1752	1	0.598	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_658717_7	6597	7754	1158	1	0.597	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_658717_8	7784	8809	1026	1	0.616	11	AGGA	GENOMAD.211903.PC	2.221e-23	105	0	0	0	1	NA	NA	NA	PF14607	N-terminus of Esterase_SGNH_hydro-type
k121_658717_9	8831	9982	1152	1	0.611	11	AGGA	GENOMAD.158643.CP	5.341e-06	51	0	0	0	1	NA	NA	NA	PF00144;COG1680;K01467	Beta-lactamase
k121_564823_1	3	602	600	-1	0.635	11	GGA/GAG/AGG	GENOMAD.169725.CP	0.0008868	42	0	0	0	1	NA	NA	NA	PF07379;TIGR01708;K02457;COG4970	type II secretion system protein H
k121_564823_2	907	1617	711	1	0.634	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_564823_3	2112	3287	1176	1	0.537	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_564823_4	3362	3982	621	1	0.609	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_564823_5	4036	4302	267	-1	0.581	11	None	GENOMAD.210282.PC	0.0006836	39	0	0	0	1	NA	NA	NA	NA	NA
