ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_1368146	144834	NA	217	0.0	yes	0	0	0	0	0	0	0	0
k121_1368144	92916	NA	116	0.0	yes	0	0	0	0	0	0	0	0
k121_1368186	57646	NA	76	0.0	yes	0	0	0	0	0	0	0	0
k121_441577	57135	NA	86	0.0	yes	0	0	0	0	0	0	0	0
k121_326100	53237	NA	73	0.0	yes	0	0	0	0	0	0	0	0
k121_1368232	47578	NA	67	0.0	yes	0	0	0	0	0	0	0	0
k121_1368202	47528	NA	69	0.0	yes	0	0	0	0	0	0	0	0
k121_1329236	44902	NA	60	0.0	yes	0	0	0	0	0	0	0	0
k121_1368164	42041	NA	48	0.0	yes	0	0	0	0	0	0	0	0
k121_1368158	41967	NA	71	0.0	yes	0	0	0	0	0	0	0	0
k121_790141	40157	NA	66	0.0	yes	0	0	0	0	0	0	0	0
k121_1368149	39423	NA	44	0.0	yes	0	0	0	0	0	0	0	0
k121_1368175	38309	NA	47	0.0	yes	0	0	0	0	0	0	0	0
k121_1368155	38238	NA	55	0.0	yes	0	0	0	0	0	0	0	0
k121_1368187	37861	NA	55	0.0	yes	0	0	0	0	0	0	0	0
k121_505422	34146	NA	51	0.0	yes	0	0	0	0	0	0	0	0
k121_511902	22416	NA	20	0.0	no	0	1	0	0	0	0	0	0
k121_1361585	18194	NA	12	0.0	no	0	0	1	0	0	0	0	0
k121_1368265	16459	NA	30	0.0	yes	0	0	0	0	0	0	0	0
k121_1066486	13307	NA	11	0.0	no	0	1	0	0	0	0	0	0
k121_369460	12402	NA	6	0.0	no	0	1	0	0	0	0	0	0
k121_904409	11854	NA	23	0.0	yes	0	0	0	0	0	0	0	0
k121_1368431	11789	NA	24	0.0	yes	0	0	0	0	0	0	0	0
k121_1368399	11438	NA	20	0.0	yes	0	0	0	0	0	0	0	0
k121_1368417	11327	NA	18	0.0	yes	0	0	0	0	0	0	0	0
k121_1368287	8675	NA	16	0.0	yes	0	0	0	0	0	0	0	0
k121_958785	7517	NA	8	0.0	no	0	0	1	0	0	0	0	0
k121_1368240	6052	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_1368157	5934	NA	13	0.0	yes	0	0	0	0	0	0	0	0
k121_1368800	5690	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1368774	3906	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1368145	3774	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1368906	3555	NA	5	0.0	yes	0	0	1	0	0	0	0	0
k121_1368497	3534	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_438947	3288	NA	3	0.1	no	0	0	0	0	0	0	0	1
k121_330454	3063	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1368507	3062	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_931551	2701	NA	2	0.1	no	0	0	0	0	0	0	0	1
k121_839366	2585	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1369759	2566	NA	2	0.0	yes	0	0	0	0	0	0	0	0
