seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_1443872	2412	No terminal repeats	2	11	0.9989	0.0011	2	2.9489	MOBP1	NA
k121_636829	6772	No terminal repeats	7	11	0.9989	0.0011	1	7.1336	NA	NA
k121_642253	4296	No terminal repeats	5	11	0.9989	0.0011	4	6.5267	T_virB6;T_virB8;T_virB9;T_virB10	NA
k121_1483625	1913	No terminal repeats	4	11	0.9989	0.0011	1	5.1548	NA	NA
k121_1572047	1660	No terminal repeats	2	11	0.9988	0.0011	1	3.4366	NA	NA
k121_2119832	1124	No terminal repeats	3	11	0.9988	0.0011	3	4.9288	F_traL;F_traE	NA
k121_961513	1573	No terminal repeats	3	11	0.9988	0.0011	1	1.7183	NA	NA
k121_693359	3169	No terminal repeats	4	11	0.9988	0.0011	1	2.9810	NA	NA
k121_2008009	3293	No terminal repeats	3	11	0.9988	0.0011	2	3.2146	MOBP1	NA
k121_2533464	3995	DTR	7	11	0.9988	0.0011	1	3.6489	NA	NA
k121_153769	2911	No terminal repeats	4	11	0.9988	0.0012	3	3.8069	T_virB9;T_virB8;T_virB6	NA
k121_1744362	1525	No terminal repeats	3	11	0.9988	0.0012	3	4.4024	F_traE;F_traK	NA
k121_1154181	2278	No terminal repeats	2	11	0.9988	0.0012	2	3.2146	MOBP1	NA
k121_232402	1353	No terminal repeats	2	11	0.9988	0.0012	1	2.3222	T_virB10	NA
k121_124348	3130	No terminal repeats	6	11	0.9988	0.0012	4	6.4097	F_traL;F_traE;F_traK	NA
k121_586086	1527	No terminal repeats	2	11	0.9988	0.0012	2	3.4339	MOBP1	NA
k121_436205	1022	No terminal repeats	2	11	0.9988	0.0012	1	2.9354	F_traF	NA
k121_408189	2976	No terminal repeats	3	11	0.9987	0.0012	1	1.8681	NA	NA
k121_1955810	1659	No terminal repeats	2	11	0.9987	0.0012	1	1.7183	NA	NA
k121_1654647	3499	No terminal repeats	4	11	0.9987	0.0012	1	2.0896	NA	NA
k121_444263	7827	No terminal repeats	9	11	0.9987	0.0012	1	3.3743	NA	NA
k121_1035470	1681	No terminal repeats	3	11	0.9987	0.0012	1	3.2865	NA	NA
k121_730454	1640	No terminal repeats	4	11	0.9987	0.0012	2	4.1940	T_virB3;T_virB2	NA
k121_1420548	2163	No terminal repeats	4	11	0.9987	0.0012	1	5.1364	T_virB2	NA
k121_2459766	3220	No terminal repeats	6	11	0.9986	0.0012	1	3.4366	NA	NA
k121_953134	1327	No terminal repeats	3	11	0.9986	0.0012	3	3.8874	F_traK	NA
k121_867069	1304	No terminal repeats	2	11	0.9986	0.0012	1	2.9626	T_virB6	NA
k121_725917	1898	No terminal repeats	4	11	0.9986	0.0012	1	1.7901	NA	NA
k121_2357122	10199	DTR	15	11	0.9986	0.0012	1	4.4055	NA	NA
k121_221502	1602	No terminal repeats	2	11	0.9986	0.0012	2	2.5463	F_traU;F_trbC	NA
k121_1709739	1004	No terminal repeats	1	11	0.9986	0.0013	1	1.7183	MOBP1	NA
k121_2530864	1514	DTR	2	15	0.9986	0.0013	2	1.9887	NA	NA
k121_1724685	1130	No terminal repeats	3	11	0.9985	0.0013	2	2.9420	F_traL;F_traE	NA
k121_320854	4275	No terminal repeats	3	11	0.9985	0.0013	3	3.8457	F_traF;F_traH;F_traG	NA
k121_1420453	10352	No terminal repeats	9	11	0.9985	0.0013	4	4.6927	T_virB3;virb4;T_virB6	NA
k121_1850378	2934	No terminal repeats	3	11	0.9985	0.0013	3	3.1781	virb4;T_virB6;T_virB9	NA
k121_2257277	1106	No terminal repeats	2	11	0.9985	0.0013	1	2.0215	NA	NA
k121_1727829	2028	No terminal repeats	3	11	0.9985	0.0013	3	3.7334	T_virB9;T_virB8;T_virB5	NA
k121_52231	1704	No terminal repeats	2	11	0.9984	0.0013	1	1.7183	MOBP1	NA
k121_1192492	1848	No terminal repeats	3	11	0.9984	0.0013	3	3.3341	T_virB8;T_virB6	NA
k121_1061439	1311	No terminal repeats	3	11	0.9983	0.0013	1	2.8800	T_virB2	NA
k121_191619	2192	No terminal repeats	3	11	0.9983	0.0013	3	3.8547	T_virB5;T_virB8;T_virB9	NA
k121_2191752	1617	No terminal repeats	2	11	0.9983	0.0013	2	2.7853	t4cp1	NA
k121_637473	1664	No terminal repeats	3	11	0.9983	0.0013	1	3.2867	NA	NA
k121_1194975	2292	No terminal repeats	4	11	0.9982	0.0014	1	1.5314	NA	NA
k121_2079636	1252	No terminal repeats	2	11	0.9982	0.0014	1	1.7183	NA	NA
k121_231146	1841	No terminal repeats	3	11	0.9981	0.0014	1	3.1061	NA	NA
k121_534404	1422	No terminal repeats	3	11	0.9981	0.0014	1	1.7183	T_virB2	NA
k121_1658307	2762	No terminal repeats	3	11	0.9981	0.0014	2	3.1823	MOBP1	NA
k121_593544	1130	No terminal repeats	2	11	0.9981	0.0014	2	2.5626	T_virB9;T_virB8	NA
k121_1063049	2192	No terminal repeats	3	11	0.9981	0.0014	2	2.8922	MOBP1	NA
k121_1643809	1190	No terminal repeats	3	11	0.9980	0.0014	3	3.7668	T_virB5;T_virB6	NA
k121_2233131	1516	No terminal repeats	3	11	0.9980	0.0014	1	1.7183	I_traW	NA
k121_111420	2228	No terminal repeats	4	11	0.9979	0.0015	1	2.5221	NA	NA
k121_472960	1761	No terminal repeats	2	11	0.9978	0.0015	1	2.3688	NA	NA
k121_2131707	1140	No terminal repeats	2	11	0.9977	0.0015	2	2.1795	T_virB9;T_virB8	NA
k121_105043	4600	No terminal repeats	4	11	0.9976	0.0015	3	3.7548	F_traG;F_traH;F_traF	NA
k121_1346632	1670	No terminal repeats	2	11	0.9976	0.0015	2	2.2864	virb4;T_virB3	NA
k121_1855718	24307	No terminal repeats	29	11	0.9976	0.0015	10	14.0526	F_traU;F_traW;F_traV;F_traB;F_traK;F_traE;F_traL;T_virB1	NA
k121_2404970	1057	No terminal repeats	3	11	0.9974	0.0015	3	3.5220	T_virB6;T_virB5	NA
k121_1941190	2458	No terminal repeats	3	11	0.9974	0.0016	3	2.9702	T_virB10;T_virB9;T_virB8	NA
k121_1240302	8757	No terminal repeats	11	11	0.9972	0.0016	1	1.7183	NA	NA
k121_945536	1583	No terminal repeats	2	11	0.9972	0.0016	1	2.8615	F_trbC	NA
k121_2297144	2086	No terminal repeats	3	11	0.9968	0.0016	2	2.1742	T_virB6;virb4	NA
k121_166787	15833	No terminal repeats	14	11	0.9968	0.0017	2	2.1736	MOBH;t4cp1	NA
k121_2310444	4804	No terminal repeats	4	11	0.9967	0.0017	3	3.6994	F_traU;F_traF	NA
k121_1522109	1317	No terminal repeats	3	11	0.9966	0.0017	2	2.9941	virb4;F_traV	NA
k121_864721	1808	No terminal repeats	3	11	0.9965	0.0017	2	2.0120	T_virB10;T_virB9	NA
k121_1245716	1248	No terminal repeats	2	11	0.9961	0.0018	2	2.3110	T_virB5;T_virB6	NA
k121_125663	2909	No terminal repeats	5	11	0.9952	0.0018	1	2.4568	NA	NA
k121_1378640	1514	No terminal repeats	4	11	0.9942	0.0019	2	3.4366	T_virB2;T_virB3	NA
k121_1944349	2391	No terminal repeats	4	11	0.9940	0.0019	3	4.4089	virb4;T_virB3;T_virB2	NA
k121_2511999	1142	No terminal repeats	2	11	0.9928	0.0020	1	2.0804	MOBP1	NA
k121_584579	1311	No terminal repeats	4	11	0.9926	0.0021	1	1.5477	T_virB5	NA
k121_1403312	1810	No terminal repeats	3	11	0.9919	0.0021	2	4.0882	F_traF;F_trbC	NA
k121_1590774	1377	No terminal repeats	3	11	0.9916	0.0022	1	2.2409	NA	NA
k121_2261621	86521	No terminal repeats	67	11	0.9893	0.0023	9	20.5755	MOBP1;T_virB11;T_virB9;T_virB8;T_virB6;T_virB5;virb4;T_virB3	NA
k121_1427327	1723	No terminal repeats	2	11	0.9882	0.0025	2	2.3690	T_virB6;virb4	NA
k121_897070	3101	No terminal repeats	7	11	0.9882	0.0026	1	2.2753	NA	NA
k121_978610	1599	No terminal repeats	4	11	0.9878	0.0027	2	2.4758	T_virB2;T_virB3	NA
k121_455369	2423	No terminal repeats	2	11	0.9875	0.0028	2	2.6906	T_virB3;virb4	NA
k121_550537	1889	No terminal repeats	2	11	0.9874	0.0029	2	2.1742	virb4;T_virB6	NA
k121_359677	1141	No terminal repeats	3	11	0.9866	0.0031	2	2.3591	F_trbC;F_traU	NA
k121_111110	1055	No terminal repeats	2	11	0.9863	0.0032	2	2.4245	F_traV;virb4	NA
k121_1509775	3118	No terminal repeats	3	11	0.9860	0.0033	3	3.1937	T_virB6;T_virB5;virb4	NA
k121_1227160	1294	No terminal repeats	2	11	0.9860	0.0034	1	1.5023	NA	NA
k121_1482735	1302	No terminal repeats	3	11	0.9847	0.0036	2	2.3861	T_virB6;T_virB8	NA
k121_613306	3952	No terminal repeats	4	11	0.9832	0.0037	4	4.1174	T_virB10;T_virB9;T_virB8;T_virB6	NA
k121_1062568	1693	No terminal repeats	4	11	0.9826	0.0039	3	4.0664	F_traW	NA
k121_1048487	1662	No terminal repeats	3	11	0.9825	0.0040	2	2.1382	T_virB8;T_virB9	NA
k121_853176	5639	No terminal repeats	6	11	0.9800	0.0042	5	5.6691	T_virB8;T_virB6;virb4;T_virB3	NA
k121_2129059	1574	No terminal repeats	3	11	0.9756	0.0044	2	2.4758	T_virB3;T_virB2	NA
k121_310544	1503	No terminal repeats	2	11	0.9746	0.0047	2	2.3779	MOBH;t4cp1	NA
k121_735044	1246	No terminal repeats	2	11	0.9736	0.0049	2	2.5463	F_trbC;F_traU	NA
k121_1796529	1872	No terminal repeats	3	11	0.9729	0.0051	2	2.9941	F_traV;virb4	NA
k121_148860	1388	No terminal repeats	2	11	0.9690	0.0054	1	2.0818	T_virB9	NA
k121_1880960	2007	No terminal repeats	3	11	0.9660	0.0057	2	2.9941	virb4;F_traV	NA
