ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_2055669	109406	NA	157	0.0	yes	0	0	0	0	0	0	0	0
k121_1507871	75239	NA	118	0.0	yes	0	0	0	0	0	0	0	0
k121_2643972	62894	NA	93	0.0	yes	0	0	0	0	0	0	0	0
k121_1735227	44545	NA	61	0.0	yes	0	0	0	0	0	0	0	0
k121_2460191	39528	NA	67	0.0	yes	0	0	0	0	0	0	0	0
k121_2252646	39453	NA	49	0.0	yes	0	0	0	0	0	0	0	0
k121_2644017	38762	NA	59	0.0	yes	0	0	0	0	0	0	0	0
k121_2643965	38718	NA	43	0.0	yes	0	0	0	0	0	0	0	0
k121_942597	37131	NA	57	0.0	yes	0	0	0	0	0	0	0	0
k121_740052	32576	NA	50	0.0	yes	0	0	0	0	0	0	0	0
k121_2643976	28367	NA	26	0.0	yes	0	0	0	0	0	0	0	0
k121_113608	15063	NA	22	0.0	yes	0	0	0	0	0	0	0	0
k121_251403	10049	NA	16	0.0	yes	0	0	0	0	0	0	0	0
k121_1413034	9965	NA	14	0.0	yes	0	0	0	0	0	0	0	0
k121_2585057	9166	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1998761	8869	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_425804	8707	NA	19	0.0	yes	0	0	0	0	0	0	0	0
k121_1796774	8529	NA	13	0.0	yes	0	0	0	0	0	0	0	0
k121_2644829	7791	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_41993	7149	NA	13	0.0	yes	0	0	0	0	0	0	0	0
k121_1725802	6962	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_948637	6843	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2643968	6742	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_538760	6723	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2477569	6723	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_2350481	6657	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_995473	6564	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2644703	6471	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_2398369	6466	NA	3	0.0	no	0	0	1	0	1	0	0	0
k121_1608604	6450	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1686347	6425	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2643971	6087	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1591124	5987	NA	12	0.0	yes	0	0	0	0	0	0	0	0
k121_2643978	5800	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_55986	5670	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_218576	5517	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1400668	5502	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2644078	5426	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1532044	5282	NA	20	0.0	yes	0	0	0	0	0	0	0	0
k121_1592104	5144	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2317388	5095	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_28707	4995	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1710533	4930	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_2644754	4860	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2645074	4734	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2434107	4584	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2644304	4584	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_1924678	4491	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1726880	4277	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1218008	4159	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2644040	4130	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2643987	4106	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_865064	4086	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2644824	3950	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1525898	3871	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2644814	3618	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2644020	3531	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_725546	3499	NA	2	0.9	no	0	0	0	0	0	0	0	1
k121_2062157	3457	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_471400	3091	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1114562	3062	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2270880	2992	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2644008	2956	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_936143	2878	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2644001	2857	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2644475	2834	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1487668	2647	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_2645628	2596	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_443753	2560	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2644004	2554	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2646087	2431	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_610632	2422	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2584716	2419	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2643993	2404	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2645856	2404	NA	1	0.0	yes	0	0	0	0	0	0	0	0
