ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_119055	74759	NA	76	0.0	no	0	0	1	0	0	0	0	0
k121_2263956	62252	NA	91	0.0	yes	0	0	0	0	0	0	0	0
k121_94377	39344	NA	48	0.0	yes	0	0	0	0	0	0	0	0
k121_2263963	34120	NA	52	0.0	yes	0	0	0	0	0	0	0	0
k121_679263	33556	NA	33	0.0	no	0	0	1	0	0	0	0	0
k121_6764	17026	NA	18	0.0	no	0	0	1	0	0	0	0	0
k121_2264456	16945	NA	26	0.0	yes	0	0	0	0	0	0	0	0
k121_807385	8345	NA	9	0.0	no	0	0	1	0	0	0	0	0
k121_1688102	7991	NA	11	0.0	no	0	0	1	0	0	0	0	0
k121_297500	7955	NA	8	-0.0	no	0	1	0	0	0	0	0	0
k121_788633	7708	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_1593772	7457	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2031904	7134	NA	14	0.0	yes	0	0	0	0	0	0	0	0
k121_2264334	6801	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2264727	6666	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2264458	6071	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1029905	5960	NA	4	-0.1	no	0	1	0	0	0	0	0	0
k121_604902	5876	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1649338	5764	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_631761	5644	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1371060	5546	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2248605	5545	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1601201	5511	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_286220	5270	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2264322	5145	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1030241	5113	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1485536	5058	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2265717	5015	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1472372	4990	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_2264842	4963	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1593910	4957	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2263951	4803	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_2263960	4792	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_89252	4788	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1838884	4727	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1139990	4661	NA	1	0.0	yes	0	0	0	0	0	0	0	0
