gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_1755489_1	1	462	462	1	0.491	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1755489_2	459	977	519	1	0.513	11	AGxAGG/AGGxGG	GENOMAD.130054.PC	1.212e-32	126	0	1	0	1	NA	NA	NA	PF10502;COG4959;TIGR02771;K12062	Type IV secretory pathway, protease TraF
k121_1755489_3	1061	1240	180	1	0.517	11	AGGAG	GENOMAD.073819.PP	1.365e-07	48	0	0	0	1	NA	NA	NA	NA	NA
k121_1755489_4	1356	1556	201	1	0.443	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2006312_1	3	62	60	-1	0.533	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2006312_2	65	862	798	-1	0.605	11	GGA/GAG/AGG	GENOMAD.015421.PP	1.524e-118	379	0	1	0	1	NA	NA	NA	PF07996;K03200;TIGR02791;COG5314	P-type DNA transfer protein VirB5
k121_2006312_3	859	1338	480	-1	0.610	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2320054_1	3	641	639	1	0.604	11	None	GENOMAD.059105.PP	1.113e-104	336	0	1	0	1	NA	T_virB8	NA	PF04335;COG3736;K12081;TIGR03781	Type IV secretory pathway, component VirB8
k121_2320054_2	643	1359	717	1	0.604	11	GGAGG	GENOMAD.109592.PC	3.034e-52	186	0	1	0	1	NA	T_virB9	NA	PF03524;K03204;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
k121_2320054_3	1356	2666	1311	1	0.637	11	GGxGG	GENOMAD.107266.PC	3.539e-72	253	0	1	0	1	NA	T_virB10	NA	PF03743	Bacterial conjugation TrbI-like protein
k121_2320054_4	2666	2878	213	1	0.596	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2445698_1	43	738	696	1	0.658	11	AGGA	GENOMAD.093647.PC	3.244e-119	379	0	1	0	1	NA	T_virB6	NA	PF04610;K03201;COG3704;TIGR02783	Type IV secretory pathway, VirB6 components
k121_2445698_2	774	1343	570	1	0.637	11	AGGAG	GENOMAD.088114.PC	4.621e-103	330	0	1	0	1	NA	T_virB5	NA	PF07996;K03200;TIGR02791;COG5314	P-type DNA transfer protein VirB5
k121_1694693_1	2	82	81	-1	0.605	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1694693_2	99	671	573	1	0.695	11	AGGAG	GENOMAD.070134.PP	1.302e-66	225	0	1	0	1	NA	NA	NA	PF07328	T-DNA border endonuclease VirD1
