,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
0,k121_119055,74759,,76,0.0,no,0,0,1,0,0,0,0,0
4,k121_679263,33556,,33,0.0,no,0,0,1,0,0,0,0,0
5,k121_6764,17026,,18,0.0,no,0,0,1,0,0,0,0,0
7,k121_807385,8345,,9,0.0,no,0,0,1,0,0,0,0,0
8,k121_1688102,7991,,11,0.0,no,0,0,1,0,0,0,0,0
9,k121_297500,7955,,8,-0.0,no,0,1,0,0,0,0,0,0
16,k121_1029905,5960,,4,-0.1,no,0,1,0,0,0,0,0,0
36,k121_1908967,4631,,5,-0.0,no,0,1,0,0,0,0,0,0
48,k121_589829,3809,,5,0.0,no,0,0,1,0,0,0,0,0
49,k121_569520,3779,,4,0.0,yes,0,0,1,0,0,0,0,0
51,k121_211303,3732,,6,0.0,no,0,1,0,0,0,0,0,0
54,k121_1066130,3573,,4,0.0,no,0,1,0,0,0,0,0,0
57,k121_2266930,3451,,4,0.0,yes,0,0,1,0,0,0,0,0
61,k121_2059442,3268,,3,0.0,no,0,0,1,0,0,0,0,0
70,k121_1739862,2927,,6,0.9,no,0,0,0,0,0,0,0,1
71,k121_93086,2892,,4,0.0,yes,0,0,0,0,0,1,0,0
73,k121_718284,2807,,2,0.0,no,0,1,0,0,0,0,0,0
85,k121_1631749,2537,,3,0.0,no,0,1,0,0,0,0,0,0
87,k121_1594289,2473,,2,0.1,no,0,0,0,0,0,0,0,1
88,k121_2264556,2444,,2,0.0,yes,0,0,1,0,0,0,0,0
96,k121_2266103,2291,,2,0.0,yes,0,0,1,0,0,0,0,0
99,k121_698714,2233,,4,0.2,no,0,0,0,0,0,0,0,1
100,k121_748528,2226,,1,0.0,no,0,0,1,0,0,0,0,0
105,k121_296330,2182,,2,0.0,no,0,0,1,0,0,0,0,0
107,k121_1926247,2135,,3,0.0,no,0,0,1,0,0,0,0,0
111,k121_1871789,2038,,3,0.0,no,0,0,1,0,0,0,0,0
118,k121_1672140,1869,,1,0.4,no,0,0,0,0,0,0,0,1
119,k121_1777424,1855,,1,0.0,no,0,1,0,0,0,0,0,0
124,k121_1856013,1810,,2,0.0,no,0,0,1,0,0,0,0,0
126,k121_78522,1795,,2,2.2,no,0,0,0,0,0,0,0,0
129,k121_565161,1760,,1,0.6,no,0,0,0,0,0,1,0,1
131,k121_838643,1757,,1,1.4,no,0,1,0,0,0,0,0,1
132,k121_553701,1754,,2,0.0,no,0,0,1,0,0,0,0,0
134,k121_1075059,1731,,1,0.0,no,0,1,0,0,0,0,0,0
140,k121_653961,1674,,3,9.4,no,0,0,0,0,0,2,0,1
141,k121_1625434,1663,,1,0.1,no,0,0,0,0,1,0,0,1
145,k121_726006,1630,,1,0.1,no,0,0,0,0,0,0,0,1
146,k121_819882,1613,,1,0.1,no,0,0,0,0,0,0,0,1
149,k121_1506436,1605,,1,2.6,no,0,0,0,0,0,0,0,1
157,k121_113332,1520,,2,1.5,no,0,0,0,0,0,0,0,1
158,k121_1469521,1508,,1,0.0,no,0,0,1,0,0,0,0,0
162,k121_2003570,1484,,1,6.8,no,0,1,0,0,0,0,0,1
165,k121_1675956,1474,,1,0.0,no,0,1,0,0,0,0,0,1
166,k121_68750,1466,,1,0.1,no,0,1,0,0,0,0,0,1
174,k121_333314,1372,,2,0.2,no,0,0,0,0,0,0,0,1
175,k121_1075054,1369,,2,0.0,no,0,0,1,0,0,0,0,0
177,k121_1717039,1345,,3,0.2,no,0,0,0,0,0,0,0,1
179,k121_1132802,1335,,3,1.3,no,0,0,0,0,0,0,0,1
180,k121_1661273,1329,,1,0.1,no,0,0,0,0,0,0,0,1
183,k121_250690,1291,,2,0.2,no,0,0,0,0,0,0,0,1
191,k121_410296,1220,,2,0.4,no,0,0,0,0,1,0,0,1
194,k121_1075075,1208,,1,0.0,no,0,0,1,0,0,0,0,0
201,k121_688008,1187,,1,0.1,no,0,0,0,0,0,0,0,1
209,k121_731379,1173,,1,0.4,no,0,0,0,0,0,0,0,1
212,k121_185805,1170,,3,0.0,no,0,0,1,0,0,0,0,0
217,k121_118109,1138,,1,0.0,no,0,0,1,0,0,0,0,0
218,k121_1440933,1135,,1,0.0,no,0,1,0,0,0,0,0,1
221,k121_1954789,1129,,1,1.1,no,0,0,0,0,0,0,0,1
223,k121_773043,1123,,1,1.1,no,0,0,0,0,0,0,0,1
235,k121_605957,1073,,1,0.4,no,0,0,0,0,0,0,0,1
236,k121_1330746,1062,,2,1.6,no,0,0,0,0,0,0,0,1
241,k121_941675,1044,,1,0.1,no,0,0,0,0,0,0,0,1
245,k121_1014923,1035,,3,0.4,no,0,0,0,0,0,0,0,1
254,k121_612028,1024,,1,1.1,no,0,0,0,0,0,0,0,1
256,k121_1324456,1020,,2,0.2,no,0,0,0,0,0,0,0,1
257,k121_884960,1019,,1,0.1,no,0,0,0,0,0,0,0,1
262,k121_1485564,1014,,1,0.1,no,0,0,0,0,0,0,0,1
264,k121_805504,1009,,1,0.4,no,0,0,0,0,0,0,0,1
265,k121_1597487,1004,,1,0.1,no,0,0,0,0,0,0,0,1
