ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_1524162	59281	NA	73	0.0	yes	0	0	0	0	0	0	0	0
k121_1524477	43840	NA	60	0.0	yes	0	0	0	0	0	0	0	0
k121_1524495	40798	NA	59	0.0	yes	0	0	0	0	0	0	0	0
k121_153637	37373	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_1524332	29372	NA	47	0.0	yes	0	0	0	0	0	0	0	0
k121_1524129	26001	NA	39	0.0	yes	0	0	0	0	0	0	0	0
k121_504167	18597	NA	19	0.0	no	0	0	1	0	2	0	0	0
k121_1268823	18114	NA	22	0.8	no	0	0	0	0	0	0	0	0
k121_286005	17768	NA	27	0.0	yes	0	0	0	0	0	0	0	0
k121_920097	15679	NA	25	0.0	yes	0	0	0	0	0	0	0	0
k121_938981	8756	NA	11	3.2	no	0	1	0	0	0	0	0	0
k121_194649	8101	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1079046	8052	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1524207	7007	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1407950	6633	NA	11	3.4	no	0	1	0	0	0	0	0	0
k121_156136	6453	NA	9	-0.0	no	0	1	0	0	0	0	0	0
k121_966100	6360	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1524299	6276	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_1524638	5904	NA	4	0.1	yes	0	0	0	0	0	0	0	0
k121_36969	5700	NA	5	0.4	no	0	1	1	0	0	0	0	0
k121_619755	5649	NA	6	0.0	no	0	0	1	0	0	0	0	0
k121_425121	5241	NA	7	2.4	yes	0	0	1	0	0	0	0	0
k121_475134	4917	NA	6	1.9	no	0	1	1	0	0	0	0	0
k121_1516997	4601	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_886888	4431	NA	6	0.0	no	0	1	0	0	0	0	0	0
k121_1524394	4251	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_780493	4203	NA	4	0.0	yes	0	0	1	0	0	0	0	0
k121_982731	4198	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_804589	4187	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1483854	4112	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1524371	4093	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1524146	4068	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_64312	4045	NA	4	0.1	no	0	0	1	0	0	0	0	0
k121_409409	4019	NA	4	1.9	no	0	1	1	0	0	0	0	0
k121_1383353	4015	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_1524951	3997	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_332689	3854	NA	5	0.0	no	0	1	0	0	0	0	0	0
k121_1306102	3741	NA	5	-0.0	no	0	1	0	0	0	0	0	0
k121_1524533	3624	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_1524841	3148	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1524424	3051	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1172706	2956	NA	3	0.0	no	0	1	0	0	0	0	0	0
k121_711957	2929	NA	3	0.0	no	0	0	1	0	0	0	0	0
k121_138043	2887	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_1524794	2778	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_435694	2752	NA	4	2.2	no	0	0	1	0	0	0	0	0
k121_251400	2748	NA	2	0.9	no	0	0	1	0	0	0	0	0
k121_682136	2730	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_636566	2711	NA	3	1.0	no	0	0	0	0	0	0	0	0
k121_1343364	2691	NA	2	0.1	no	0	1	0	0	0	0	0	0
k121_207986	2609	NA	1	3.8	no	0	0	1	0	0	0	0	1
k121_17965	2603	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_385031	2505	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_498068	2488	NA	3	17.1	no	0	0	0	0	0	2	0	1
k121_1525279	2487	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1524655	2437	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1524293	2434	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1525164	2408	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_212393	2308	NA	2	0.0	no	0	1	0	0	0	0	0	0
k121_1525251	2308	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1525130	2293	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1325833	2283	NA	1	12.3	no	0	0	0	0	0	0	0	0
k121_1525749	2279	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1526667	2248	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1525106	2245	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1524400	2222	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_466443	2220	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1525236	2213	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1494071	2162	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1524838	2158	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1211379	2146	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1524940	2104	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1525208	2102	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1525183	2091	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_775606	2024	NA	3	1.4	no	0	0	0	0	0	0	0	0
k121_252784	2000	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1525025	1996	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_917396	1979	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1447160	1971	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_631546	1944	NA	1	0.0	no	0	1	0	0	0	0	0	0
k121_1524439	1943	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1525093	1941	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_171957	1933	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1245792	1931	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1381837	1908	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1525471	1906	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1290450	1899	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_315017	1897	NA	5	0.8	no	0	0	1	0	0	0	0	0
k121_1526036	1875	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1354093	1870	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_266250	1865	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1524325	1859	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1525583	1859	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_865294	1858	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_105752	1848	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1525752	1835	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_955062	1824	NA	2	2.3	no	0	0	0	0	0	0	0	0
k121_1006121	1821	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1341791	1797	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_1524468	1794	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_4134	1776	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1524645	1776	NA	1	0.0	yes	0	0	0	0	0	0	0	0
