ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_1690684	80976	NA	135	0.0	yes	0	0	0	0	0	0	0	0
k121_2802612	59210	NA	93	0.0	yes	0	0	0	0	0	0	0	0
k121_1262629	46774	NA	38	0.0	yes	0	0	0	0	0	0	0	0
k121_1171241	40606	NA	44	0.0	yes	0	0	0	0	0	0	0	0
k121_2802769	40448	NA	59	0.0	yes	0	0	0	0	0	0	0	0
k121_2802656	34411	NA	47	0.0	yes	0	0	0	0	0	0	0	0
k121_344836	18684	NA	18	0.0	no	0	0	1	0	0	0	0	0
k121_2489741	14334	NA	21	0.0	yes	0	0	0	0	0	0	0	0
k121_1064244	13227	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2802630	10004	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2802674	9654	NA	21	0.0	yes	0	0	0	0	0	0	0	0
k121_2802757	8575	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1917568	8387	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_704075	8367	NA	8	0.0	no	0	1	0	0	0	0	0	0
k121_2590545	8336	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2747595	7964	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2803411	7845	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_2393476	7605	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2803858	7491	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_1203791	7320	NA	13	0.0	yes	0	0	0	0	0	0	0	0
k121_2802834	6997	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_351702	6977	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2803816	6621	NA	4	0.0	yes	0	0	0	0	0	0	3	0
k121_1780034	6442	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2802845	6304	NA	12	0.0	yes	0	0	0	0	0	0	0	0
k121_2804430	6275	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2803287	5973	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2802621	5963	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_958498	5951	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2803200	5926	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2803804	5768	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2161637	5713	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2802756	5672	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_836595	5613	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1662914	5581	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_843304	5554	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2067483	5543	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1105235	5491	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_2410286	5435	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_768943	5427	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_96284	5414	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_325807	5333	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2027570	5169	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2035065	5167	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1268186	5163	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2406625	5142	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1105797	5136	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1761774	5102	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1680608	5086	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2650002	5062	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_994275	5046	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2803064	5036	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_600777	5035	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_81113	5028	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1067087	5028	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2802841	5004	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_405714	5002	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2680478	4980	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_353597	4944	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2254271	4943	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2393914	4914	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_220982	4870	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_256710	4823	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2803087	4794	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2562341	4715	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1410880	4710	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2780522	4706	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2805304	4705	NA	3	0.0	yes	0	0	0	0	0	0	0	0
