ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_1034498	185940	NA	158	0.0	yes	0	0	0	0	0	0	0	0
k121_1301669	93983	NA	99	0.0	no	0	0	1	0	7	0	0	0
k121_2529942	91445	NA	95	0.0	yes	0	0	0	0	0	0	0	0
k121_2261621	86521	NA	66	0.0	no	0	0	1	0	3	0	0	0
k121_1565751	67933	NA	100	0.0	yes	0	0	0	0	0	0	0	0
k121_1347263	65006	NA	91	0.0	yes	0	0	0	0	0	0	0	0
k121_422530	64874	NA	89	0.0	yes	0	0	0	0	0	0	0	0
k121_2003350	63248	NA	90	0.0	yes	0	0	0	0	0	0	0	0
k121_1875126	61101	NA	86	0.0	yes	0	0	0	0	0	0	0	0
k121_362603	60188	NA	98	0.0	yes	0	0	0	0	0	0	0	0
k121_2289262	59335	NA	94	0.0	yes	0	0	0	0	0	0	0	0
k121_1251706	58561	NA	78	0.0	yes	0	0	0	0	0	0	0	0
k121_2529938	56932	NA	75	0.0	yes	0	0	0	0	0	0	0	0
k121_2529971	54857	NA	85	0.0	yes	0	0	0	0	0	0	0	0
k121_953406	44221	NA	55	0.0	yes	0	0	0	0	0	0	0	0
k121_2530272	44042	NA	64	0.0	yes	0	0	0	0	0	0	0	0
k121_2530316	42597	NA	55	0.0	yes	0	0	0	0	0	0	0	0
k121_1215685	40930	NA	62	0.0	yes	0	0	0	0	0	0	0	0
k121_549954	40919	NA	55	0.0	yes	0	0	0	0	0	0	0	0
k121_2529983	39813	NA	48	0.0	yes	0	0	0	0	0	0	0	0
k121_2530262	39333	NA	51	0.0	yes	0	0	0	0	0	0	0	0
k121_2529995	38995	NA	60	0.0	yes	0	0	0	0	0	0	0	0
k121_1572530	38961	NA	74	0.0	yes	0	0	0	0	0	0	0	0
k121_1720297	38910	NA	62	0.0	yes	0	0	0	0	0	0	0	0
k121_2530255	38657	NA	59	0.0	yes	0	0	0	0	0	0	0	0
