ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_2610805	204970	NA	202	0.0	yes	0	0	0	0	0	0	0	0
k121_1681842	104021	NA	110	0.0	no	0	0	1	0	2	2	0	0
k121_278461	102539	NA	93	0.0	no	0	0	1	0	0	0	0	0
k121_985543	91043	NA	87	-0.0	no	0	0	1	0	0	0	0	0
k121_561200	50958	NA	49	0.0	no	0	0	1	0	0	0	0	0
k121_139300	50753	NA	78	0.0	yes	0	0	0	0	0	0	0	0
k121_1311298	47371	NA	42	0.0	no	0	0	1	0	1	0	0	0
k121_1051971	32275	NA	30	0.0	no	0	1	0	0	0	0	0	0
k121_1905972	29099	NA	29	-0.0	no	0	1	0	0	0	0	0	0
k121_201660	23415	NA	27	0.5	yes	0	3	1	0	0	3	0	0
k121_1759199	20517	NA	18	-6.9	no	0	0	1	0	3	0	0	0
k121_529429	18288	NA	14	1.8	no	0	0	0	0	1	0	0	1
k121_901573	17684	NA	10	2.1	no	0	0	0	0	0	0	0	1
k121_1536432	17570	NA	22	2.1	no	0	0	0	0	0	0	0	0
k121_2361307	17500	NA	19	-1.9	no	0	0	1	0	0	0	0	0
k121_1446313	17415	NA	10	0.0	no	0	1	0	0	0	0	0	0
k121_170845	16229	NA	17	0.0	no	0	1	1	0	0	0	0	0
k121_1442831	15478	NA	13	2.0	no	0	0	0	0	1	0	0	0
k121_911402	14432	NA	15	3.0	no	1	0	0	0	8	0	0	1
k121_1103352	14238	NA	17	0.0	yes	0	0	0	0	0	0	0	0
k121_1572639	14198	NA	17	-2.5	no	0	0	1	0	1	0	0	0
k121_669561	14143	NA	11	0.0	no	0	0	1	0	1	0	0	0
k121_1089913	13880	NA	9	2.1	no	0	0	0	0	0	0	0	1
k121_1049346	13527	NA	14	0.3	no	0	0	0	0	0	0	0	1
k121_1114639	12841	NA	16	-0.4	no	0	1	0	0	0	0	0	0
k121_1849166	12690	NA	17	-1.2	no	0	0	1	0	0	0	0	0
k121_100636	12523	NA	14	-0.6	no	0	1	0	0	0	0	0	0
k121_443125	12446	NA	12	0.0	no	0	0	1	0	0	0	0	0
k121_711324	11985	NA	13	2.6	no	0	0	1	1	3	0	0	1
k121_2491114	11718	NA	12	0.8	no	0	0	0	0	7	0	0	1
k121_2553004	11656	NA	14	1.4	no	0	1	0	0	0	6	0	0
k121_111736	11641	NA	4	0.0	no	0	0	1	0	1	0	0	0
k121_625864	11633	NA	10	-6.7	no	0	0	1	0	0	1	0	0
k121_800964	10481	NA	12	2.0	no	0	0	0	0	0	0	0	1
k121_2018351	10455	NA	13	0.0	no	0	0	1	0	0	0	0	0
k121_2055388	10406	NA	11	0.0	no	0	1	0	0	0	0	0	0
k121_1452576	10294	NA	7	0.0	no	0	1	0	0	0	0	0	0
k121_261515	10230	NA	12	0.0	no	0	1	0	0	0	0	0	0
k121_170505	10021	NA	7	-1.1	no	0	0	1	0	0	0	0	0
k121_462487	9970	NA	11	-0.9	no	0	0	1	0	0	0	0	0
k121_61752	9902	NA	10	-4.6	no	0	0	1	0	0	0	0	1
k121_919694	9804	NA	5	0.3	no	0	0	0	0	0	0	0	1
k121_100566	9795	NA	14	0.7	no	0	0	0	0	0	0	0	1
k121_526126	9677	NA	10	1.2	no	0	0	0	0	0	0	0	1
k121_359557	9364	NA	8	0.0	no	0	1	0	0	0	0	0	0
k121_1541674	9344	NA	9	0.1	no	0	0	1	0	0	0	0	1
k121_1600641	9253	NA	13	-1.3	no	0	0	1	0	0	0	0	0
k121_2315557	9169	NA	7	0.3	no	1	0	1	0	0	0	0	0
k121_2390562	9088	NA	7	0.0	no	0	0	1	0	1	0	0	0
k121_826958	8892	NA	10	-0.0	no	0	1	0	0	0	0	0	0
k121_2195570	8507	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_697687	8489	NA	8	-7.2	yes	0	0	0	0	0	0	0	0
k121_2587175	8150	NA	15	0.0	no	0	0	2	0	0	0	0	0
k121_2483221	8084	NA	10	0.1	no	0	0	1	0	0	0	0	0
k121_1654542	8060	NA	9	0.0	no	0	0	1	0	0	0	0	0
k121_2179585	8043	NA	10	2.3	no	0	0	0	0	0	0	0	1
k121_131516	7983	NA	9	-2.3	no	0	1	0	0	0	0	0	0
k121_1955556	7872	NA	8	2.3	no	0	0	0	0	0	0	0	1
k121_472565	7870	NA	8	0.0	no	0	0	1	0	0	0	0	0
k121_1245493	7859	NA	8	-6.1	no	0	1	0	0	0	0	0	0
k121_1848251	7647	NA	5	10.5	no	0	0	0	0	0	2	0	0
k121_2455860	7602	NA	7	0.2	no	0	0	0	0	0	0	0	1
k121_1573909	7587	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_498535	7540	NA	8	0.3	no	0	0	0	0	0	0	0	1
k121_1886861	7478	NA	8	0.5	no	0	0	1	0	0	1	0	0
k121_1844961	7410	NA	12	0.4	no	0	1	1	0	0	0	0	0
k121_1772136	7362	NA	11	1.6	no	0	0	0	0	0	0	0	1
k121_28448	7343	NA	6	0.1	no	0	0	0	0	0	0	0	1
k121_2499658	7184	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_2154533	7180	NA	5	0.1	no	0	0	0	0	1	0	0	1
k121_227335	7146	NA	6	0.0	no	0	1	0	0	0	0	0	0
k121_2065608	7074	NA	7	-1.8	no	0	0	1	0	1	0	0	0
k121_842676	7019	NA	6	0.0	no	0	0	1	0	0	0	0	0
k121_2005559	6970	NA	7	-0.1	no	0	0	1	0	0	0	0	0
k121_1602658	6909	NA	8	2.8	no	0	0	0	0	0	0	0	1
k121_216971	6905	NA	7	0.0	no	0	0	1	0	0	1	0	0
k121_820174	6893	NA	9	-1.8	no	0	0	1	0	0	0	0	0
k121_351226	6775	NA	7	0.1	no	0	0	0	0	0	0	0	1
k121_2529586	6710	NA	11	0.0	no	0	1	0	0	0	0	0	0
k121_2235410	6699	NA	3	0.2	no	0	0	0	0	0	0	0	1
k121_142992	6694	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_704863	6618	NA	11	2.0	no	0	0	0	0	0	0	0	1
k121_856599	6574	NA	10	-0.1	no	0	0	1	0	0	0	0	0
k121_2286739	6485	NA	10	0.2	no	0	0	1	0	0	0	0	0
k121_1779841	6456	NA	5	0.0	no	0	0	1	0	0	0	0	0
k121_212132	6377	NA	8	3.0	no	0	0	0	0	0	1	0	0
k121_154684	6308	NA	5	0.5	no	0	0	0	0	0	0	0	1
k121_1547371	6263	NA	6	0.7	no	0	1	1	0	0	0	0	0
k121_165015	6200	NA	8	0.0	no	0	1	0	0	0	0	0	0
k121_2166445	6179	NA	8	1.8	no	0	0	0	0	0	0	0	1
k121_699093	6149	NA	3	0.6	no	0	0	0	0	0	0	0	1
k121_1681398	6116	NA	10	14.8	no	0	0	0	0	0	6	0	0
k121_720134	6092	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_400960	6037	NA	6	0.2	no	0	2	2	0	0	0	0	0
k121_777636	6017	NA	7	0.0	no	0	0	1	0	0	0	0	0
k121_35144	5990	NA	2	1.4	no	0	0	0	0	0	0	0	1
k121_1987742	5982	NA	5	0.9	no	0	0	0	0	0	0	0	1
