gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_704383_1	1	249	249	1	0.622	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_704383_2	249	1409	1161	1	0.624	11	AGxAGG/AGGxGG	GENOMAD.130028.PC	6.415e-32	132	0	1	0	1	NA	T_virB6	NA	K03201;COG3704	Type IV secretory pathway, VirB6 components
k121_704383_3	1411	2322	912	1	0.609	11	GGAG/GAGG	GENOMAD.110958.PC	4.203e-31	127	0	1	0	1	NA	T_virB9	NA	PF03524;K03204;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
k121_704383_4	2324	3208	885	1	0.644	11	AGxAGG/AGGxGG	GENOMAD.107266.PC	3.752e-26	112	0	1	0	1	NA	T_virB10	NA	PF03743	Bacterial conjugation TrbI-like protein
k121_2538139_1	241	390	150	1	0.500	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2538139_2	436	690	255	1	0.545	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2538139_3	773	1804	1032	1	0.506	11	GGA/GAG/AGG	GENOMAD.027207.PP	1.482e-15	81	0	1	0	1	NA	NA	NA	PF06723;TIGR03739;K18640	PRTRC system protein D
k121_2538139_4	1804	2007	204	1	0.456	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2538139_5	2099	2347	249	1	0.430	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2538139_6	2444	2779	336	1	0.503	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2538139_7	2776	3120	345	1	0.554	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2538139_8	3117	3314	198	1	0.389	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2538139_9	3372	4088	717	1	0.551	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2538139_10	4143	4526	384	1	0.536	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1200937_1	2	1018	1017	-1	0.647	11	None	GENOMAD.002490.PP	1.281e-14	78	0	1	0	1	NA	NA	NA	PF19514;COG4453	MobC-like protein
k121_2082394_1	2	817	816	1	0.393	11	None	GENOMAD.084811.PC	4.763e-05	47	0	1	0	1	NA	F_traF	NA	PF13728;K12057;TIGR02739;COG0386	type-F conjugative transfer system pilin assembly protein TraF
k121_2082394_2	823	1269	447	1	0.450	11	AGxAGG/AGGxGG	GENOMAD.092909.PC	5.177e-13	68	0	1	0	1	NA	F_traH	NA	K12072	NA
k121_287387_1	1	219	219	1	0.644	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
