ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_980360	160591	NA	199	0.0	yes	0	0	0	0	0	0	0	0
k121_250107	111967	NA	137	0.0	yes	0	0	0	0	0	0	0	0
k121_719014	66128	NA	100	0.0	yes	0	0	0	0	0	0	0	0
k121_873621	64151	NA	102	0.0	yes	0	0	0	0	0	0	0	0
k121_980448	58096	NA	84	0.0	yes	0	0	0	0	0	0	0	0
k121_640213	56926	NA	79	0.0	yes	0	0	0	0	0	0	0	0
k121_777639	43612	NA	52	-0.4	no	0	0	1	0	0	0	0	0
k121_980672	42946	NA	61	0.0	yes	0	0	0	0	0	0	0	0
k121_829523	41868	NA	60	0.0	yes	0	0	0	0	0	0	0	0
k121_980358	41695	NA	64	0.0	yes	0	0	0	0	0	0	0	0
k121_70337	41245	NA	61	0.0	yes	0	0	0	0	0	0	0	0
k121_740809	38441	NA	63	0.0	yes	0	0	0	0	0	0	0	0
k121_628859	35541	NA	57	0.0	yes	0	0	0	0	0	0	0	0
k121_980359	34836	NA	56	0.0	yes	0	0	0	0	0	0	0	0
k121_876364	34166	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_980371	34089	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_980356	33358	NA	49	0.0	yes	0	0	0	0	0	0	0	0
k121_235166	32651	NA	56	0.0	yes	0	0	0	0	0	0	0	0
k121_849310	30856	NA	49	0.0	yes	0	0	0	0	0	0	0	0
k121_980759	16572	NA	31	0.0	yes	0	0	0	0	0	0	0	0
k121_980451	15542	NA	26	0.0	yes	0	0	0	0	0	0	0	0
k121_417929	14713	NA	26	0.0	yes	0	0	0	0	0	0	0	0
k121_85391	13946	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_317840	13741	NA	15	0.0	no	0	0	1	0	0	0	0	0
k121_172362	12027	NA	15	0.8	no	0	0	0	0	0	0	0	0
k121_980436	11695	NA	17	0.0	yes	0	0	0	0	0	0	0	0
k121_16285	7839	NA	7	0.7	no	0	0	0	0	0	0	0	1
k121_92421	6221	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_175530	5696	NA	8	0.0	yes	0	1	0	0	0	0	0	0
k121_634838	5364	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_980367	5355	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_75346	5125	NA	5	0.0	no	0	0	1	0	0	0	0	0
k121_418798	5081	NA	1	0.0	yes	0	0	0	0	0	0	3	0
k121_980428	5012	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_980378	4570	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_980512	4525	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_362674	4496	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_89664	4475	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_981200	4455	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_980364	4451	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_981338	4444	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_980497	4422	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_881224	4376	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_980496	4351	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_851379	4339	NA	4	0.0	no	0	2	0	0	0	0	0	0
k121_92355	4271	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_442421	4233	NA	2	0.9	no	0	0	0	0	0	0	0	0
