ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_259225	43203	NA	48	0.0	yes	0	0	0	0	0	0	0	0
k121_2198942	41504	NA	43	0.0	yes	0	0	0	0	0	0	0	0
k121_2198984	41019	NA	56	0.0	yes	0	0	0	0	0	0	0	0
k121_2198929	40298	NA	63	0.0	yes	0	0	0	0	0	0	0	0
k121_1905197	35959	NA	38	0.0	yes	0	0	0	0	0	0	3	0
k121_634456	16817	NA	27	0.0	yes	0	0	0	0	0	0	0	0
k121_400720	14573	NA	12	0.0	yes	0	0	0	0	0	0	0	0
k121_792314	13445	NA	13	0.0	yes	0	0	0	0	0	0	0	0
k121_2199093	10577	NA	5	0.0	yes	0	0	0	0	0	0	4	0
k121_2199014	8656	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1971998	8556	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_984289	8385	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1820511	7957	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1268163	7267	NA	12	0.0	yes	0	0	0	0	0	0	0	0
k121_501639	7173	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2199737	6832	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1117078	6819	NA	11	0.0	yes	0	0	0	0	0	0	0	0
k121_2053427	6763	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_875778	6737	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1894852	6584	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1729193	6491	NA	8	0.0	no	0	0	1	0	0	0	0	0
k121_847271	6453	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2058108	6441	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_220465	6160	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2199365	6141	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2199017	6012	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1251140	5891	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1566788	5652	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_730719	5544	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2199067	5531	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_243673	5482	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_543729	5473	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1553078	5327	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_300932	5306	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1930384	5235	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1054214	5053	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1462236	4846	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_1821775	4837	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2200243	4792	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2198967	4726	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_67009	4721	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_116978	4674	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_892065	4441	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_794698	4409	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2198908	4406	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1020518	4350	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1984402	4308	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2199684	4294	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_859737	4218	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_953540	4127	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2198969	4112	NA	13	0.0	yes	0	0	0	0	0	0	0	0
k121_1494825	4110	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2201139	4084	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1516258	4017	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1720453	3979	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2199358	3813	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_776938	3777	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2199831	3557	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2079385	3550	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2004759	3345	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_2199146	3325	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2199719	3254	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1291649	3171	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2199794	3153	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2201165	3147	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_451819	3124	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2199892	3115	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2199254	3103	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_44578	3054	NA	2	0.0	yes	0	0	0	0	0	0	2	0
k121_226044	2958	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2199364	2937	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2199149	2926	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1597297	2907	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_293912	2869	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_63084	2849	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1346871	2768	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2199906	2720	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_682244	2702	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2200271	2676	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_729020	2666	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2199322	2611	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2199273	2609	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2201515	2587	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2200277	2581	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2199908	2491	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2198999	2467	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2199178	2447	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2097460	2407	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_12689	2401	NA	3	0.4	no	0	0	0	0	0	0	0	1
k121_2199218	2401	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1132614	2392	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2199862	2360	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2199665	2359	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2199395	2263	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2200433	2245	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_344091	2214	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2200777	2196	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2198962	2188	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_2198906	2182	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_610681	2174	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2071385	2158	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_43034	2154	NA	1	0.1	no	0	0	0	0	0	0	0	1
k121_1329241	2141	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2199058	2122	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2198971	2110	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1506833	2091	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2199631	2091	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2199343	2050	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_969737	2048	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2202026	2023	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2199453	2020	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2201081	2017	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2199430	2013	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_678786	1984	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2199747	1978	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1649628	1969	NA	1	0.0	yes	0	0	0	0	0	0	2	0
k121_2199877	1960	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2201274	1945	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_317734	1921	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2038537	1908	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_277010	1895	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2198935	1882	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2199047	1864	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2199740	1859	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1490011	1810	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1229918	1810	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2199348	1810	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1282932	1804	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2200810	1789	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_757958	1788	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2199734	1771	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1055620	1762	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2199491	1759	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2199166	1745	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_885657	1741	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1413863	1741	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2198913	1738	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2199422	1737	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1333393	1708	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2200992	1708	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_574865	1707	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2199897	1702	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2199529	1679	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_903159	1677	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1601172	1656	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1604800	1625	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1376468	1623	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1632562	1622	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1053221	1618	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_665945	1615	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1650502	1612	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2199838	1612	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1963774	1611	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_399191	1603	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2199357	1598	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2201187	1592	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2202091	1588	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1840625	1585	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2199354	1585	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1087869	1581	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_338088	1579	NA	0	0.0	yes	0	0	0	0	0	0	0	0
