gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_793685_1	1	243	243	1	0.346	11	None	GENOMAD.171200.PC	5.525e-40	142	0	0	0	1	NA	C_alr7209	NA	NA	NA
k121_793685_2	360	1946	1587	1	0.425	11	GGA/GAG/AGG	GENOMAD.154394.PC	5.004e-217	678	0	1	0	1	NA	C_alr7210	NA	PF03743	Bacterial conjugation TrbI-like protein
k121_793685_3	1959	2630	672	1	0.390	11	None	GENOMAD.130322.PC	4.656e-94	306	0	0	0	1	NA	C_alr7211	NA	NA	NA
k121_793685_4	2776	3312	537	1	0.425	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_793685_5	3650	5374	1725	1	0.408	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_512560_1	2	1372	1371	-1	0.608	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_512560_2	1507	2106	600	1	0.588	11	AGGA	GENOMAD.107250.PP	1.159e-45	165	0	1	0	1	NA	NA	NA	PF14516;TIGR02928;COG1474;K06921	orc1/cdc6 family replication initiation protein
k121_516838_1	1	948	948	-1	0.360	11	None	GENOMAD.114573.PP	1.228e-19	93	0	0	0	1	NA	C_alr7208	NA	NA	NA
k121_516838_2	999	1850	852	-1	0.349	11	GGA/GAG/AGG	GENOMAD.146719.PC	6.423e-102	332	0	0	0	1	NA	C_alr7207	NA	NA	NA
k121_516838_3	1908	3464	1557	-1	0.376	11	None	GENOMAD.178417.PC	3.365e-315	961	0	1	0	1	NA	virb4	NA	PF19044;PF19357;TIGR03744;COG3451;K12063	conjugative transfer ATPase, PFL_4706 family
k121_403311_1	1	1059	1059	1	0.664	11	None	GENOMAD.111044.PP	0.000675	44	0	1	0	1	NA	NA	NA	PF03135	CagE, TrbE, VirB family, component of type IV transporter system
k121_179745_1	2	652	651	-1	0.326	11	None	GENOMAD.178417.PC	5.71e-97	314	0	1	0	1	NA	virb4	NA	PF19044;PF19357;TIGR03744;COG3451;K12063	conjugative transfer ATPase, PFL_4706 family
k121_179745_2	600	1034	435	-1	0.393	11	None	GENOMAD.191263.PC	2.806e-53	184	0	0	0	1	NA	C_alr7205	NA	NA	NA
k121_694907_1	3	101	99	1	0.384	11	None	GENOMAD.068337.PP	4.512e-12	59	0	0	0	1	NA	NA	NA	NA	NA
k121_694907_2	535	957	423	1	0.312	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_694907_3	1058	2287	1230	-1	0.381	11	AAAA	GENOMAD.145866.PC	2.607e-87	296	0	1	0	1	NA	NA	NA	PF06406;TIGR03739;K18640	PRTRC system protein D
k121_694907_4	2390	2914	525	-1	0.312	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_694907_5	3133	3285	153	1	0.327	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_694907_6	3618	4022	405	1	0.410	11	None	GENOMAD.159317.PV	5.516e-05	44	0	1	0	1	NA	NA	NA	PF19514	MobC-like protein
k121_694907_7	4186	5667	1482	1	0.438	11	TACAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_694907_8	5846	6376	531	-1	0.350	11	TAAA	GENOMAD.053689.PP	2.331e-87	284	0	0	0	1	NA	NA	NA	NA	NA
k121_694907_9	6422	13087	6666	1	0.370	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_694907_10	13132	13914	783	1	0.309	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_694907_11	13974	14636	663	-1	0.360	11	TAA	GENOMAD.116624.CP	1.831e-94	307	0	0	0	1	NA	NA	NA	NA	NA
k121_694907_12	15221	19234	4014	-1	0.402	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_694907_13	19718	20032	315	1	0.438	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_694907_14	20109	20309	201	1	0.418	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_694907_15	20299	20541	243	1	0.453	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_695398_1	2	829	828	1	0.423	11	None	GENOMAD.027207.PP	3.68e-122	390	0	1	0	1	NA	NA	NA	PF06723;TIGR03739;K18640	PRTRC system protein D
k121_695398_2	839	1144	306	1	0.405	11	GGA/GAG/AGG	GENOMAD.027207.PP	4.125e-45	158	0	1	0	1	NA	NA	NA	PF06723;TIGR03739;K18640	PRTRC system protein D
k121_695398_3	1122	1733	612	-1	0.459	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_360201_1	3	2081	2079	1	0.709	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_360201_2	2093	3226	1134	-1	0.732	11	GGA/GAG/AGG	GENOMAD.101048.PP	5.328e-33	135	0	1	0	1	NA	NA	NA	PF11740	Plasmid replication region DNA-binding N-term
k121_360201_3	3398	4534	1137	1	0.708	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_360201_4	4576	4890	315	-1	0.667	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_310033_1	1	321	321	1	0.315	11	None	GENOMAD.166478.PC	3.895e-40	144	0	1	0	1	NA	C_alr7209	NA	PF11393	NA
k121_310033_2	318	1181	864	1	0.409	11	TAAA	GENOMAD.154394.PC	1.201e-12	71	0	1	0	1	NA	C_alr7210	NA	PF03743	Bacterial conjugation TrbI-like protein
k121_821619_1	465	1769	1305	-1	0.395	11	None	GENOMAD.104176.VV	8.977e-12	70	0	0	0	2561	Caudoviricetes	NA	NA	PF11868;PF01930;K02343;COG2256;TIGR02397	Replication-associated recombination protein RarA (DNA-dependent ATPase)
k121_821619_2	2004	3437	1434	-1	0.345	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_821619_3	3624	3929	306	-1	0.333	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_821619_4	4150	4467	318	-1	0.346	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_821619_5	4616	5494	879	-1	0.388	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_821619_6	5704	6315	612	-1	0.448	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_821619_7	6312	7019	708	-1	0.383	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_821619_8	6998	7744	747	-1	0.364	11	None	GENOMAD.225535.VP	1.07e-50	182	0	0	0	1	NA	NA	NA	NA	NA
k121_821619_9	7744	8178	435	-1	0.375	11	None	GENOMAD.226239.VP	6.242e-86	278	0	0	0	1	NA	NA	NA	PF14454;TIGR03738	PRTRC system protein C
k121_821619_10	8180	8647	468	-1	0.350	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_821619_11	8657	9421	765	-1	0.431	11	None	GENOMAD.153153.VP	1.521e-21	97	0	0	0	2561	Caudoviricetes	NA	NA	K21238	NA
k121_821619_12	9639	9755	117	-1	0.402	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_821619_13	9782	10006	225	1	0.298	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_821619_14	10135	12924	2790	-1	0.378	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_821619_15	12930	16406	3477	-1	0.384	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_821619_16	16443	18728	2286	-1	0.341	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_821619_17	18982	20712	1731	-1	0.402	11	None	GENOMAD.136080.PC	1.313e-128	424	0	1	0	1	NA	t4cp1	NA	PF02534;COG3505;TIGR02767;K03205	Type IV secretory pathway, VirD4 component, TraG/TraD family ATPase
k121_821619_18	20829	22115	1287	-1	0.342	11	AGGA	GENOMAD.154272.PC	5.164e-59	214	0	0	0	1	NA	C_alr7212	NA	NA	NA
k121_821619_19	22165	22950	786	-1	0.417	11	GGAGG	GENOMAD.123532.PC	1.395e-117	376	0	0	0	1	NA	C_alr7211	NA	NA	NA
k121_821619_20	22993	24705	1713	-1	0.375	11	GGA/GAG/AGG	GENOMAD.167280.PC	3.137e-97	332	0	0	0	1	NA	C_alr7210	NA	NA	NA
k121_821619_21	25125	25907	783	-1	0.350	11	GGA/GAG/AGG	GENOMAD.166478.PC	8.206e-79	264	0	1	0	1	NA	C_alr7209	NA	PF11393	NA
k121_821619_22	25947	27089	1143	-1	0.390	11	AGGA	GENOMAD.114573.PP	1.155e-28	122	0	0	0	1	NA	C_alr7208	NA	NA	NA
k121_821619_23	27184	27942	759	-1	0.395	11	GGA/GAG/AGG	GENOMAD.147529.PC	1.104e-28	118	0	0	0	1	NA	C_alr7207	NA	NA	NA
