gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_2139169_1	3	119	117	-1	0.615	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2139169_2	107	388	282	-1	0.628	11	AGGAG	GENOMAD.166273.PC	7.415e-05	42	0	0	0	1	NA	NA	NA	NA	NA
k121_2139169_3	662	1654	993	1	0.605	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2139169_4	1783	2544	762	-1	0.589	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2139169_5	3162	3455	294	-1	0.605	11	None	GENOMAD.147643.PC	3.282e-22	92	0	1	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385	Plasmid stabilization system protein ParE
k121_1308946_1	2	796	795	-1	0.647	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1308946_2	948	1133	186	-1	0.624	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1308946_3	1293	1673	381	1	0.643	11	GGA/GAG/AGG	GENOMAD.159121.CP	6.855e-10	58	0	0	0	1	NA	NA	NA	PF12681;COG3565;TIGR03081;K08234	Predicted dioxygenase of extradiol dioxygenase family
k121_1308946_4	1716	2045	330	-1	0.609	11	None	GENOMAD.142672.PC	7.384e-43	152	0	1	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385	Plasmid stabilization system protein ParE
k121_1308946_5	2042	2326	285	-1	0.604	11	AGxAG	GENOMAD.138269.PC	6.009e-15	71	0	0	0	1	NA	NA	NA	PF03693;COG3609;TIGR02384	Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain
k121_1308946_6	2659	3159	501	1	0.513	11	None	GENOMAD.205484.PC	2.467e-06	49	0	0	0	1	NA	NA	NA	PF13527;K12632;COG1247;TIGR04045	L-amino acid N-acyltransferase YncA
k121_1308946_7	3225	4502	1278	-1	0.656	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1843984_1	2	787	786	-1	0.533	11	GGAG/GAGG	GENOMAD.100869.PC	1.567e-26	112	0	1	0	1	NA	virb4	NA	PF11130;K12063;TIGR02746;COG3451	TraC protein
k121_1843984_2	769	1158	390	-1	0.490	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1843984_3	1155	1994	840	-1	0.556	11	GGAG/GAGG	GENOMAD.094143.PC	5.57e-54	193	0	1	0	1	NA	F_traB	NA	K12065	NA
k121_1310919_1	78	599	522	1	0.563	11	None	GENOMAD.092848.PP	1.329e-05	47	0	1	0	1	NA	NA	NA	PF07328;COG4453	T-DNA border endonuclease VirD1
k121_1310919_2	580	1449	870	1	0.533	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2082607_1	1	93	93	1	0.355	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2082607_2	123	305	183	1	0.361	11	TAAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2082607_3	612	911	300	1	0.540	11	TAA	GENOMAD.100213.PP	2.251e-58	196	0	1	0	1	NA	NA	NA	PF19514;COG4453	MobC-like protein
k121_2082607_4	908	1702	795	1	0.511	11	AAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2082607_5	1659	2111	453	1	0.466	11	None	GENOMAD.089508.PP	1.384e-88	286	0	0	0	1	NA	NA	NA	NA	NA
k121_2082607_6	2131	2361	231	1	0.506	11	TAA	GENOMAD.057988.PP	3.321e-43	151	0	0	0	1	NA	NA	NA	NA	NA
k121_2082607_7	2398	3423	1026	-1	0.420	11	AAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2082607_8	3836	4087	252	1	0.433	11	TAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2082607_9	4084	4359	276	1	0.446	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2082607_10	4370	4567	198	1	0.485	11	TAAA	GENOMAD.063185.PP	3.568e-37	133	0	0	0	1	NA	NA	NA	NA	NA
k121_2082607_11	4759	5058	300	1	0.520	11	TAA	GENOMAD.100213.PP	1.01e-58	197	0	1	0	1	NA	NA	NA	PF19514;COG4453	MobC-like protein
k121_2082607_12	5055	5336	282	1	0.504	11	TAAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_480938_1	1	231	231	-1	0.541	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_480938_2	244	1023	780	-1	0.510	11	GGAG/GAGG	GENOMAD.118512.PC	4.267e-36	140	0	1	0	1	NA	G_tfc7	NA	PF14348;TIGR03747	integrating conjugative element membrane protein, PFL_4697 family
k121_480938_3	1037	2656	1620	-1	0.538	11	None	GENOMAD.121686.PC	4.927e-286	878	0	1	0	1	NA	t4cp1	NA	PF10412;K12071;TIGR03754;COG3505	conjugative coupling factor TraD, TOL family
k121_1847094_1	1	228	228	1	0.658	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1847094_2	257	580	324	-1	0.574	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1847094_3	822	1484	663	1	0.535	11	None	GENOMAD.196478.PC	3.103e-19	89	0	0	0	1	NA	NA	NA	PF08722;PF08721	TnsA-like endonuclease N terminal; TnsA endonuclease C terminal
k121_1847094_4	1481	3394	1914	1	0.545	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1847094_5	3391	4293	903	1	0.522	11	GGA/GAG/AGG	GENOMAD.136538.PC	2.639e-40	154	0	1	0	1	NA	NA	NA	PF05621;COG2842;TIGR02928;K02450	Bacterial TniB protein
k121_1847094_6	4299	5306	1008	1	0.542	11	AGGA/GGAG/GAGG	GENOMAD.177185.PC	1.998e-32	132	0	0	0	1	NA	NA	NA	PF06527;PF14803;COG1645;TIGR01206	TniQ; Nudix N-terminal
k121_1847094_7	5796	7202	1407	-1	0.613	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1847094_8	7202	8131	930	-1	0.596	11	None	GENOMAD.191677.PC	2.112e-49	181	0	0	0	1	NA	NA	NA	PF14462	Prokaryotic E2 family E
k121_1847094_9	8224	11649	3426	-1	0.590	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1847094_10	11652	12245	594	-1	0.545	11	AGGAG	GENOMAD.166969.PC	1.529e-50	179	0	0	0	1	NA	NA	NA	NA	NA
k121_1847094_11	12242	13033	792	-1	0.527	11	GGAGG	GENOMAD.162288.PC	2.344e-47	173	0	0	0	1	NA	NA	NA	PF04545;K01994;COG1342;TIGR03879	Predicted DNA-binding protein, UPF0251 family
k121_1847094_12	13085	14725	1641	-1	0.610	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_186443_1	3	737	735	1	0.467	11	None	GENOMAD.116679.PC	1.3e-15	79	0	1	0	1	NA	F_trbC	NA	PF09673	Type-F conjugative transfer system pilin assembly protein
k121_186443_2	745	1101	357	1	0.532	11	GGA/GAG/AGG	GENOMAD.040815.PP	4.738e-11	61	0	0	0	1	NA	NA	NA	NA	NA
k121_483335_1	3	161	159	-1	0.491	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_483335_2	154	894	741	-1	0.536	11	None	GENOMAD.146032.PC	2.221e-26	111	0	1	0	1	NA	T_virB1	NA	PF06871;K03194;COG4764	TraH_2
k121_483335_3	946	1407	462	-1	0.526	11	None	GENOMAD.170256.PC	3.879e-37	138	0	1	0	1	NA	G_tfc3	NA	TIGR03759	integrating conjugative element protein, PFL_4693 family
k121_1849124_1	122	1300	1179	1	0.602	11	GGA/GAG/AGG	GENOMAD.107250.PP	8.555e-72	250	0	1	0	1	NA	NA	NA	PF14516;TIGR02928;COG1474;K06921	orc1/cdc6 family replication initiation protein
k121_1849124_2	1380	1694	315	1	0.619	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1613685_1	2	508	507	1	0.665	11	None	GENOMAD.136538.PC	1.727e-26	108	0	1	0	1	NA	NA	NA	PF05621;COG2842;TIGR02928;K02450	Bacterial TniB protein
k121_1613685_2	505	1044	540	1	0.633	11	GGA/GAG/AGG	GENOMAD.092186.PP	5.502e-113	358	0	0	0	1	NA	NA	NA	PF06527	TniQ
k121_1495027_1	1	1041	1041	1	0.411	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1495027_2	1105	1404	300	-1	0.367	11	None	GENOMAD.142672.PC	9.866e-20	85	0	1	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385	Plasmid stabilization system protein ParE
k121_1495027_3	1398	1676	279	-1	0.412	11	GGAG/GAGG	GENOMAD.138269.PC	3.826e-26	103	0	0	0	1	NA	NA	NA	PF03693;COG3609;TIGR02384	Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain
k121_1495027_4	1966	2169	204	1	0.441	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1318540_1	3	566	564	1	0.582	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1318540_2	602	736	135	1	0.541	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1318540_3	794	1987	1194	1	0.593	11	None	GENOMAD.092539.PP	2.242e-232	715	0	0	0	1	NA	NA	NA	NA	NA
k121_1318540_4	1989	2174	186	-1	0.640	11	None	GENOMAD.118512.PC	9.177e-19	80	0	1	0	1	NA	G_tfc7	NA	PF14348;TIGR03747	integrating conjugative element membrane protein, PFL_4697 family
k121_487948_1	2	268	267	1	0.614	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_487948_2	265	1146	882	1	0.595	11	None	GENOMAD.034566.PP	6.587e-14	75	0	1	0	1	NA	NA	NA	PF07042;COG5534	TrfA protein
k121_487948_3	1143	1394	252	1	0.536	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_487948_4	1819	2151	333	1	0.664	11	None	GENOMAD.213312.VP	1.125e-06	48	0	0	0	8016	Inoviridae	NA	NA	PF10723	NA
k121_487948_5	2391	3491	1101	1	0.660	11	None	GENOMAD.221569.PV	1.381e-20	97	0	1	0	1	NA	MOBV	NA	PF01076	Plasmid recombination enzyme
k121_1497131_1	204	752	549	1	0.572	11	AGGAGG	GENOMAD.151406.PV	2.189e-99	319	0	1	0	1	NA	NA	NA	PF05732;COG5529;TIGR03337	Firmicute plasmid replication protein (RepL)
k121_1497131_2	749	952	204	1	0.529	11	GGAG/GAGG	GENOMAD.189776.PV	1.028e-27	106	0	0	0	1	NA	NA	NA	NA	NA
k121_2328639_1	2	1774	1773	-1	0.509	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2328639_2	1831	2064	234	-1	0.517	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2328639_3	2587	2811	225	-1	0.551	11	None	GENOMAD.053511.PP	1.939e-17	77	0	1	0	1	NA	NA	NA	PF04956;K03197;COG3838	Type IV secretory pathway, VirB2 components (pilins)
k121_2328639_4	2882	3319	438	-1	0.370	11	ATA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2328639_5	3337	3888	552	-1	0.507	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_74843_1	2	121	120	1	0.467	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_74843_2	257	643	387	1	0.457	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_74843_3	633	2066	1434	1	0.459	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_74843_4	2055	2663	609	-1	0.422	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_74843_5	3195	4925	1731	-1	0.419	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_74843_6	4922	5572	651	-1	0.424	11	GGA/GAG/AGG	GENOMAD.061799.PP	1.413e-07	54	0	1	0	1	NA	MOBC	NA	PF13814	Replication-relaxation
k121_74843_7	5823	8288	2466	-1	0.411	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2033339_1	2	1138	1137	-1	0.524	11	AGGAG	GENOMAD.092909.PC	2.395e-59	213	0	1	0	1	NA	F_traH	NA	K12072	NA
k121_2033339_2	1135	1959	825	-1	0.528	11	None	GENOMAD.084811.PC	1.137e-40	154	0	1	0	1	NA	F_traF	NA	PF13728;K12057;TIGR02739;COG0386	type-F conjugative transfer system pilin assembly protein TraF
k121_1085195_1	66	272	207	1	0.469	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1085195_2	866	1720	855	1	0.490	11	None	GENOMAD.121425.PV	1.573e-07	55	0	1	0	1	NA	NA	NA	PF01051;COG5527	Protein involved in initiation of plasmid replication
k121_1085195_3	1834	2250	417	-1	0.535	11	GGA/GAG/AGG	GENOMAD.118806.PV	3.989e-12	65	0	0	0	1	NA	NA	NA	PF04645;COG4220;TIGR03339	Phage DNA packaging protein, Nu1 subunit of terminase
k121_1144648_1	3	827	825	1	0.605	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1144648_2	1251	1544	294	-1	0.609	11	GGA/GAG/AGG	GENOMAD.147643.PC	1.471e-22	93	0	1	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385	Plasmid stabilization system protein ParE
k121_1144648_3	1532	1813	282	-1	0.631	11	AGGAG	GENOMAD.166273.PC	7.415e-05	42	0	0	0	1	NA	NA	NA	NA	NA
k121_551712_1	3	293	291	1	0.515	11	None	GENOMAD.196942.PC	9.591e-19	82	0	1	0	1	NA	G_tfc24	NA	PF07511;TIGR03757	integrating conjugative element protein, PFL_4709 family
k121_551712_2	293	1315	1023	1	0.526	11	None	GENOMAD.160282.PC	9.206e-67	233	0	1	0	1	NA	G_tfc23	NA	PF06834;TIGR03756	integrating conjugative element protein, PFL_4710 family
k121_1501252_1	45	725	681	1	0.517	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1501252_2	734	1069	336	1	0.521	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1501252_3	1066	1563	498	1	0.522	11	GGA/GAG/AGG	GENOMAD.130054.PC	5.142e-07	51	0	1	0	1	NA	NA	NA	PF10502;COG4959;TIGR02771;K12062	Type IV secretory pathway, protease TraF
k121_1501252_4	1586	2131	546	1	0.515	11	3Base/5BMM	GENOMAD.092544.PC	5.716e-27	110	0	1	0	1	NA	F_traW	NA	K12061;TIGR02743	type-F conjugative transfer system protein TraW
k121_1501252_5	2106	3038	933	1	0.561	11	GGAG/GAGG	GENOMAD.093442.PC	1.475e-86	289	0	1	0	1	NA	F_traU	NA	PF06834;K12060;TIGR03756	TraU protein
k121_1681268_1	2	973	972	1	0.499	11	None	GENOMAD.138275.PV	1.88e-06	52	0	1	0	1	NA	NA	NA	PF07506;PF02195;TIGR03454;COG1475;K03497	plasmid partitioning protein RepB
k121_1681268_2	1153	1506	354	1	0.486	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1681268_3	1503	1874	372	1	0.551	11	GGA/GAG/AGG	GENOMAD.027111.PP	2.669e-68	226	0	0	0	1	NA	NA	NA	NA	NA
k121_79266_1	216	503	288	1	0.358	11	AAAT	GENOMAD.048732.PP	3.48e-36	132	0	1	0	1	NA	NA	NA	PF12958	NA
k121_79266_2	506	817	312	1	0.353	11	AAT	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_79266_3	814	1041	228	-1	0.342	11	None	GENOMAD.048707.PP	1.571e-42	149	0	0	0	1	NA	NA	NA	NA	NA
k121_1800016_1	3	482	480	1	0.519	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1800016_2	493	1788	1296	1	0.549	11	GGAG/GAGG	GENOMAD.121283.PC	5.868e-58	211	0	1	0	1	NA	I_traI	NA	PF16932;K12204	Type IV secretory system, conjugal DNA-protein transfer
k121_1800016_3	1793	3052	1260	1	0.542	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1800016_4	3042	3299	258	1	0.519	11	AGGAG	GENOMAD.183283.PC	1.255e-11	61	0	0	0	1	NA	I_traK	NA	K12222	NA
k121_1800016_5	3315	4427	1113	1	0.518	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1800016_6	4443	5036	594	1	0.529	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1800016_7	5085	5498	414	1	0.543	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1800016_8	5512	6351	840	1	0.532	11	GGAG/GAGG	GENOMAD.195360.PC	4.468e-11	66	0	0	0	1	NA	NA	NA	PF13899;COG1393;TIGR04019	Arsenate reductase and related proteins, glutaredoxin family
k121_1209592_1	3	479	477	1	0.503	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1209592_2	497	979	483	1	0.507	11	None	GENOMAD.095274.PC	2.63e-17	81	0	1	0	1	NA	NA	NA	PF10671;PF07283;K20267;COG3417	Toxin co-regulated pilus biosynthesis protein Q; Conjugal transfer protein TrbH
k121_1209592_3	963	1688	726	1	0.534	11	None	GENOMAD.142320.PC	5.301e-11	65	0	0	0	1	NA	NA	NA	PF00263;TIGR02520;K12282;COG1450	type IVB pilus formation outer membrane protein, R64 PilN family
k121_200568_1	2	688	687	-1	0.521	11	GGA/GAG/AGG	GENOMAD.170251.PC	6.121e-67	228	0	1	0	1	NA	G_tfc12	NA	PF11444;TIGR03746;K12067;COG3736	integrating conjugative element protein, PFL_4703 family
k121_200568_2	685	1116	432	-1	0.495	11	None	GENOMAD.177539.PC	2.136e-12	66	0	0	0	1	NA	G_tfc11	NA	PF11990	NA
k121_1687072_1	1	507	507	-1	0.379	11	TAA	GENOMAD.121777.PV	2.487e-08	55	0	1	0	8016	Inoviridae	NA	NA	PF01446;COG5655	Replication protein
k121_1687072_2	975	1262	288	-1	0.340	11	AAAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1687072_3	1250	1504	255	-1	0.424	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1687072_4	1665	2099	435	-1	0.382	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1687072_5	2111	3214	1104	-1	0.455	11	TAA	GENOMAD.065561.PP	2.423e-06	52	0	1	0	1	NA	MOBQ	NA	PF03389;TIGR02768;COG0507	MobA/MobL family
k121_1213453_1	3	230	228	1	0.504	11	None	GENOMAD.181039.PC	7.141e-13	64	0	1	0	1	NA	G_tfc10	NA	PF11190;TIGR03745	integrating conjugative element membrane protein, PFL_4702 family
k121_1213453_2	245	919	675	1	0.502	11	None	GENOMAD.177539.PC	2.481e-26	110	0	0	0	1	NA	G_tfc11	NA	PF11990	NA
k121_1213453_3	916	1692	777	1	0.524	11	GGAG/GAGG	GENOMAD.170251.PC	4.297e-67	230	0	1	0	1	NA	G_tfc12	NA	PF11444;TIGR03746;K12067;COG3736	integrating conjugative element protein, PFL_4703 family
k121_1213453_4	1753	2844	1092	1	0.530	11	GGAG/GAGG	GENOMAD.170193.PC	1.154e-18	91	0	1	0	1	NA	G_tfc13	NA	PF11920;K12066	TraK protein
k121_1213453_5	2854	3423	570	1	0.535	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_738970_1	3	215	213	-1	0.535	11	None	GENOMAD.142672.PC	7.133e-11	58	0	1	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385	Plasmid stabilization system protein ParE
k121_738970_2	219	536	318	-1	0.538	11	GGAG/GAGG	GENOMAD.138269.PC	1.173e-12	65	0	0	0	1	NA	NA	NA	PF03693;COG3609;TIGR02384	Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain
k121_738970_3	1318	2088	771	-1	0.661	11	None	GENOMAD.196946.CP	8.667e-05	46	0	0	0	1	NA	NA	NA	PF13875;COG4339	Predicted metal-dependent phosphohydrolase, HD superfamily
k121_738970_4	2092	2286	195	-1	0.672	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2222972_1	2	808	807	1	0.544	11	None	GENOMAD.168536.PC	2.814e-86	286	0	0	0	1	NA	G_tfc14	NA	COG3074	NA
k121_2222972_2	795	1400	606	1	0.556	11	AGGA	GENOMAD.166288.PC	9.828e-16	78	0	1	0	1	NA	G_tfc15	NA	PF04202;TIGR03751;COG3017;K07337	conjugative transfer region lipoprotein, TIGR03751 family
