,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
6,k121_504167,18597,,19,0.0,no,0,0,1,0,2,0,0,0
7,k121_1268823,18114,,22,0.8,no,0,0,0,0,0,0,0,0
10,k121_938981,8756,,11,3.2,no,0,1,0,0,0,0,0,0
14,k121_1407950,6633,,11,3.4,no,0,1,0,0,0,0,0,0
15,k121_156136,6453,,9,-0.0,no,0,1,0,0,0,0,0,0
18,k121_1524638,5904,,4,0.1,yes,0,0,0,0,0,0,0,0
19,k121_36969,5700,,5,0.4,no,0,1,1,0,0,0,0,0
20,k121_619755,5649,,6,0.0,no,0,0,1,0,0,0,0,0
21,k121_425121,5241,,7,2.4,yes,0,0,1,0,0,0,0,0
22,k121_475134,4917,,6,1.9,no,0,1,1,0,0,0,0,0
24,k121_886888,4431,,6,0.0,no,0,1,0,0,0,0,0,0
26,k121_780493,4203,,4,0.0,yes,0,0,1,0,0,0,0,0
27,k121_982731,4198,,4,0.0,no,0,0,1,0,0,0,0,0
32,k121_64312,4045,,4,0.1,no,0,0,1,0,0,0,0,0
33,k121_409409,4019,,4,1.9,no,0,1,1,0,0,0,0,0
34,k121_1383353,4015,,4,0.0,no,0,0,1,0,0,0,0,0
36,k121_332689,3854,,5,0.0,no,0,1,0,0,0,0,0,0
37,k121_1306102,3741,,5,-0.0,no,0,1,0,0,0,0,0,0
41,k121_1172706,2956,,3,0.0,no,0,1,0,0,0,0,0,0
42,k121_711957,2929,,3,0.0,no,0,0,1,0,0,0,0,0
43,k121_138043,2887,,1,0.0,no,0,0,1,0,0,0,0,0
45,k121_435694,2752,,4,2.2,no,0,0,1,0,0,0,0,0
46,k121_251400,2748,,2,0.9,no,0,0,1,0,0,0,0,0
48,k121_636566,2711,,3,1.0,no,0,0,0,0,0,0,0,0
49,k121_1343364,2691,,2,0.1,no,0,1,0,0,0,0,0,0
50,k121_207986,2609,,1,3.8,no,0,0,1,0,0,0,0,1
53,k121_498068,2488,,3,17.1,no,0,0,0,0,0,2,0,1
58,k121_212393,2308,,2,0.0,no,0,1,0,0,0,0,0,0
61,k121_1325833,2283,,1,12.3,no,0,0,0,0,0,0,0,0
74,k121_775606,2024,,3,1.4,no,0,0,0,0,0,0,0,0
78,k121_1447160,1971,,2,0.0,no,0,0,1,0,0,0,0,0
79,k121_631546,1944,,1,0.0,no,0,1,0,0,0,0,0,0
87,k121_315017,1897,,5,0.8,no,0,0,1,0,0,0,0,0
96,k121_955062,1824,,2,2.3,no,0,0,0,0,0,0,0,0
98,k121_1341791,1797,,1,0.0,no,0,0,1,0,0,0,0,0
103,k121_196287,1750,,2,0.9,no,0,0,0,0,0,0,0,1
108,k121_1075062,1731,,1,0.9,no,0,0,0,0,0,0,0,1
118,k121_1411836,1646,,1,0.0,no,0,1,0,0,0,0,0,0
119,k121_201792,1643,,2,0.0,no,0,0,1,0,0,0,0,0
123,k121_1027898,1606,,2,4.1,no,0,0,0,0,0,0,0,1
129,k121_1258459,1559,,2,1.3,no,0,0,0,0,0,0,0,1
132,k121_1333581,1545,,2,0.7,no,0,0,1,0,0,0,0,1
138,k121_1164496,1484,,1,5.2,no,0,0,0,0,0,0,0,1
150,k121_886486,1401,,1,0.1,no,0,0,1,0,0,0,0,1
158,k121_225359,1324,,1,0.4,no,0,0,0,0,0,0,0,1
162,k121_1194760,1298,,1,0.1,no,0,0,0,0,0,0,0,1
166,k121_1375713,1276,,1,0.0,no,0,1,0,0,0,0,0,0
171,k121_164258,1230,,3,7.3,no,0,0,0,0,0,0,0,0
175,k121_404076,1202,,1,0.1,no,0,0,0,0,0,0,0,1
177,k121_1110384,1198,,2,0.0,no,0,0,1,0,0,0,0,0
178,k121_726260,1186,,1,1.4,no,0,0,0,0,0,1,0,1
179,k121_280853,1177,,1,53.2,no,0,0,0,0,0,0,0,1
182,k121_214048,1157,,1,0.6,no,0,1,0,0,0,0,0,1
185,k121_1376645,1144,,1,0.2,no,0,0,0,0,0,0,0,1
200,k121_1323193,1085,,1,0.6,no,0,0,0,0,0,1,0,1
203,k121_403361,1074,,1,0.1,no,0,0,0,0,0,0,0,1
205,k121_335509,1068,,1,0.1,no,0,0,0,0,0,0,0,1
209,k121_1250645,1059,,2,0.2,no,0,0,0,0,0,0,0,1
211,k121_1475443,1055,,1,1.4,no,0,0,0,0,0,0,0,1
215,k121_956544,1042,,1,1.1,no,0,0,0,0,0,0,0,0
220,k121_1309630,1036,,1,21.4,no,0,0,0,0,0,0,0,0
