seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_289167	2021	No terminal repeats	3	11	0.9989	0.0011	1	5.1548	NA	NA
k121_2264511	2327	DTR	3	11	0.9989	0.0011	1	3.7568	NA	NA
k121_987195	1390	No terminal repeats	3	11	0.9989	0.0011	1	5.1548	NA	NA
k121_1101558	1221	No terminal repeats	2	11	0.9989	0.0011	2	3.4366	NA	NA
k121_1186560	1526	No terminal repeats	4	11	0.9989	0.0011	1	2.8203	NA	NA
k121_208146	4129	No terminal repeats	6	11	0.9989	0.0011	1	1.7174	NA	NA
k121_1190665	3206	No terminal repeats	4	11	0.9988	0.0011	1	3.3235	NA	NA
k121_1739862	2927	No terminal repeats	7	11	0.9988	0.0011	2	8.1688	T_virB2;T_virB3	NA
k121_668359	2708	No terminal repeats	2	11	0.9988	0.0011	2	3.0497	MOBP1	NA
k121_844598	1176	No terminal repeats	2	11	0.9988	0.0011	2	3.1823	MOBP1	NA
k121_1592814	1188	No terminal repeats	1	11	0.9988	0.0011	1	1.7183	MOBP1	NA
k121_1881146	1259	No terminal repeats	3	11	0.9988	0.0011	2	4.5220	NA	NA
k121_977537	1778	No terminal repeats	3	11	0.9988	0.0011	2	3.2077	MOBQ	NA
k121_459256	1215	No terminal repeats	1	11	0.9988	0.0012	1	1.7183	MOBP1	NA
k121_718284	2807	No terminal repeats	3	11	0.9988	0.0012	2	2.1114	NA	NA
k121_1356059	1621	No terminal repeats	2	11	0.9987	0.0012	1	1.7183	NA	NA
k121_2233116	3866	No terminal repeats	1	11	0.9987	0.0012	1	1.7183	MOBF	NA
k121_1236992	1705	No terminal repeats	3	11	0.9987	0.0012	1	3.1494	NA	NA
k121_1131555	2482	No terminal repeats	5	11	0.9987	0.0012	3	4.0497	T_virB8;T_virB9	NA
k121_2209969	1620	No terminal repeats	3	11	0.9987	0.0012	1	3.2390	NA	NA
k121_1992484	1080	No terminal repeats	2	11	0.9986	0.0012	2	2.6648	virb4;F_traV	NA
k121_2142246	2086	No terminal repeats	3	11	0.9986	0.0012	3	3.5641	T_virB10;T_virB9;T_virB8	NA
k121_1092629	1149	No terminal repeats	1	11	0.9986	0.0012	1	1.7183	MOBP1	NA
k121_909100	1374	No terminal repeats	2	11	0.9986	0.0012	2	2.8317	F_traV;virb4	NA
k121_1756650	1018	No terminal repeats	1	11	0.9986	0.0012	1	1.7183	NA	NA
k121_735127	1724	No terminal repeats	4	11	0.9985	0.0012	3	4.2284	F_traK;F_traE;F_traL	NA
k121_1066622	1189	No terminal repeats	4	11	0.9985	0.0013	1	2.3719	NA	NA
k121_414517	2210	No terminal repeats	2	11	0.9985	0.0013	2	2.1742	virb4;T_virB6	NA
k121_209455	1116	No terminal repeats	2	11	0.9985	0.0013	1	2.6906	virb4	NA
k121_1672140	1869	No terminal repeats	3	11	0.9984	0.0013	1	1.7156	NA	NA
k121_497595	1038	No terminal repeats	2	11	0.9984	0.0013	1	1.5453	NA	NA
k121_2000884	1008	No terminal repeats	2	11	0.9984	0.0013	1	1.7183	NA	NA
k121_702919	1725	No terminal repeats	4	11	0.9983	0.0013	1	1.5207	NA	NA
k121_118109	1138	No terminal repeats	1	11	0.9980	0.0013	1	1.6920	MOBQ	NA
k121_828377	1148	No terminal repeats	3	11	0.9980	0.0014	1	1.7183	NA	NA
k121_455935	5719	No terminal repeats	9	11	0.9980	0.0014	3	3.2305	T_virB6;T_virB5	NA
k121_1625434	1663	No terminal repeats	3	11	0.9978	0.0014	2	2.5463	F_trbC;F_traU	NA
k121_989868	3275	No terminal repeats	6	11	0.9977	0.0014	1	3.2164	NA	NA
k121_1350290	1811	No terminal repeats	3	11	0.9975	0.0014	3	3.5778	F_trbC;F_traF;F_traH	NA
k121_1733233	1216	No terminal repeats	1	11	0.9974	0.0015	1	1.5314	NA	NA
k121_2214188	1580	No terminal repeats	5	11	0.9972	0.0015	2	4.1940	T_virB3;T_virB2	NA
k121_1613303	1486	No terminal repeats	2	11	0.9971	0.0015	2	2.4862	F_traK;F_traB	NA
k121_331569	1070	No terminal repeats	3	11	0.9970	0.0016	1	1.7183	T_virB3	NA
k121_829375	1110	No terminal repeats	3	11	0.9970	0.0016	2	2.9420	F_traE;F_traL	NA
k121_2024407	1780	No terminal repeats	3	11	0.9967	0.0016	2	4.0882	F_traF;F_trbC	NA
k121_1406988	1228	No terminal repeats	3	11	0.9961	0.0017	2	4.4834	T_virB6	NA
k121_664269	1467	No terminal repeats	3	11	0.9937	0.0018	2	3.1823	MOBP1	NA
k121_1751689	1185	No terminal repeats	2	11	0.9923	0.0019	1	1.7137	NA	NA
