,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
0,k121_1058778,257888,,221,-0.1,no,0,0,1,0,8,0,0,0
4,k121_317804,66453,,55,0.0,no,0,0,1,0,0,0,0,0
7,k121_472536,56177,,44,0.0,no,0,1,0,0,0,0,0,0
18,k121_707461,25819,,29,-0.0,no,0,1,0,0,0,0,0,0
19,k121_589331,21765,,25,0.0,no,0,0,1,0,1,0,0,0
22,k121_829828,15575,,20,0.0,no,0,0,1,0,0,0,0,0
23,k121_1567213,15316,,17,0.0,yes,0,1,1,0,0,0,0,0
30,k121_823063,7364,,7,0.0,no,0,0,1,0,0,0,0,0
31,k121_1567406,6207,,8,0.0,yes,0,0,1,0,0,0,0,0
32,k121_295857,5572,,4,0.0,no,0,1,0,0,0,0,0,0
35,k121_1561520,3731,,3,0.1,no,0,0,0,0,0,0,0,1
41,k121_504661,3282,,4,0.0,no,0,0,1,0,0,0,0,0
42,k121_918777,3187,,3,0.1,no,0,0,0,0,0,0,0,1
43,k121_378884,3178,,4,0.0,no,0,0,1,0,0,0,0,0
45,k121_399036,3160,,3,0.0,no,0,0,1,0,0,0,0,0
46,k121_990990,3119,,4,0.0,no,0,1,0,0,0,0,0,0
47,k121_894506,3023,,6,0.0,no,0,1,0,0,0,0,0,0
49,k121_1567315,2999,,5,0.0,yes,0,0,1,0,0,0,0,0
51,k121_481406,2949,,2,0.0,no,0,1,0,0,0,0,0,0
53,k121_1249061,2832,,4,0.0,no,0,0,1,0,0,0,0,0
57,k121_790960,2565,,4,0.0,no,0,0,1,0,0,0,0,0
58,k121_770901,2562,,3,0.0,no,0,1,0,0,0,0,0,0
59,k121_1567400,2560,,3,0.0,yes,0,0,1,0,0,0,0,0
68,k121_198707,2345,,2,0.1,no,0,0,0,0,0,0,0,1
71,k121_1517273,2295,,2,0.0,no,0,1,0,0,0,0,0,0
76,k121_37422,2122,,3,0.0,no,0,0,1,0,0,0,0,0
77,k121_590580,2068,,1,0.1,no,0,0,0,0,0,0,0,1
83,k121_1523005,1898,,1,0.1,no,0,0,0,0,0,0,0,1
85,k121_983933,1893,,1,0.1,no,0,0,0,0,0,0,0,1
86,k121_1506383,1882,,2,0.1,no,0,0,0,0,0,0,0,1
91,k121_1414136,1812,,2,0.1,no,0,0,0,0,0,0,0,1
93,k121_1432400,1799,,2,0.1,no,0,0,0,0,0,0,0,1
102,k121_1399156,1668,,1,0.1,no,0,0,0,0,0,0,0,1
104,k121_296732,1648,,3,1.1,no,0,0,0,0,0,0,0,1
107,k121_1570441,1608,,1,0.0,yes,0,0,1,0,0,0,0,0
110,k121_1036063,1507,,1,0.1,no,0,0,0,0,0,0,0,1
113,k121_787271,1484,,2,7.7,no,0,0,0,0,0,0,0,0
114,k121_321088,1484,,2,0.0,no,0,1,0,0,0,0,0,0
119,k121_874342,1441,,1,0.1,no,0,0,0,0,0,0,0,1
127,k121_235083,1312,,1,0.1,no,0,0,0,0,0,0,0,1
133,k121_634488,1261,,1,0.1,no,0,0,0,0,0,0,0,1
160,k121_575786,1117,,1,0.1,no,0,0,0,0,0,0,0,1
177,k121_760459,1034,,1,0.1,no,0,0,0,0,0,0,0,1
179,k121_507677,1026,,1,0.0,no,0,0,1,0,0,0,0,0
182,k121_1469047,1023,,1,0.1,no,0,0,0,0,0,0,0,1
