seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_1132154	6934	No terminal repeats	8	11	0.9988	0.0012	3	5.4005	MOBP1	NA
k121_1001440	3290	No terminal repeats	5	11	0.9987	0.0013	1	1.7134	NA	NA
k121_1417862	1810	No terminal repeats	5	11	0.9986	0.0013	1	3.6801	NA	NA
k121_499263	3400	No terminal repeats	4	11	0.9981	0.0015	2	1.8586	NA	NA
k121_796963	6001	No terminal repeats	7	11	0.9964	0.0019	3	2.1044	T_virB11;T_virB2;T_virB3	NA
k121_1431295	3439	No terminal repeats	4	11	0.9956	0.0023	4	4.1174	T_virB6;T_virB8;T_virB9;T_virB10	NA
k121_462202	4186	No terminal repeats	5	11	0.9956	0.0026	1	1.5426	NA	NA
k121_53660	1479	No terminal repeats	3	11	0.9950	0.0029	2	2.4284	F_traF;F_traH	NA
k121_220024	102334	No terminal repeats	88	11	0.9944	0.0032	9	6.6944	T_virB10;T_virB9;T_virB8;T_virB6;T_virB5;virb4;T_virB3;T_virB2;T_virB11	NA
k121_1668852	2972	No terminal repeats	10	11	0.9912	0.0038	1	1.7894	NA	NA
k121_574035	3318	No terminal repeats	3	11	0.9864	0.0047	2	2.1791	virb4;T_virB5	NA
k121_767909	1682	No terminal repeats	2	11	0.9775	0.0061	1	1.7134	NA	NA
k121_436017	2979	No terminal repeats	4	11	0.8788	0.0150	1	1.6817	I_traI	NA
k121_1918153	1251	No terminal repeats	3	11	0.8765	0.0228	1	2.2753	NA	NA
