seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_775717	8234	No terminal repeats	8	11	0.9990	0.0010	1	4.9044	NA	NA
k121_763425	3861	No terminal repeats	4	11	0.9989	0.0011	2	2.2291	NA	NA
k121_1319790	5038	No terminal repeats	6	11	0.9989	0.0011	2	3.3862	MOBQ	NA
k121_1568685	3389	DTR	6	11	0.9989	0.0011	1	1.5556	NA	NA
k121_1451532	1295	No terminal repeats	2	11	0.9989	0.0011	1	1.7183	NA	NA
k121_91597	1286	No terminal repeats	2	11	0.9988	0.0011	1	3.4366	I_traW	NA
k121_1568451	1603	DTR	2	11	0.9987	0.0011	1	1.6987	NA	NA
k121_461494	1914	No terminal repeats	3	11	0.9987	0.0012	2	2.8317	F_traV;virb4	NA
k121_42327	1731	No terminal repeats	3	11	0.9985	0.0012	2	2.5200	T_virB5;virb4	NA
k121_1235155	1390	No terminal repeats	3	11	0.9985	0.0012	2	3.3419	G_tfc10;G_tfc11;G_tfc12	NA
k121_471822	1889	No terminal repeats	2	11	0.9983	0.0013	1	1.6903	NA	NA
k121_123282	3447	No terminal repeats	3	11	0.9981	0.0013	2	2.8443	F_trbC;F_traU	NA
k121_76397	3264	DTR	3	11	0.9980	0.0014	1	1.6381	NA	NA
k121_293338	1168	No terminal repeats	3	11	0.9977	0.0014	2	2.8405	T_virB3	NA
k121_566409	2322	No terminal repeats	3	11	0.9976	0.0015	1	4.5647	NA	NA
k121_172624	2646	No terminal repeats	7	11	0.9974	0.0016	3	4.7049	F_traK;F_traE;F_traL	NA
k121_1523601	1176	No terminal repeats	2	11	0.9971	0.0016	2	2.3775	T_virB8;T_virB6	NA
k121_706610	1926	No terminal repeats	4	11	0.9968	0.0017	2	2.1795	T_virB9;T_virB8	NA
k121_514938	3298	No terminal repeats	4	11	0.9831	0.0025	2	2.6906	B_traI;virb4	NA
k121_252986	3196	No terminal repeats	3	11	0.9736	0.0037	3	3.5710	T_virB6;virb4;T_virB3	NA
k121_262188	1510	No terminal repeats	4	11	0.9687	0.0050	1	1.9820	T_virB10	NA
k121_57771	1411	No terminal repeats	2	11	0.9642	0.0064	2	2.5723	T_virB8;T_virB6	NA
k121_255507	1275	No terminal repeats	2	11	0.9637	0.0077	1	2.3688	NA	NA
k121_164763	4129	No terminal repeats	4	11	0.9587	0.0091	4	5.2061	T_virB3;virb4;T_virB6	NA
k121_158884	28311	No terminal repeats	30	11	0.9585	0.0104	1	5.1960	NA	NA
k121_1395343	1362	No terminal repeats	2	11	0.9553	0.0117	2	2.1659	T_virB8;T_virB6	NA
k121_1385503	1347	No terminal repeats	3	11	0.9545	0.0130	2	2.1707	G_tfc7;G_tfc8	NA
k121_1477852	1488	No terminal repeats	4	11	0.9397	0.0147	1	2.2958	T_virB1	NA
k121_1130922	1082	No terminal repeats	3	11	0.9238	0.0168	2	2.3192	T_virB3	NA
k121_1121265	1574	No terminal repeats	2	11	0.9232	0.0188	1	2.4021	NA	NA
k121_1467630	2964	No terminal repeats	4	11	0.9202	0.0208	1	1.7183	NA	NA
k121_537334	3032	No terminal repeats	3	11	0.8880	0.0236	2	2.5282	F_traH;F_traG	NA
k121_368555	3389	No terminal repeats	5	11	0.8050	0.0288	1	1.6170	NA	NA
k121_1499296	3547	No terminal repeats	6	11	0.8035	0.0337	1	3.1381	NA	NA
