ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_525146	134120	NA	152	-0.4	no	0	0	1	0	3	0	0	0
k121_1153842	99575	NA	148	0.0	yes	0	0	0	0	0	0	0	0
k121_724124	65258	NA	88	0.0	yes	0	0	0	0	0	0	0	0
k121_1130329	59460	NA	80	0.0	yes	0	0	0	0	0	0	0	0
k121_290126	56836	NA	41	-0.5	no	0	0	1	0	0	0	0	0
k121_45628	53431	NA	60	-0.3	no	0	0	1	0	3	0	0	0
k121_792024	43460	NA	67	0.0	yes	0	0	0	0	0	0	0	0
k121_1153872	39608	NA	71	0.0	yes	0	0	0	0	0	0	0	0
k121_960511	39134	NA	50	0.0	yes	0	0	0	0	0	0	0	0
k121_921449	39032	NA	55	0.0	yes	0	0	0	0	0	0	0	0
k121_1153930	38695	NA	60	0.0	yes	0	0	0	0	0	0	0	0
k121_608699	38444	NA	56	0.0	yes	0	0	0	0	0	0	0	0
k121_1153891	37836	NA	72	0.0	yes	0	0	0	0	0	0	0	0
k121_872550	35431	NA	63	0.0	yes	0	0	0	0	0	0	0	0
k121_723975	31695	NA	44	0.0	yes	0	0	0	0	0	0	0	0
k121_799798	28512	NA	29	0.0	yes	0	0	0	0	0	0	0	0
k121_1153819	24868	NA	47	0.0	yes	0	0	0	0	0	0	0	0
k121_558058	23369	NA	37	0.0	yes	0	0	0	0	0	0	0	0
k121_1153881	18096	NA	28	0.0	yes	0	0	0	0	0	0	0	0
k121_438818	16895	NA	12	-3.6	yes	0	0	0	0	0	0	0	0
k121_1153843	15486	NA	28	0.0	yes	0	0	0	0	0	0	0	0
k121_1153822	14213	NA	12	0.0	yes	0	0	0	0	0	0	0	0
k121_1153918	12612	NA	19	0.0	yes	0	0	0	0	0	0	0	0
k121_772770	10217	NA	17	0.0	yes	0	0	0	0	0	0	0	0
k121_1153882	7839	NA	13	0.0	yes	0	0	0	0	0	0	0	0
k121_1154177	6420	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_890854	5390	NA	8	0.0	no	0	0	1	0	0	0	0	0
k121_496716	5181	NA	2	0.9	no	0	0	0	0	0	0	0	0
k121_273799	4693	NA	5	0.1	no	0	0	1	0	1	0	0	0
k121_986089	4640	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1154062	3893	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1153941	3563	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1154133	3222	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1154355	2999	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1154123	2794	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_895650	2629	NA	2	0.0	no	0	0	1	0	0	0	0	1
k121_520652	2604	NA	3	0.6	no	0	0	0	0	0	0	0	1
k121_1153885	2374	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1133381	2129	NA	4	10.0	no	0	0	0	0	0	0	0	1
k121_109258	2063	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_807543	2028	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1154953	1922	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_324147	1869	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1045368	1808	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_1154323	1787	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_679253	1732	NA	1	0.1	no	0	0	0	0	0	0	0	1
k121_1154109	1729	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_160198	1721	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1153883	1639	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1155251	1629	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1154415	1602	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_675451	1579	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1154545	1532	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1155139	1527	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1154428	1479	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_863159	1475	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_186965	1449	NA	2	4.2	no	0	0	0	0	0	0	0	1
k121_801651	1410	NA	2	2.6	no	0	0	0	0	0	0	0	1
k121_1153849	1401	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1154302	1381	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1154563	1381	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1155933	1363	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1154128	1332	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_698983	1291	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1154656	1286	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1154525	1264	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1154245	1261	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1090985	1250	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_276415	1229	NA	2	1.8	no	0	0	0	0	0	0	0	0
k121_1154871	1216	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_378344	1210	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_227164	1207	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_208483	1201	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_132789	1179	NA	2	0.1	no	0	0	0	0	0	0	0	1
k121_941775	1165	NA	1	0.4	no	0	0	0	0	0	0	0	1
k121_1028881	1159	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1154357	1159	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1154280	1154	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1154865	1129	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_829443	1115	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_234430	1113	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1154550	1102	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_905438	1101	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1154558	1074	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1155996	1065	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1153975	1057	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_908111	1046	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_457372	1036	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1155633	1012	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1154267	1010	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_853881	1006	NA	1	0.0	yes	0	0	0	0	0	0	0	0
