gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_1144900_1	1	1053	1053	1	0.712	11	None	GENOMAD.070064.PP	2.809e-34	138	0	1	0	1	NA	NA	NA	COG3451	Type IV secretory pathway, VirB4 component
k121_191619_1	3	485	483	1	0.526	11	None	GENOMAD.066491.PP	1.861e-10	61	0	1	0	1	NA	T_virB5	NA	PF07996;K03200;TIGR02791;COG5314	Type IV secretion system proteins
k121_191619_2	503	1201	699	1	0.569	11	AGGA	GENOMAD.094265.PC	1.151e-30	123	0	1	0	1	NA	T_virB8	NA	PF04335;K12081;COG3736;TIGR03781	VirB8 protein
k121_191619_3	1198	2190	993	1	0.567	11	None	GENOMAD.110958.PC	6.527e-40	154	0	1	0	1	NA	T_virB9	NA	PF03524;K03204;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
k121_636829_1	2	307	306	-1	0.621	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_636829_2	279	599	321	-1	0.617	11	GGA/GAG/AGG	GENOMAD.015392.PP	5.481e-13	66	0	0	0	1	NA	NA	NA	NA	NA
k121_636829_3	767	1069	303	1	0.663	11	GGA/GAG/AGG	GENOMAD.024207.PP	5.267e-11	60	0	0	0	1	NA	NA	NA	NA	NA
k121_636829_4	1129	1770	642	1	0.629	11	AGGA	GENOMAD.012992.PP	1.935e-90	295	0	0	0	1	NA	NA	NA	NA	NA
k121_636829_5	1987	2832	846	1	0.597	11	GGA/GAG/AGG	GENOMAD.059518.PP	1.048e-156	490	0	1	0	1	NA	NA	NA	PF06970;COG2188;TIGR03337	NA
k121_636829_6	2907	6077	3171	-1	0.636	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_636829_7	6074	6772	699	-1	0.637	11	None	GENOMAD.123340.CP	2.377e-31	125	0	0	0	1	NA	NA	NA	PF16576;PF11604;K07798;TIGR01730;COG0845	Barrel-sandwich domain of CusB or HlyD membrane-fusion; Copper binding periplasmic protein CusF
k121_1590774_1	38	739	702	-1	0.672	11	AGxAGG/AGGxGG	GENOMAD.194903.CP	6.9e-05	46	0	0	0	1	NA	NA	NA	PF19489;COG4764	Transglycosylase SLT domain
k121_1590774_2	743	1072	330	-1	0.612	11	AGGAG	GENOMAD.059425.PP	1.185e-05	45	0	0	0	1	NA	NA	NA	PF05284;COG5489	Uncharacterized conserved protein, DUF736 family
k121_1590774_3	1076	1375	300	-1	0.650	11	None	GENOMAD.117317.PC	3.34e-15	72	0	1	0	1	NA	NA	NA	PF10502;COG4959;TIGR02771;K12062	Type IV secretory pathway, protease TraF
k121_1654647_1	1	615	615	-1	0.673	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1654647_2	705	1448	744	-1	0.642	11	None	GENOMAD.169246.PC	5.581e-68	232	0	0	0	1	NA	NA	NA	PF06527;TIGR02605	TniQ
k121_1654647_3	1445	2326	882	-1	0.636	11	None	GENOMAD.136208.PC	1.401e-97	320	0	1	0	1	NA	NA	NA	PF05621;COG2842;TIGR02928;K02450	Bacterial TniB protein
k121_1654647_4	2328	3497	1170	-1	0.637	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_637473_1	1	741	741	1	0.640	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_637473_2	738	1097	360	1	0.692	11	GGAGG	GENOMAD.081364.PP	2.554e-18	82	0	0	0	1	NA	NA	NA	NA	NA
k121_637473_3	1090	1656	567	1	0.721	11	AGGAG	GENOMAD.034319.PP	2.947e-17	82	0	1	0	1	NA	NA	NA	PF09677;TIGR02744	Type-F conjugative transfer system protein (TrbI_Ftype)
k121_702082_1	3	776	774	-1	0.663	11	GGAGG	GENOMAD.067727.PP	6.46e-107	345	0	0	0	1	NA	NA	NA	PF18821	Large polyvalent protein-associated domain 7
k121_702082_2	883	1593	711	-1	0.712	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_702082_3	1612	2604	993	-1	0.667	11	None	GENOMAD.136080.PC	2.271e-07	55	0	1	0	1	NA	t4cp1	NA	PF02534;COG3505;TIGR02767;K03205	Type IV secretory pathway, VirD4 component, TraG/TraD family ATPase
k121_320854_1	1	576	576	1	0.644	11	None	GENOMAD.084811.PC	8.661e-06	48	0	1	0	1	NA	F_traF	NA	PF13728;K12057;TIGR02739;COG0386	type-F conjugative transfer system pilin assembly protein TraF
k121_320854_2	573	1985	1413	1	0.644	11	GGAG/GAGG	GENOMAD.092909.PC	7.619e-60	218	0	1	0	1	NA	F_traH	NA	K12072	NA
k121_320854_3	1988	4273	2286	1	0.643	11	GGA/GAG/AGG	GENOMAD.086212.PC	2.73e-30	132	0	1	0	1	NA	F_traG	NA	PF07916;PF19489;K12056;COG4764	TraG-like protein, N-terminal region; Transglycosylase SLT domain
k121_1402848_1	1	240	240	-1	0.629	11	GGA/GAG/AGG	GENOMAD.115304.PC	2.199e-18	80	0	1	0	1	NA	T_virB3	NA	PF05101;K03198;COG3702	Type IV secretory pathway, VirB3 components
k121_1402848_2	328	642	315	-1	0.632	11	GGAG/GAGG	GENOMAD.120638.PC	8.863e-31	117	0	1	0	1	NA	T_virB2	NA	PF04956;K03197;COG3838	Type IV secretory pathway, VirB2 components (pilins)
k121_1402848_3	645	1088	444	-1	0.662	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1403312_1	2	496	495	-1	0.663	11	None	GENOMAD.084811.PC	6.187e-18	83	0	1	0	1	NA	F_traF	NA	PF13728;K12057;TIGR02739;COG0386	type-F conjugative transfer system pilin assembly protein TraF
k121_1403312_2	500	907	408	-1	0.699	11	GGA/GAG/AGG	GENOMAD.047090.PP	2.365e-17	80	0	0	0	1	NA	NA	NA	NA	NA
k121_1403312_3	996	1808	813	-1	0.678	11	None	GENOMAD.116679.PC	2.131e-24	106	0	1	0	1	NA	F_trbC	NA	PF09673	Type-F conjugative transfer system pilin assembly protein
k121_2357122_1	172	354	183	-1	0.689	11	GGA/GAG/AGG	GENOMAD.180461.PC	1.265e-08	51	0	0	0	1	NA	NA	NA	PF09722;COG5642;TIGR02293	Uncharacterized conserved protein, DUF2384 family
k121_2357122_2	575	1075	501	-1	0.649	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2357122_3	1072	1308	237	-1	0.603	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2357122_4	1298	1948	651	-1	0.650	11	GGA/GAG/AGG	GENOMAD.046829.PP	5.641e-05	46	0	0	0	1	NA	NA	NA	PF10609;TIGR03371;COG2894;K12055	cellulose synthase operon protein YhjQ
k121_2357122_5	2074	2670	597	-1	0.591	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2357122_6	2737	3183	447	-1	0.555	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
