gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_1102100_1	52	1074	1023	1	0.683	11	GGAG/GAGG	GENOMAD.093647.PC	1.396e-156	493	0	1	0	1	NA	T_virB6	NA	PF04610;K03201;COG3704;TIGR02783	Type IV secretory pathway, VirB6 components
k121_1260262_1	3	488	486	-1	0.652	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1260262_2	660	1664	1005	-1	0.679	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1260262_3	2767	3828	1062	-1	0.684	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1260262_4	4021	6162	2142	-1	0.722	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_630517_1	56	352	297	-1	0.589	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_630517_2	576	1079	504	1	0.516	11	None	GENOMAD.158531.CP	2.485e-21	93	0	0	0	1	NA	NA	NA	PF06172;K09705;COG3542	Predicted sugar epimerase, cupin superfamily
k121_630517_3	1330	2592	1263	1	0.599	11	GGA/GAG/AGG	GENOMAD.137272.CP	2.162e-18	91	0	0	0	1	NA	NA	NA	PF00497;K01713;TIGR02995;COG0834	ectoine/hydroxyectoine ABC transporter solute-binding protein
k121_630517_4	3192	3755	564	1	0.555	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_630517_5	3788	5194	1407	1	0.547	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_630517_6	5237	5404	168	1	0.577	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_630517_7	5397	5780	384	1	0.581	11	GGAG/GAGG	GENOMAD.222751.VP	8.85e-07	49	0	0	0	1	NA	NA	NA	PF08401;COG4227	Antirestriction protein ArdC
k121_1365221_1	2	298	297	1	0.751	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1365221_2	316	552	237	1	0.700	11	GGAG/GAGG	GENOMAD.207715.PC	4.6e-11	59	0	0	0	1	NA	NA	NA	PF10932	NA
k121_1365221_3	595	1134	540	1	0.667	11	GGAG/GAGG	GENOMAD.147116.CP	8.594e-49	173	0	0	0	1	NA	NA	NF000496	PF14696;COG3607;TIGR00068;K08234	Predicted lactoylglutathione lyase
k121_1365221_4	1131	2462	1332	1	0.743	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1365221_5	2491	3090	600	1	0.722	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1208015_1	260	754	495	-1	0.602	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1208015_2	849	1208	360	1	0.611	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1208015_3	1205	2704	1500	1	0.608	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1208015_4	2691	3479	789	1	0.577	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_106207_1	1	381	381	-1	0.648	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_106207_2	771	1064	294	1	0.616	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_106207_3	1161	2252	1092	1	0.626	11	GGA/GAG/AGG	GENOMAD.153520.PC	3.761e-09	61	0	0	0	1	NA	NA	NA	NA	NA
k121_106207_4	2585	3523	939	1	0.662	11	GGA/GAG/AGG	GENOMAD.159932.PV	5.293e-09	60	0	0	0	1	NA	NA	NA	NA	NA
k121_578484_1	412	1614	1203	-1	0.601	11	GGA/GAG/AGG	GENOMAD.178418.PC	4.848e-05	48	0	0	0	1	NA	NA	NA	PF14319;COG1996;TIGR02605	Transposase zinc-binding domain
k121_578484_2	1624	2499	876	-1	0.558	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_578484_3	2978	3676	699	1	0.489	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_578484_4	3806	4534	729	-1	0.497	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_578484_5	4711	4938	228	-1	0.553	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_578484_6	6751	7182	432	1	0.500	11	GGA/GAG/AGG	GENOMAD.160539.CP	8.973e-14	70	0	0	0	1	NA	NA	NA	PF04940;K21973	Sensors of blue-light using FAD
k121_578484_7	7381	7767	387	1	0.501	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_421204_1	3	827	825	-1	0.695	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_421204_2	892	1797	906	1	0.746	11	None	GENOMAD.183418.PC	3.713e-15	79	0	0	0	1	NA	NA	NA	PF12833;PF02311;TIGR02297;K03490;COG2207	4-hydroxyphenylacetate catabolism regulatory protein HpaA
k121_421204_3	1934	3322	1389	1	0.688	11	None	GENOMAD.171872.PC	2.997e-05	49	0	0	0	1	NA	NA	NA	NA	NA
k121_263937_1	65	343	279	1	0.534	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_263937_2	557	2071	1515	1	0.596	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
