,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
52,k121_2349364,8102,,6,0.0,no,0,0,1,0,2,0,0,0
57,k121_1676662,6089,,8,0.0,no,0,0,1,0,0,0,0,0
64,k121_1747441,4712,,4,0.0,no,0,0,1,0,0,0,0,0
65,k121_1228274,4701,,6,0.0,no,0,0,1,0,0,0,0,0
68,k121_485370,4520,,4,0.0,no,0,0,1,0,0,0,0,0
81,k121_101132,3711,,4,0.0,no,0,0,1,0,0,0,0,0
89,k121_2498196,3510,,4,0.0,yes,0,0,1,0,0,0,0,0
93,k121_2036757,3451,,4,0.0,yes,0,0,1,0,0,0,0,0
104,k121_2320054,2878,,3,0.1,no,0,0,0,0,0,0,0,1
106,k121_2498421,2756,,3,0.0,yes,0,0,1,0,0,0,0,0
115,k121_1607418,2368,,2,0.3,no,0,1,0,0,0,0,0,1
118,k121_2498506,2333,,3,0.0,yes,0,0,1,0,0,0,0,0
121,k121_615574,2175,,3,0.0,no,0,0,1,0,0,0,0,0
127,k121_259117,2087,,1,0.4,no,0,0,0,0,0,0,0,1
131,k121_676137,2030,,1,0.0,no,0,0,1,0,0,0,0,0
134,k121_322926,1995,,2,0.0,no,0,0,1,0,0,0,0,0
140,k121_1463460,1941,,3,0.0,no,0,0,1,0,0,0,0,0
142,k121_2206156,1897,,2,0.0,no,0,0,1,0,0,0,0,0
143,k121_2300471,1885,,3,0.3,no,0,0,0,0,0,0,0,1
157,k121_1938976,1720,,2,0.0,no,0,0,1,0,1,0,0,0
158,k121_1936330,1696,,4,0.3,no,0,0,0,0,0,0,0,1
161,k121_1404454,1633,,1,0.1,no,0,0,0,0,0,0,0,1
165,k121_2206029,1596,,1,0.0,no,0,0,1,0,0,0,0,0
166,k121_1997687,1596,,2,0.0,no,0,1,0,0,0,0,0,0
170,k121_2402496,1576,,2,1.8,no,0,0,0,0,0,0,0,1
183,k121_2489480,1374,,1,0.1,no,0,0,0,0,0,0,0,1
186,k121_2374748,1359,,2,9.6,no,0,0,0,0,0,0,0,0
187,k121_1551773,1358,,1,0.0,no,0,0,1,0,0,0,0,0
188,k121_2339195,1348,,1,0.9,no,0,0,0,0,0,0,0,1
193,k121_1912300,1309,,2,0.7,no,0,0,0,0,0,0,0,1
202,k121_1162056,1255,,2,0.0,no,0,0,1,0,0,0,0,0
204,k121_1759876,1228,,2,0.0,no,0,0,1,0,0,0,0,0
210,k121_2383001,1207,,2,0.1,no,0,0,0,0,0,0,0,1
213,k121_399060,1196,,1,0.0,no,0,0,1,0,0,0,0,0
218,k121_1565337,1173,,2,0.2,no,0,0,0,0,0,0,0,1
219,k121_577281,1171,,2,0.2,no,0,0,0,0,0,0,0,1
230,k121_1043079,1122,,2,0.2,no,0,0,0,0,0,0,0,1
234,k121_1628433,1099,,1,0.1,no,0,0,0,0,0,0,0,1
235,k121_1323345,1098,,1,0.2,no,0,0,0,0,0,0,0,1
238,k121_517718,1090,,1,0.2,no,0,0,0,0,0,0,0,1
241,k121_629528,1063,,1,4.7,no,0,0,0,0,0,0,0,1
