ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_2201862	174390	NA	240	0.0	yes	0	0	0	0	0	0	0	0
k121_589076	70851	NA	92	0.0	yes	0	0	0	0	0	0	0	0
k121_2201915	60888	NA	98	0.0	yes	0	0	0	0	0	0	0	0
k121_5478	43600	NA	55	0.0	yes	0	0	0	0	0	0	0	0
k121_1668858	36899	NA	49	0.0	yes	0	0	0	0	0	0	0	0
k121_2201858	34597	NA	40	0.0	yes	0	0	0	0	0	0	0	0
k121_1562316	33220	NA	49	0.0	yes	0	0	0	0	0	0	0	0
k121_2201863	30247	NA	51	0.0	yes	0	0	0	0	0	0	0	0
k121_1587350	16338	NA	22	0.0	no	0	0	1	0	0	0	0	0
k121_2201946	15971	NA	27	0.0	yes	0	0	0	0	0	0	0	0
k121_1535279	13380	NA	11	0.0	yes	0	0	0	0	0	0	0	0
k121_89629	9866	NA	10	0.0	no	0	0	1	0	0	0	0	0
k121_1513523	8740	NA	11	0.2	no	0	0	0	0	0	0	0	1
k121_1275315	7632	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1886229	7300	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1630785	6330	NA	7	0.0	no	0	1	0	0	0	0	0	0
k121_1889122	5740	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_139993	5582	NA	5	0.3	no	0	0	0	0	0	0	0	1
k121_2199674	4816	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_813872	4685	NA	6	0.1	no	0	0	0	0	0	0	0	1
k121_445117	4679	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_172937	4638	NA	3	0.8	no	0	0	0	0	0	0	0	1
k121_2201972	4590	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2126145	4511	NA	7	0.2	no	0	0	0	0	0	0	0	1
k121_186411	4391	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_431373	4327	NA	1	0.0	yes	0	0	0	0	0	0	0	0
