seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_283325	1074	No terminal repeats	2	11	0.9990	0.0010	2	3.2077	MOBQ	NA
k121_304169	4811	DTR	5	11	0.9990	0.0010	2	3.0215	MOBQ	NA
k121_338307	2676	No terminal repeats	2	11	0.9990	0.0010	2	2.1858	MOBV	NA
k121_158281	3485	No terminal repeats	2	11	0.9990	0.0010	1	3.4366	MOBP1	NA
k121_6149	5455	No terminal repeats	7	11	0.9990	0.0010	2	4.8150	MOBP1	NA
k121_258326	3168	No terminal repeats	5	11	0.9990	0.0010	3	5.5252	T_virB9;T_virB8;T_virB6	NA
k121_525546	11617	No terminal repeats	17	11	0.9990	0.0010	3	10.6624	T_virB5	NA
k121_244431	91915	No terminal repeats	73	11	0.9990	0.0010	12	36.4667	MOBP1;T_virB10;T_virB9;T_virB8;T_virB6;virb4;T_virB3;T_virB2	NA
k121_663017	70830	No terminal repeats	84	11	0.9989	0.0010	2	34.2269	T_virB2	NA
k121_744237	2532	DTR	2	11	0.9989	0.0010	1	1.8163	MOBV	NA
k121_238989	1334	No terminal repeats	3	11	0.9989	0.0010	2	3.2373	MOBQ	NA
k121_521620	24712	No terminal repeats	26	11	0.9989	0.0010	14	24.5070	F_traL;F_traE;F_traK;F_traV;F_traW;F_traU;F_trbC;F_traN;F_traF;F_traH;F_traG	NA
k121_282943	105053	No terminal repeats	126	11	0.9989	0.0010	12	54.6989	T_virB2;T_virB3;virb4;T_virB6;T_virB8;T_virB9;T_virB10;MOBP1	NF012174
k121_158522	1167	No terminal repeats	2	11	0.9989	0.0010	1	3.4366	NA	NA
k121_666304	27871	No terminal repeats	27	11	0.9989	0.0011	9	17.3465	T_virB10;T_virB9;T_virB8;T_virB6;virb4;T_virB3;T_virB11;MOBH;t4cp1;G_tfc7	NA
k121_354679	1270	No terminal repeats	2	11	0.9989	0.0011	2	3.1506	NA	NA
k121_522605	80057	No terminal repeats	80	11	0.9989	0.0011	3	31.1486	F_traL	NA
k121_291743	13430	No terminal repeats	13	11	0.9989	0.0011	3	4.2548	T_virB3;virb4	NA
k121_227581	49323	No terminal repeats	48	11	0.9989	0.0011	15	25.8603	F_traL;F_traE;F_traK;F_traV;F_traW;F_traU;F_trbC;F_trbC;F_traF;F_traH;F_traG	NA
k121_540367	1718	No terminal repeats	3	11	0.9989	0.0011	1	1.7183	NA	NA
k121_659779	1703	No terminal repeats	3	11	0.9988	0.0011	1	2.1797	NA	NA
k121_259743	6644	No terminal repeats	7	11	0.9988	0.0011	5	7.9733	F_traG;F_traH;F_traF;F_traN;F_trbC	NA
k121_611333	1582	No terminal repeats	4	11	0.9988	0.0011	1	1.7183	NA	NA
k121_333782	2011	No terminal repeats	2	11	0.9988	0.0011	1	1.5040	T_virB1	NA
k121_7536	1877	No terminal repeats	4	11	0.9988	0.0011	3	5.7714	F_traW	NA
k121_278359	1633	No terminal repeats	3	11	0.9987	0.0011	1	3.5084	NA	NA
k121_730984	1840	No terminal repeats	3	11	0.9987	0.0011	1	1.7183	NA	NA
k121_481016	2499	No terminal repeats	2	11	0.9987	0.0011	2	2.5282	F_traG;F_traH	NA
k121_693491	3922	No terminal repeats	4	11	0.9987	0.0011	1	5.1266	F_traV	NA
k121_327189	1022	No terminal repeats	2	11	0.9987	0.0011	1	1.7183	NA	NA
k121_87920	51508	No terminal repeats	45	11	0.9987	0.0011	7	13.6892	T_virB11;T_virB11;T_virB9;T_virB8;T_virB5;T_virB6;virb4	NA
k121_743816	6467	DTR	6	11	0.9987	0.0011	1	1.5314	NA	NA
k121_299660	153002	No terminal repeats	138	11	0.9987	0.0011	6	18.5916	T_virB3;virb4;T_virB6;T_virB9;T_virB11	NF033105;NF033135;NF000095
k121_186847	1112	No terminal repeats	2	11	0.9987	0.0012	1	2.8362	F_traU	NA
k121_157673	1825	No terminal repeats	2	11	0.9987	0.0012	2	2.5282	F_traH;F_traG	NA
k121_456299	1232	No terminal repeats	2	11	0.9987	0.0012	2	2.7848	F_traK;F_traE	NA
k121_155592	1262	No terminal repeats	2	11	0.9987	0.0012	2	2.3640	F_traF	NA
k121_336939	2886	No terminal repeats	6	11	0.9986	0.0012	4	6.4097	F_traL;F_traE;F_traK	NA
k121_80875	3787	No terminal repeats	5	11	0.9986	0.0012	2	4.0284	MOBP1	NA
k121_536082	12707	No terminal repeats	18	11	0.9986	0.0012	3	7.5707	MOBP1;T_virB3	NA
k121_370056	2854	No terminal repeats	4	11	0.9986	0.0012	3	3.4481	T_virB2;T_virB3;virb4	NA
k121_588956	1259	No terminal repeats	2	11	0.9985	0.0012	2	2.3303	F_traW;F_traU	NA
k121_277127	1742	No terminal repeats	3	11	0.9985	0.0012	1	1.6731	NA	NA
k121_460505	9542	No terminal repeats	11	11	0.9984	0.0012	8	15.1150	F_traW;F_traK;F_traE;F_traL	NA
k121_436386	1225	No terminal repeats	2	11	0.9983	0.0012	2	2.7021	T_virB8;T_virB5	NA
k121_124233	1154	No terminal repeats	2	11	0.9983	0.0012	2	2.4284	F_traH;F_traF	NA
k121_101643	1219	No terminal repeats	2	11	0.9982	0.0012	2	2.4690	T_virB5;T_virB10	NA
k121_576143	1053	No terminal repeats	3	11	0.9981	0.0013	2	3.4366	T_virB3;T_virB2	NA
k121_103727	3505	No terminal repeats	5	11	0.9981	0.0013	3	3.7520	virb4;T_virB6;T_virB5	NA
k121_93609	1674	No terminal repeats	5	11	0.9980	0.0013	2	3.7995	NA	NA
k121_354633	1024	No terminal repeats	2	11	0.9980	0.0013	1	1.7183	NA	NA
k121_333517	3196	No terminal repeats	3	11	0.9979	0.0013	2	2.3690	virb4;T_virB6	NA
k121_457540	4257	No terminal repeats	8	11	0.9979	0.0013	1	1.8979	NA	NA
k121_559160	1700	No terminal repeats	2	11	0.9975	0.0014	1	1.6645	MOBP1	NA
k121_644481	1063	No terminal repeats	2	11	0.9974	0.0014	1	2.8362	F_traU	NA
k121_176602	1271	No terminal repeats	3	11	0.9964	0.0014	1	2.0035	NA	NA
