,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
1,k121_95860,86521,,66,0.0,no,0,0,1,0,3,0,0,0
11,k121_266652,48086,,60,0.0,no,0,0,1,0,7,0,0,0
35,k121_1485227,21631,,27,-0.1,no,0,1,0,0,0,0,0,0
37,k121_1326366,17095,,17,0.2,no,0,0,0,0,0,0,0,1
57,k121_1346068,8422,,10,0.0,no,0,0,1,0,0,0,0,0
67,k121_17925,6304,,5,0.2,no,0,0,0,0,0,0,0,1
71,k121_1895283,6103,,9,0.0,yes,0,0,1,0,0,0,0,0
77,k121_196184,5495,,4,0.1,no,0,0,0,0,0,0,0,1
82,k121_322530,5422,,6,0.0,no,0,0,1,0,0,0,0,1
88,k121_1376581,4880,,4,0.1,no,0,0,0,0,0,0,0,1
89,k121_1809950,4812,,4,0.1,no,0,0,0,0,0,0,0,1
96,k121_1801947,4370,,4,0.1,no,0,0,0,0,0,0,0,1
111,k121_1633313,3673,,5,0.0,no,0,1,0,0,0,0,0,0
113,k121_695789,3587,,4,0.1,no,0,0,0,0,0,0,0,1
119,k121_140920,3308,,6,0.4,no,0,0,0,0,0,0,0,1
122,k121_411269,3204,,1,1.7,no,0,0,0,0,0,0,0,1
123,k121_1707461,3197,,3,0.1,no,0,0,0,0,0,0,0,1
124,k121_1899368,3176,,3,0.0,yes,0,0,1,0,0,0,0,0
126,k121_1729129,3117,,4,0.2,no,0,0,0,0,0,0,0,1
130,k121_1549440,3004,,3,0.0,no,0,1,0,0,0,0,0,0
131,k121_1154918,2908,,2,0.2,no,0,0,0,0,0,0,0,1
135,k121_1752915,2833,,3,-0.1,no,0,1,0,0,0,0,0,0
137,k121_769653,2825,,4,0.4,no,0,0,0,0,0,0,0,1
139,k121_1558545,2776,,2,0.1,no,0,0,0,0,0,0,0,1
140,k121_1693343,2769,,3,0.1,no,0,0,0,0,0,0,0,1
142,k121_1112299,2722,,4,13.3,no,0,0,0,0,0,0,0,0
144,k121_784487,2687,,2,0.5,no,0,0,0,0,0,0,0,1
145,k121_1733045,2676,,2,0.1,no,0,0,0,0,0,0,0,1
151,k121_432492,2522,,3,0.0,no,0,1,0,0,0,0,0,0
154,k121_1376119,2492,,2,0.2,no,0,0,0,0,0,0,0,1
156,k121_136657,2455,,2,0.1,no,0,0,0,0,0,0,0,1
