ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_832178	381501	NA	493	0.0	yes	0	0	0	0	0	0	0	0
k121_562160	338122	NA	385	0.0	yes	0	0	0	0	0	0	0	0
k121_837038	214231	NA	293	0.0	yes	0	0	0	0	0	0	0	0
k121_1205593	193393	NA	234	0.0	yes	0	0	0	0	0	0	0	0
k121_163141	156069	NA	240	0.0	yes	0	0	0	0	0	0	0	0
k121_870571	81787	NA	109	0.0	yes	0	0	0	0	0	0	0	0
k121_231489	63162	NA	101	0.0	yes	0	0	0	0	0	0	0	0
k121_1625949	60514	NA	64	0.0	yes	0	0	0	0	0	0	0	0
k121_624801	58672	NA	80	0.0	yes	0	0	0	0	0	0	0	0
k121_1625898	56505	NA	82	0.0	yes	0	0	0	0	0	0	0	0
k121_1625992	54899	NA	101	0.0	yes	0	0	0	0	0	0	0	0
k121_1626011	54871	NA	70	0.0	yes	0	0	0	0	0	0	0	0
k121_1625917	50299	NA	67	0.0	yes	0	0	0	0	0	0	0	0
k121_673615	50199	NA	70	0.0	yes	0	0	0	0	0	0	0	0
k121_1602711	45094	NA	55	0.0	yes	0	0	0	0	0	0	0	0
k121_1625950	43690	NA	66	0.0	yes	0	0	0	0	0	0	0	0
k121_1625976	42061	NA	63	0.0	yes	0	0	0	0	0	0	0	0
k121_61899	41379	NA	55	0.0	yes	0	0	0	0	0	0	0	0
k121_1625921	41301	NA	59	0.0	yes	0	0	0	0	0	0	0	0
k121_771692	41147	NA	36	0.4	no	0	0	1	0	10	0	0	0
k121_1625885	40461	NA	73	0.0	yes	0	0	0	0	0	0	0	0
k121_1625883	40396	NA	61	0.0	yes	0	0	0	0	0	0	0	0
k121_1625893	40313	NA	51	0.0	yes	0	0	0	0	0	0	0	0
k121_1626157	40146	NA	52	0.0	yes	0	0	0	0	0	0	0	0
k121_1625943	40063	NA	73	0.0	yes	0	0	0	0	0	0	0	0
k121_10642	37646	NA	59	0.0	yes	0	0	0	0	0	0	0	0
k121_1625953	37022	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_1625903	34734	NA	52	0.0	yes	0	0	0	0	0	0	0	0
k121_820341	34499	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_1378170	34472	NA	60	0.0	yes	0	0	0	0	0	0	0	0
k121_1625983	33795	NA	57	0.0	yes	0	0	0	0	0	0	0	0
k121_976190	32963	NA	34	0.0	no	0	1	0	0	0	0	0	0
k121_1350701	20845	NA	21	0.0	no	0	0	1	0	0	0	0	0
k121_254001	20316	NA	19	1.0	no	0	0	0	0	0	0	0	0
