ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_423398	24754	NA	28	0.0	no	0	0	1	0	0	0	0	0
k121_294459	24681	NA	27	0.0	no	0	0	1	0	0	0	0	0
k121_1606263	18505	NA	21	0.0	yes	0	0	0	0	0	0	0	0
k121_1408016	16361	NA	13	-0.2	yes	0	0	0	0	0	0	0	0
k121_184375	11164	NA	9	0.0	no	0	0	1	0	0	0	0	0
k121_277101	9591	NA	13	0.0	no	0	0	1	0	0	0	0	0
k121_167447	8590	NA	13	0.0	no	0	0	1	0	0	0	0	0
k121_952426	8194	NA	8	0.0	no	0	1	0	0	0	0	0	0
k121_1330124	8117	NA	10	0.0	no	0	0	1	0	0	0	0	0
k121_81288	7986	NA	11	0.0	yes	0	1	0	0	0	0	0	0
k121_1477396	7650	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1606306	6861	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1459931	6585	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_70966	6330	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_1606254	6153	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_887070	6141	NA	6	0.0	no	0	1	0	0	0	0	0	0
k121_1606638	5835	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_309248	5805	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_461521	5434	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_513298	5405	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_701440	5033	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1606267	4630	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_49372	4464	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_795754	4200	NA	5	0.0	no	0	0	1	0	0	0	0	0
k121_1169565	3787	NA	5	0.0	no	0	0	1	0	0	0	0	0
k121_1388	3531	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_192793	3503	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_853761	3334	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_638508	3162	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_474402	2966	NA	2	0.6	no	0	0	0	0	0	0	0	1
k121_870164	2943	NA	3	0.2	no	0	1	0	0	0	0	0	0
k121_1354028	2857	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_43857	2750	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_1606873	2598	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_877885	2554	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_142409	2467	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_978109	2467	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1263670	2410	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1133406	2401	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1367681	2133	NA	3	0.0	no	0	0	1	0	0	0	0	0
k121_1607013	2132	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1154359	2107	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_659559	2095	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_576628	2077	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_1607195	2066	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1606371	2062	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1606358	1991	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1070987	1948	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_536193	1944	NA	3	0.0	no	0	1	0	0	0	0	0	0
k121_882700	1918	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1105558	1909	NA	3	0.0	no	0	0	1	0	0	0	0	0
k121_681265	1906	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_409207	1905	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_1450577	1894	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1606769	1884	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1606379	1787	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1104326	1786	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_906008	1773	NA	1	0.0	no	0	1	0	0	0	0	0	0
k121_98966	1757	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_633366	1754	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1607990	1754	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1336260	1730	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_878951	1714	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1008213	1690	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_350028	1684	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_811628	1660	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_49472	1645	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_794958	1645	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1606519	1637	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_981703	1633	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1607511	1624	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1480043	1615	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1606600	1615	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_557919	1603	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_460215	1572	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_142869	1561	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_824182	1556	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_903373	1550	NA	3	0.0	no	0	0	1	0	0	0	0	0
k121_1067930	1544	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_117159	1536	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_453382	1534	NA	1	0.0	no	0	1	0	0	0	0	0	0
k121_49667	1519	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_924531	1498	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_159299	1497	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1318738	1489	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1154317	1470	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1606782	1467	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_413744	1465	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1474261	1463	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_693922	1457	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_856554	1456	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_855767	1445	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_895040	1441	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_253797	1423	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1606507	1423	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1607951	1417	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_546652	1414	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_1606910	1405	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1501680	1400	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_561315	1398	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1607525	1390	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_927364	1387	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1606618	1359	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1606711	1355	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1607641	1346	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_184363	1344	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_77484	1344	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1103118	1315	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_652935	1312	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_1606744	1312	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_284111	1306	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1449862	1303	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_67381	1292	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_610007	1285	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1045949	1282	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_275634	1276	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_426544	1273	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1029498	1270	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1296468	1264	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1304291	1261	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1606269	1254	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_973795	1249	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_880583	1245	NA	1	0.0	no	0	1	0	0	0	0	0	0
k121_1270336	1236	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_571179	1234	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_224963	1233	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1607632	1231	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1360391	1219	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1038760	1216	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1606621	1214	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1607922	1213	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1607405	1210	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_897878	1201	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1358907	1200	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1198311	1199	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_37627	1191	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_1606231	1187	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1459113	1186	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1606555	1181	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1607866	1179	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_838581	1176	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_150601	1175	NA	1	0.0	no	0	1	0	0	0	0	0	0
k121_190718	1171	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1609824	1168	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1476686	1166	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_876682	1153	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_15417	1141	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_345210	1140	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1455481	1137	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1390410	1136	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1606445	1133	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1607277	1123	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1606785	1100	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_300835	1092	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1267171	1089	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1108494	1087	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1606892	1085	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1606461	1078	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1606336	1067	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1606914	1063	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_34047	1060	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1558225	1060	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_940032	1060	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1607646	1060	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_575856	1059	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1381844	1057	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1064052	1057	NA	1	0.0	yes	0	0	0	0	0	0	0	0
