,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
0,k121_423398,24754,,28,0.0,no,0,0,1,0,0,0,0,0
1,k121_294459,24681,,27,0.0,no,0,0,1,0,0,0,0,0
4,k121_184375,11164,,9,0.0,no,0,0,1,0,0,0,0,0
5,k121_277101,9591,,13,0.0,no,0,0,1,0,0,0,0,0
6,k121_167447,8590,,13,0.0,no,0,0,1,0,0,0,0,0
7,k121_952426,8194,,8,0.0,no,0,1,0,0,0,0,0,0
8,k121_1330124,8117,,10,0.0,no,0,0,1,0,0,0,0,0
9,k121_81288,7986,,11,0.0,yes,0,1,0,0,0,0,0,0
15,k121_887070,6141,,6,0.0,no,0,1,0,0,0,0,0,0
23,k121_795754,4200,,5,0.0,no,0,0,1,0,0,0,0,0
24,k121_1169565,3787,,5,0.0,no,0,0,1,0,0,0,0,0
29,k121_474402,2966,,2,0.6,no,0,0,0,0,0,0,0,1
30,k121_870164,2943,,3,0.2,no,0,1,0,0,0,0,0,0
32,k121_43857,2750,,2,0.0,no,0,0,1,0,0,0,0,0
34,k121_877885,2554,,2,0.0,no,0,0,1,0,0,0,0,0
39,k121_1367681,2133,,3,0.0,no,0,0,1,0,0,0,0,0
43,k121_576628,2077,,1,0.0,no,0,0,1,0,0,0,0,0
48,k121_536193,1944,,3,0.0,no,0,1,0,0,0,0,0,0
50,k121_1105558,1909,,3,0.0,no,0,0,1,0,0,0,0,0
52,k121_409207,1905,,1,0.0,no,0,0,1,0,0,0,0,0
56,k121_1104326,1786,,1,0.0,no,0,0,1,0,0,0,0,0
57,k121_906008,1773,,1,0.0,no,0,1,0,0,0,0,0,0
77,k121_903373,1550,,3,0.0,no,0,0,1,0,0,0,0,0
80,k121_453382,1534,,1,0.0,no,0,1,0,0,0,0,0,0
96,k121_546652,1414,,2,0.0,no,0,0,1,0,0,0,0,0
108,k121_652935,1312,,2,0.0,no,0,0,1,0,0,0,0,0
122,k121_880583,1245,,1,0.0,no,0,1,0,0,0,0,0,0
134,k121_1198311,1199,,1,0.0,no,0,0,1,0,0,0,0,0
135,k121_37627,1191,,2,0.0,no,0,0,1,0,0,0,0,0
140,k121_838581,1176,,2,0.0,no,0,0,1,0,0,0,0,0
141,k121_150601,1175,,1,0.0,no,0,1,0,0,0,0,0,0
179,k121_343669,1021,,1,0.0,no,0,0,1,0,0,0,0,0
180,k121_562156,1019,,2,0.0,no,0,1,0,0,0,0,0,0
