gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_816336_1	494	1093	600	-1	0.633	11	AGGAG	GENOMAD.159307.PC	9.659e-15	75	0	0	0	1	NA	NA	NA	PF08808	RES domain
k121_816336_2	1074	1688	615	-1	0.699	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_816336_3	1842	2696	855	1	0.641	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1197266_1	344	1291	948	-1	0.322	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1197266_2	1583	2254	672	1	0.320	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1197266_3	2241	2861	621	1	0.317	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1197266_4	3166	3447	282	1	0.394	11	AAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_761970_1	2	274	273	-1	0.619	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_761970_2	843	1157	315	1	0.698	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_761970_3	1211	3421	2211	1	0.678	11	AGGA	GENOMAD.145556.PV	5.182e-08	59	0	0	0	1	NA	NA	NA	PF12083	NA
k121_761970_4	3457	3615	159	1	0.698	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_761970_5	3620	3754	135	1	0.704	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_272280_1	3	107	105	-1	0.352	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_272280_2	322	978	657	-1	0.332	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_272280_3	1053	1829	777	-1	0.328	11	AATAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_272280_4	2474	3079	606	1	0.330	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_272280_5	3471	3791	321	1	0.321	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1088451_1	1	63	63	-1	0.683	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1088451_2	60	1175	1116	-1	0.660	11	None	GENOMAD.116679.PC	1.279e-18	91	0	1	0	1	NA	F_trbC	NA	PF09673	Type-F conjugative transfer system pilin assembly protein
k121_1034122_1	313	498	186	1	0.694	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1034122_2	519	728	210	1	0.671	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1034122_3	883	1107	225	1	0.636	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1034122_4	1100	1489	390	1	0.692	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1034122_5	1906	2085	180	1	0.628	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1034122_6	2066	2278	213	1	0.634	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1034122_7	2275	2844	570	1	0.668	11	GGA/GAG/AGG	GENOMAD.192681.CP	2.428e-41	152	0	0	0	1	NA	NA	NA	PF12766;COG5135;TIGR04026;K00275	PPOX class probable FMN-dependent enzyme, alr4036 family
k121_1034122_8	2981	3229	249	-1	0.590	11	None	GENOMAD.114456.VV	1.936e-06	46	0	0	0	1	NA	NA	NA	PF07866;COG4728	NA
k121_1034122_9	3266	3517	252	-1	0.615	11	GGA/GAG/AGG	GENOMAD.153150.CP	1.802e-07	49	0	0	0	1	NA	NA	NA	PF00111;TIGR01941;COG0633;K23527	NADH:ubiquinone oxidoreductase, Na(+)-translocating, F subunit
k121_1034122_10	3614	5020	1407	-1	0.620	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1034122_11	5396	6493	1098	1	0.498	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1034122_12	6490	7479	990	1	0.503	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1034122_13	7803	9575	1773	-1	0.704	11	None	GENOMAD.009563.PP	3.303e-11	69	0	0	0	1	NA	NA	NA	PF12482	Phage integrase protein
k121_1034122_14	9886	10179	294	-1	0.646	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1034122_15	10176	10523	348	-1	0.638	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1034122_16	10665	11231	567	-1	0.646	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1034122_17	11399	11494	96	-1	0.500	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1034122_18	11695	12123	429	1	0.650	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1034122_19	12120	12386	267	1	0.727	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1197473_1	3	521	519	1	0.755	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1197473_2	511	1059	549	-1	0.710	11	None	GENOMAD.207491.PC	4.669e-30	119	0	0	0	1	NA	NA	NA	PF06299;TIGR03223;K05774;COG1514	putative phosphonate metabolism protein
k121_1197473_3	1432	2556	1125	1	0.737	11	None	GENOMAD.162311.CP	5.422e-56	203	0	0	0	1	NA	NA	NA	PF12890;K06162;TIGR02318;COG3454	phosphonate metabolism protein PhnM
k121_1197473_4	2587	3003	417	-1	0.703	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1469599_1	1	99	99	1	0.455	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1469599_2	96	1046	951	-1	0.516	11	None	GENOMAD.129512.CP	3.687e-06	51	0	0	0	1	NA	NA	NA	PF11494;PF13478;PF02625;COG1975;TIGR02964;K07402	Xanthine and CO dehydrogenase maturation factor, XdhC/CoxF family
k121_1469599_3	1101	1718	618	1	0.437	11	None	GENOMAD.133519.CP	1.211e-10	63	0	0	0	1	NA	NA	NA	PF01983;K07141;TIGR03202;COG2068	xanthine dehydrogenase accessory protein pucB
k121_1469599_4	2007	3323	1317	1	0.358	11	TAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1469599_5	3798	5630	1833	1	0.408	11	AATAA	GENOMAD.178810.CP	1.079e-29	129	0	0	0	2561	Caudoviricetes	NA	NA	PF19465;PF00135;K01753;TIGR02035;COG3048	D-serine ammonia-lyase
k121_1469599_6	5770	6528	759	1	0.310	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1143255_1	2	1129	1128	-1	0.638	11	AGGAG	GENOMAD.190560.PC	3.357e-199	618	0	0	0	1	NA	NA	NA	PF08538;TIGR03100;COG0412;K01054	exosortase A system-associated hydrolase 1
k121_1143255_2	1181	2575	1395	-1	0.584	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1143255_3	2572	3282	711	-1	0.624	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1197751_1	1	258	258	1	0.422	15	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1197751_2	341	700	360	-1	0.422	15	GGxGG	GENOMAD.209156.PC	2.622e-42	151	0	0	0	1	NA	NA	NA	PF04663;K16245	Phenol hydroxylase conserved region
k121_1197751_3	713	2260	1548	-1	0.439	15	GGAG/GAGG	GENOMAD.183239.PC	1.662e-286	878	0	0	0	1	NA	NA	NA	PF02332;PF11494;K16242;COG3396;TIGR04059	Methane/Phenol/Toluene Hydroxylase; Ta0938
k121_1197751_4	2285	2569	285	-1	0.446	15	None	GENOMAD.181048.PC	4.199e-26	103	0	0	0	1	NA	NA	NA	PF02332;K16243;COG3396;TIGR04059	Methane/Phenol/Toluene Hydroxylase
k121_635_1	3	554	552	-1	0.639	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_635_2	875	1492	618	1	0.650	11	AGGAG	GENOMAD.177061.PC	1.171e-07	54	0	0	0	1	NA	NA	NA	K16552;COG1596;TIGR03027	Periplasmic protein involved in polysaccharide export, contains SLBB domain of the beta-grasp fold
