,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
1,k121_1926050,18496,,17,0.0,no,0,0,1,0,1,0,0,0
2,k121_484762,14495,,13,0.0,no,0,0,1,0,0,0,0,0
12,k121_2521098,4208,,2,0.0,yes,0,0,0,1,0,0,0,0
13,k121_1152379,4027,,5,0.0,no,0,0,1,0,0,0,0,0
16,k121_1476986,3258,,6,0.0,yes,0,0,1,0,0,0,0,0
21,k121_268070,3043,,1,0.0,no,0,0,1,0,0,0,0,0
22,k121_1997993,2988,,4,0.0,no,0,1,0,0,0,0,0,0
24,k121_848650,2677,,3,0.0,no,0,1,0,0,0,0,0,0
25,k121_731513,2659,,2,0.2,no,0,0,0,0,0,0,0,1
27,k121_1356050,2570,,3,1.4,no,1,0,0,0,0,0,0,0
33,k121_2296217,2160,,2,0.0,no,0,0,1,0,0,0,0,0
36,k121_472227,2131,,3,0.0,no,0,0,1,0,0,0,0,0
37,k121_1132584,2131,,2,0.0,no,0,0,1,0,0,0,0,0
39,k121_288134,2027,,2,0.0,no,0,0,1,0,0,0,0,0
41,k121_456855,2003,,3,0.0,no,0,0,1,0,0,0,0,0
54,k121_428814,1723,,1,0.0,no,0,0,1,0,0,0,0,0
78,k121_465691,1426,,1,0.1,no,0,0,0,0,0,0,0,1
83,k121_84866,1335,,1,0.1,no,0,0,0,0,0,0,0,1
85,k121_1960017,1291,,1,0.0,no,0,1,0,0,0,0,0,0
86,k121_813795,1290,,1,0.4,no,0,0,0,0,0,0,0,1
96,k121_636012,1206,,2,0.0,no,0,0,1,0,1,0,0,0
114,k121_1098343,1150,,1,1.2,no,0,0,0,0,0,0,0,1
125,k121_415757,1109,,1,0.4,no,0,0,0,0,0,0,0,1
126,k121_581957,1102,,1,4.7,no,0,0,0,0,0,0,0,1
137,k121_1989950,1066,,1,0.0,no,0,1,0,0,0,0,0,0
143,k121_1467211,1050,,1,1.2,no,0,0,0,0,0,0,0,1
144,k121_1734061,1042,,1,0.0,no,0,1,0,0,0,0,0,0
149,k121_1501661,1031,,1,0.1,no,0,0,0,0,0,0,0,1
163,k121_681068,1008,,1,0.0,no,0,0,1,0,0,0,0,0
