ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_1352268	133197	NA	122	-0.1	no	0	0	1	0	8	0	0	0
k121_575940	46830	NA	75	0.0	yes	0	0	0	0	0	0	0	0
k121_681382	45599	NA	59	0.0	yes	0	0	0	0	0	0	0	0
k121_1433140	42748	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_1433360	39892	NA	72	0.0	yes	0	0	0	0	0	0	0	0
k121_726621	29974	NA	26	0.0	no	0	0	1	0	0	0	0	0
k121_1305835	28585	NA	22	0.0	yes	0	0	0	0	0	0	0	0
k121_1045470	26321	NA	22	0.1	no	0	0	0	0	0	0	0	1
k121_1375475	24208	NA	25	0.0	yes	0	0	1	0	0	0	0	0
k121_1342297	22021	NA	18	0.0	no	0	0	1	0	0	0	0	0
k121_17391	16828	NA	16	0.0	no	0	0	1	0	0	0	0	0
k121_258713	16227	NA	13	0.0	no	0	0	1	0	0	0	0	0
k121_746236	15429	NA	18	0.0	no	0	0	1	0	0	0	0	0
k121_520053	13180	NA	12	0.0	no	0	0	1	0	1	0	0	0
k121_1433687	12690	NA	17	0.0	yes	0	0	0	0	0	0	0	0
k121_874908	10787	NA	9	0.4	no	0	1	0	0	0	0	0	0
k121_548794	10394	NA	9	0.1	no	0	0	0	0	0	0	0	1
k121_795893	9911	NA	9	-1.2	no	0	0	1	0	2	0	0	0
k121_324247	9902	NA	9	0.0	no	0	0	1	0	1	0	0	0
k121_36271	9708	NA	11	3.4	no	0	0	0	0	0	1	0	0
k121_869060	9133	NA	14	1.5	no	0	0	0	0	2	0	0	1
k121_859587	8950	NA	11	0.0	no	0	0	1	0	0	0	0	0
k121_923566	8903	NA	9	0.1	no	0	0	0	0	0	0	0	1
k121_658443	8527	NA	8	0.1	no	0	0	0	0	0	0	0	1
k121_488500	8453	NA	6	0.4	no	0	0	0	0	0	0	0	1
k121_691225	8316	NA	8	-0.3	no	0	1	0	0	0	0	0	0
k121_347518	8232	NA	12	0.0	no	0	0	1	0	0	0	0	0
k121_866020	7697	NA	5	0.0	no	0	0	1	0	1	0	0	0
k121_1142582	7616	NA	7	0.0	no	0	0	1	0	0	0	0	0
k121_836686	7469	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1024644	7413	NA	5	2.6	no	0	0	0	0	0	0	0	1
