seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_206308	1772	No terminal repeats	2	11	0.9990	0.0010	1	2.3247	NA	NA
k121_384707	2734	No terminal repeats	4	11	0.9990	0.0010	2	2.8362	MOBV	NA
k121_308710	2340	No terminal repeats	2	11	0.9990	0.0010	2	2.5032	NA	NA
k121_373958	2600	No terminal repeats	3	11	0.9990	0.0010	1	2.4254	NA	NA
k121_685749	2044	DTR	2	11	0.9990	0.0010	2	1.8586	NA	NA
k121_685222	2842	DTR	5	11	0.9990	0.0010	2	3.6727	MOBC;MOBC	NA
k121_292699	1493	No terminal repeats	2	11	0.9990	0.0010	1	1.8631	MOBV	NA
k121_685674	2905	DTR	5	11	0.9990	0.0010	2	2.2092	NA	NA
k121_685973	5209	DTR	8	11	0.9989	0.0010	3	4.9915	MOBQ	NA
k121_685178	2857	DTR	7	11	0.9989	0.0010	1	1.7183	NA	NA
k121_685244	4150	DTR	8	11	0.9989	0.0010	2	2.1524	MOBQ	NA
k121_290235	5120	No terminal repeats	7	11	0.9989	0.0010	3	6.2443	MOBP1	NA
k121_144720	1241	No terminal repeats	4	11	0.9989	0.0010	3	4.2361	MOBQ	NA
k121_582447	3141	No terminal repeats	2	11	0.9989	0.0010	2	2.8392	MOBQ	NA
k121_678879	3997	No terminal repeats	8	11	0.9989	0.0011	1	3.9715	MOBQ	NA
k121_345842	1191	No terminal repeats	2	11	0.9989	0.0011	1	1.6708	NA	NA
k121_685236	2420	DTR	4	11	0.9989	0.0011	2	1.6810	MOBV	NA
k121_297452	3255	No terminal repeats	6	11	0.9988	0.0011	1	3.0041	NA	NA
k121_458131	1448	No terminal repeats	3	11	0.9988	0.0011	1	1.7183	NA	NA
k121_160224	1136	No terminal repeats	1	11	0.9988	0.0011	1	1.6987	NA	NA
k121_685939	1513	DTR	2	11	0.9987	0.0011	2	1.9887	NA	NA
k121_685936	3550	DTR	6	11	0.9987	0.0011	1	1.7283	MOBV	NA
k121_424073	3707	No terminal repeats	6	11	0.9986	0.0011	1	2.3173	NA	NA
k121_685126	3248	DTR	6	11	0.9985	0.0011	1	3.4366	NA	NA
k121_182937	2348	No terminal repeats	6	11	0.9984	0.0012	1	2.0477	NA	NA
k121_496937	14162	No terminal repeats	17	11	0.9983	0.0012	1	2.8206	MOBB	NA
k121_484429	1416	No terminal repeats	2	11	0.9977	0.0012	1	2.0215	NA	NA
k121_32759	4199	No terminal repeats	6	11	0.9969	0.0013	3	4.1616	G_tfc8;G_tfc12;G_tfc13;G_tfc14	NA
k121_310950	1203	No terminal repeats	2	11	0.9851	0.0018	1	1.7120	NA	NA
k121_328801	1424	No terminal repeats	3	11	0.9707	0.0027	2	2.4829	T_virB1;T_virB3	NA
k121_420813	1214	No terminal repeats	4	11	0.9697	0.0036	1	1.6808	MOBQ	NA
k121_93181	1272	No terminal repeats	3	11	0.9673	0.0045	2	2.2801	T_virB2;T_virB3	NA
k121_237578	3442	No terminal repeats	5	4	0.9564	0.0057	2	2.3156	MOBP1	NA
k121_382496	3350	No terminal repeats	4	11	0.9563	0.0068	1	1.7183	NA	NA
k121_653852	1949	No terminal repeats	6	11	0.9266	0.0087	2	2.0382	G_tfc5;G_tfc8	NA
k121_508679	1695	No terminal repeats	3	11	0.9260	0.0105	2	2.1819	G_tfc15;virb4	NA
k121_143536	1560	No terminal repeats	3	11	0.9126	0.0126	2	1.9957	T_virB8;T_virB9	NA
k121_389413	1961	No terminal repeats	6	11	0.8742	0.0156	3	2.9560	T_virB1;G_tfc5;G_tfc8	NA
