gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_527784_1	2	547	546	1	0.570	11	None	GENOMAD.077406.PP	3.846e-50	177	0	1	0	1	NA	F_traK	NA	PF06586;K12066;TIGR02756	type-F conjugative transfer system secretin TraK
k121_527784_2	544	1884	1341	1	0.562	11	None	GENOMAD.094143.PC	8.962e-100	334	0	1	0	1	NA	F_traB	NA	K12065	NA
k121_527784_3	1897	2436	540	1	0.550	11	AGGAG	GENOMAD.087731.PC	6.696e-24	101	0	1	0	1	NA	F_traV	NA	K12064;TIGR02747;COG3895	type IV conjugative transfer system lipoprotein TraV
k121_1101333_1	3	410	408	1	0.542	11	None	GENOMAD.092693.PC	1.963e-36	135	0	1	0	1	NA	F_traW	NA	PF09673;K12061;TIGR02743	type-F conjugative transfer system protein TraW
k121_1101333_2	407	1393	987	1	0.540	11	None	GENOMAD.093442.PC	1.864e-61	217	0	1	0	1	NA	F_traU	NA	PF06834;K12060;TIGR03756	TraU protein
k121_1101333_3	1631	2257	627	1	0.467	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_179625_1	3	341	339	-1	0.546	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_179625_2	877	1851	975	1	0.511	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_179625_3	1851	2105	255	1	0.518	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_179625_4	2190	2915	726	1	0.512	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_179625_5	2921	4357	1437	1	0.500	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_179625_6	4523	5209	687	1	0.556	11	AGGAG	GENOMAD.146032.PC	7.514e-22	97	0	1	0	1	NA	T_virB1	NA	PF06871;K03194;COG4764	TraH_2
k121_179625_7	5214	5522	309	1	0.498	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_179625_8	5512	6039	528	1	0.492	11	GGA/GAG/AGG	GENOMAD.124277.PC	9.501e-17	80	0	0	0	1	NA	NA	NA	PF05280;K02402;COG1645	Flagellar transcriptional activator (FlhC)
k121_179625_9	6039	6767	729	1	0.549	11	None	GENOMAD.197137.VP	1.164e-46	170	0	0	0	2561	Caudoviricetes	NA	NA	PF02387;TIGR03474	IncFII RepA protein family
k121_179625_10	7324	7542	219	1	0.511	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_179625_11	7708	8064	357	-1	0.462	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_179625_12	8061	8312	252	-1	0.563	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_179625_13	8522	9949	1428	-1	0.522	11	None	GENOMAD.086212.PC	6.428e-140	452	0	1	0	1	NA	F_traG	NA	PF07916;PF19489;K12056;COG4764	TraG-like protein, N-terminal region; Transglycosylase SLT domain
k121_1147140_1	3	347	345	1	0.513	11	None	GENOMAD.147643.PC	4.628e-18	81	0	1	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385	Plasmid stabilization system protein ParE
k121_1147140_2	388	1668	1281	-1	0.557	11	GGAG/GAGG	GENOMAD.076695.PP	1.609e-41	162	0	1	0	1	NA	MOBP1	NA	PF03432;K18434;COG3843	Type IV secretory pathway, VirD2 components (relaxase)
k121_1147140_3	1655	2194	540	-1	0.526	11	GGAG/GAGG	GENOMAD.093714.PC	1.265e-13	71	0	1	0	1	NA	NA	NA	PF19514;PF16777;COG4453	MobC-like protein; Transcriptional regulator, RHH-like, CopG
k121_1147140_4	2594	3121	528	1	0.545	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
