ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_115995	60030	NA	85	0.0	yes	0	0	0	0	0	0	0	0
k121_1663785	57769	NA	75	0.0	yes	0	0	0	0	0	0	0	0
k121_2154857	45525	NA	61	0.0	yes	0	0	0	0	0	0	0	0
k121_2154808	35815	NA	47	0.0	yes	0	0	0	0	0	0	0	0
k121_1687027	34021	NA	46	0.0	yes	0	0	0	0	0	0	0	0
k121_1584451	28443	NA	32	0.0	yes	0	0	0	0	0	0	0	0
k121_1830442	16694	NA	17	0.0	no	0	1	0	0	0	0	0	0
k121_1516884	14528	NA	14	-0.0	no	0	1	0	0	0	0	0	0
k121_694044	14172	NA	17	-0.1	no	0	0	1	0	0	0	0	0
k121_1851295	13241	NA	17	0.0	no	0	0	1	0	0	0	0	0
k121_2155027	10550	NA	21	0.0	yes	0	0	0	0	0	0	0	0
k121_1552499	9720	NA	14	0.0	yes	0	0	0	0	0	0	0	0
k121_547652	8810	NA	11	0.0	no	0	0	1	0	0	0	0	0
k121_1592421	7613	NA	10	0.0	no	0	0	1	0	0	0	0	0
k121_384563	7276	NA	9	0.0	no	0	0	1	0	0	0	0	0
k121_81892	6961	NA	10	0.0	no	0	0	1	0	0	0	0	0
k121_478817	6843	NA	5	0.0	no	0	0	1	0	0	0	0	0
k121_1131927	6244	NA	3	0.0	no	0	1	0	0	0	0	0	0
k121_775014	6084	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_588323	5949	NA	9	0.0	no	0	0	1	0	0	0	0	0
k121_2154812	5457	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_1572724	5452	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_2155352	5289	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2154937	5033	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2154877	4957	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_335344	4743	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_132971	4728	NA	7	0.0	no	0	0	1	0	0	0	0	0
k121_1596934	4629	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2155449	4623	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1952552	4424	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2154865	4055	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_959390	4010	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_2154871	3941	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2155914	3808	NA	4	0.0	yes	0	0	1	0	0	0	0	0
k121_1323587	3793	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1951040	3769	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_32764	3717	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_407034	3585	NA	4	-0.5	no	0	1	0	0	0	0	0	0
k121_2154889	3580	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1051858	3554	NA	6	0.0	no	0	1	0	0	0	0	0	0
k121_939685	3541	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_57058	3460	NA	2	0.9	no	0	0	0	0	0	0	0	1
k121_1369044	3436	NA	4	-0.2	no	0	1	0	0	0	0	0	0
k121_545623	3402	NA	4	1.0	no	0	0	0	0	0	0	0	0
k121_384032	3371	NA	3	0.0	no	0	0	1	0	0	0	0	0
k121_947537	3349	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2137825	3309	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_551980	3253	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2155502	3101	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1734050	2882	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_163811	2641	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1658798	2608	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_389855	2607	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_2154841	2605	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2156173	2582	NA	3	0.0	yes	0	0	1	0	0	0	0	0
k121_2154863	2572	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_2155028	2413	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2155154	2377	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_617528	2372	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2155469	2303	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2154903	2302	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2154811	2286	NA	3	0.0	yes	0	0	0	0	0	0	0	0
