,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
51,k121_1348459,8639,,10,0.0,no,0,0,1,0,0,0,0,0
56,k121_1334198,7692,,8,0.0,no,0,1,0,0,0,0,0,0
59,k121_1770421,7082,,7,0.0,no,0,0,1,0,0,0,0,0
62,k121_879715,6579,,2,0.0,no,0,0,1,0,1,0,0,0
105,k121_905984,2980,,3,-0.1,no,0,1,0,0,0,0,0,0
118,k121_1622297,2575,,4,0.0,no,0,0,1,0,0,0,0,0
121,k121_594500,2504,,1,0.4,no,0,0,0,0,0,0,0,1
128,k121_2183491,2300,,3,0.0,no,0,0,1,0,0,0,0,0
214,k121_684822,1323,,2,0.2,no,0,0,0,0,0,0,0,1
305,k121_1972243,1049,,2,0.0,no,0,0,1,0,0,0,0,0
326,k121_1115215,1001,,1,0.0,no,0,0,1,0,0,0,0,0
