seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_459552	4061	No terminal repeats	7	11	0.9991	0.0009	1	5.7394	MOBQ	NA
k121_1518329	1380	No terminal repeats	1	11	0.9991	0.0009	1	1.7183	NA	NA
k121_210946	1266	No terminal repeats	2	11	0.9991	0.0009	2	3.1823	MOBP1	NA
k121_647878	3331	No terminal repeats	3	11	0.9990	0.0009	2	4.3191	NA	NA
k121_747272	1332	No terminal repeats	2	11	0.9990	0.0010	1	1.7183	NA	NA
k121_377067	1106	No terminal repeats	1	11	0.9989	0.0010	1	1.6920	MOBQ	NA
k121_522719	1053	No terminal repeats	1	11	0.9989	0.0010	1	1.7183	MOBC	NA
k121_638844	2362	No terminal repeats	4	11	0.9989	0.0010	2	3.7509	MOBP1;T_virB1	NA
k121_959835	7364	No terminal repeats	8	11	0.9989	0.0010	1	2.6923	NA	NA
k121_1196337	3912	No terminal repeats	4	11	0.9989	0.0010	1	2.8794	NA	NA
k121_102337	7338	No terminal repeats	9	11	0.9987	0.0011	1	1.7183	NA	NA
k121_300185	1876	No terminal repeats	3	11	0.9987	0.0011	1	1.7183	MOBC	NA
k121_812920	5917	No terminal repeats	9	11	0.9987	0.0011	4	5.0417	F_traU;F_traK;F_traB;F_traV	NA
k121_841411	24970	No terminal repeats	30	11	0.9987	0.0011	4	10.2323	T_virB3;MOBP1;T_virB1	NA
k121_114407	35172	No terminal repeats	39	11	0.9987	0.0011	11	15.5297	F_traN;F_traH;F_traF;virb4;F_traV;F_traB;F_traK;F_traE;F_trbC;F_traU	NA
k121_709274	35265	No terminal repeats	29	11	0.9986	0.0011	6	4.6946	virb4;T_virB6;T_virB5;T_virB8;T_virB9;T_virB11;T_virB11;T_virB11	NA
k121_1580534	1253	No terminal repeats	3	11	0.9985	0.0012	2	3.4366	T_virB3;T_virB2	NA
k121_860736	2259	No terminal repeats	3	11	0.9985	0.0012	1	1.7183	NA	NA
k121_487764	8778	No terminal repeats	8	11	0.9985	0.0012	1	2.0552	NA	NA
k121_983321	18766	No terminal repeats	17	11	0.9985	0.0012	3	5.4040	F_traF;F_traH	NA
k121_605689	2238	No terminal repeats	3	11	0.9984	0.0012	2	2.4748	F_traK;F_traB	NA
k121_1192047	21553	No terminal repeats	20	11	0.9984	0.0012	1	1.5338	MOBC	NA
k121_800100	1807	No terminal repeats	2	11	0.9984	0.0013	1	1.5111	NA	NA
k121_321407	2292	No terminal repeats	2	11	0.9982	0.0013	1	2.0818	T_virB9	NA
k121_898051	2766	No terminal repeats	4	11	0.9981	0.0013	2	2.1987	virb4	NA
k121_796983	3220	No terminal repeats	2	11	0.9978	0.0013	1	1.7183	NA	NA
k121_676500	2475	No terminal repeats	3	11	0.9977	0.0014	3	3.7181	F_traB;F_traK;F_traE	NA
k121_1133183	10986	No terminal repeats	18	11	0.9976	0.0014	5	8.1279	F_traU;F_trbC;F_traK;F_traB;F_traV	NA
k121_429851	2570	No terminal repeats	4	11	0.9976	0.0014	1	2.8185	NA	NA
k121_334795	1127	No terminal repeats	2	11	0.9975	0.0015	2	2.7797	T_virB6;T_virB5	NA
k121_854690	12873	No terminal repeats	13	11	0.9975	0.0015	2	2.5168	MOBP1	NA
k121_1065512	6372	No terminal repeats	6	11	0.9975	0.0015	1	2.2978	NA	NA
k121_1361734	4248	No terminal repeats	7	11	0.9958	0.0016	1	2.8903	NA	NA
k121_1065372	1018	No terminal repeats	2	11	0.9938	0.0018	1	1.5023	NA	NA
k121_993974	1079	No terminal repeats	3	11	0.9886	0.0020	1	2.2753	NA	NA
k121_1318803	4979	No terminal repeats	9	11	0.9816	0.0025	1	1.7756	MOBQ	NA
k121_404754	1195	No terminal repeats	2	11	0.9786	0.0030	1	2.1676	NA	NA
k121_848344	3054	No terminal repeats	4	11	0.9786	0.0035	1	1.5023	NA	NA
k121_211956	1342	No terminal repeats	4	11	0.9736	0.0041	1	1.7137	NA	NA
k121_405661	1264	No terminal repeats	4	11	0.9735	0.0046	1	2.2753	NA	NA
k121_1297349	1113	No terminal repeats	2	11	0.9697	0.0053	1	1.8322	NA	NA
k121_1244901	1420	No terminal repeats	4	11	0.9606	0.0061	1	2.2753	NA	NA
k121_1019544	1832	No terminal repeats	3	11	0.9590	0.0069	1	2.0375	NA	NA
k121_1404732	2232	No terminal repeats	5	11	0.9488	0.0079	1	2.2753	NA	NA
k121_1053599	2903	No terminal repeats	6	11	0.9267	0.0093	1	1.7416	NA	NA
k121_871961	2848	No terminal repeats	3	11	0.8904	0.0115	1	1.5023	NA	NA
k121_729633	1875	No terminal repeats	3	11	0.8837	0.0137	1	1.8322	NA	NA
k121_481055	2183	No terminal repeats	3	11	0.8430	0.0167	2	2.4806	F_traU	NA
k121_404439	1605	No terminal repeats	4	11	0.8365	0.0197	1	1.5996	T_virB3	NA
