gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_217934_1	1	687	687	-1	0.482	11	GGAG/GAGG	GENOMAD.159835.CP	9.232e-53	187	0	0	0	1	NA	NA	NA	PF04754;TIGR01784;COG5464	Putative transposase, YhgA-like
k121_217934_2	1239	2213	975	-1	0.422	11	GGA/GAG/AGG	GENOMAD.034566.PP	3.195e-10	64	0	1	0	1	NA	NA	NA	PF07042;COG5534	TrfA protein
k121_217934_3	2311	2568	258	-1	0.349	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_217934_4	2763	4007	1245	-1	0.468	11	GGA/GAG/AGG	GENOMAD.087802.PC	0.0001041	47	0	1	0	1	NA	MOBP1	NA	PF03432	Relaxase/Mobilisation nuclease domain
k121_217934_5	3997	4278	282	-1	0.415	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1879327_1	1	297	297	1	0.428	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1879327_2	496	903	408	1	0.453	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1879327_3	1076	1333	258	1	0.403	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1879327_4	1880	2539	660	1	0.398	11	None	GENOMAD.076591.PP	0.0005392	43	0	1	0	1	NA	NA	NA	K12212	NA
k121_982292_1	1	732	732	1	0.583	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_982292_2	725	1933	1209	1	0.555	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
