ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_1070703	62687	NA	73	0.0	yes	0	0	0	0	0	0	0	0
k121_1071093	4068	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1070940	3078	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_47450	2800	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1070898	2684	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_465220	2384	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_219855	2320	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1070750	2320	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_177817	2267	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_517202	1948	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_840558	1849	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1027027	1833	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_687613	1767	NA	2	0.1	no	0	0	0	0	0	0	0	1
k121_756015	1754	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1071260	1740	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1070780	1463	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1073180	1459	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_780200	1440	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_549702	1406	NA	2	0.0	no	0	1	0	0	0	0	0	0
k121_572258	1364	NA	2	0.3	no	0	0	0	0	0	0	0	1
k121_1071169	1360	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_218831	1332	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_769004	1240	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1072512	1240	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1072399	1166	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1072258	1149	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_782694	1121	NA	1	0.1	no	0	0	0	0	0	0	0	1
k121_1072092	1095	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_384153	1055	NA	1	17.8	no	0	0	0	0	0	0	0	1
k121_1070960	1051	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_729309	1036	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_889066	1015	NA	1	0.0	yes	0	0	0	0	0	0	0	0
