,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
24,k121_1740708,4926,,4,0.0,no,0,0,1,0,0,0,0,0
35,k121_12270,4585,,4,0.0,no,0,0,1,0,0,0,0,0
48,k121_163998,3929,,2,0.0,no,0,0,1,0,0,0,0,0
76,k121_246761,2583,,1,0.0,no,0,0,1,0,0,0,0,0
80,k121_984093,2527,,3,0.3,no,0,0,0,0,0,0,0,1
89,k121_1498321,2385,,3,0.1,no,0,0,0,0,0,0,0,1
107,k121_125685,2028,,4,0.5,no,0,0,1,0,0,0,0,1
147,k121_1287279,1608,,2,0.0,no,0,0,1,0,0,0,0,0
166,k121_8146,1484,,1,0.2,no,0,0,0,0,0,0,0,1
223,k121_929248,1258,,1,0.1,no,0,0,0,0,0,0,0,1
299,k121_659420,1032,,1,4.5,no,0,0,0,0,0,0,0,1
