ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_14985	36840	NA	53	0.0	yes	0	0	0	0	0	0	0	0
k121_1168963	20810	NA	31	0.0	yes	0	0	0	0	0	0	0	0
k121_914627	11580	NA	6	0.0	no	0	0	1	0	0	0	0	0
k121_905476	7995	NA	9	0.0	no	0	0	1	0	0	0	0	0
k121_1055872	6595	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1168818	6240	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1168884	6155	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_431218	6123	NA	12	0.0	no	0	0	1	0	0	0	0	0
k121_1169496	5441	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1169045	4965	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1169619	4354	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1168845	4175	NA	4	0.0	yes	0	0	1	0	0	0	0	0
k121_461515	4152	NA	3	6.8	no	1	0	0	0	0	0	0	0
k121_1170074	3995	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1170053	3868	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1169168	3839	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_797621	3820	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_361309	3671	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_1169472	3461	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1169134	3314	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_524799	3227	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1169070	3094	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1168852	3092	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1055108	3017	NA	3	0.0	yes	0	0	1	0	0	0	0	0
k121_996590	2851	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1169248	2747	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_803887	2700	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1170367	2670	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1169060	2596	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1169405	2475	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1170306	2458	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1169830	2438	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_559354	2434	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1169735	2363	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_225062	2346	NA	3	0.0	no	0	0	1	0	0	0	0	0
k121_388338	2269	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_970365	2209	NA	2	26.6	no	0	0	0	0	0	0	0	0
k121_1169353	2194	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1169064	2188	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1169601	2179	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1169572	2175	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1169595	2166	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_513214	2122	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1169075	2107	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_495580	2082	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1169404	2075	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1169899	2045	NA	2	0.0	yes	0	0	1	0	0	0	0	0
k121_113334	2026	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_833163	1986	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_390606	1973	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1169640	1969	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_202089	1924	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1169328	1912	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_509704	1879	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_939123	1852	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1169622	1848	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1171983	1847	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1093397	1791	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1169877	1787	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1046847	1731	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1100151	1704	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1169162	1680	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1169040	1669	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1170682	1642	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1169186	1641	NA	2	0.0	yes	0	0	0	0	0	0	1	0
k121_995392	1635	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_202450	1619	NA	1	-0.8	no	1	0	0	0	0	0	0	0
k121_1100869	1612	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1086048	1603	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_324154	1601	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_91511	1597	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1169397	1587	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1101837	1573	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_636022	1570	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_634737	1561	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1100064	1560	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1169214	1546	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_83039	1543	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1169320	1525	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1135005	1510	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1170122	1464	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1124156	1437	NA	1	0.1	no	0	0	0	0	0	0	0	1
k121_1170473	1424	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_686351	1413	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_283725	1404	NA	2	9.8	no	0	0	0	0	0	0	0	0
k121_710876	1400	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1169069	1395	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_302861	1372	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_673434	1358	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_822315	1336	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_257977	1332	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_392097	1321	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_741064	1316	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1171230	1311	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1168821	1306	NA	1	0.0	yes	0	0	0	1	0	0	0	0
k121_141288	1273	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_94511	1269	NA	1	4.5	no	0	0	0	0	0	0	0	0
k121_218837	1267	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1171881	1265	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_213648	1264	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_100862	1249	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1169100	1234	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_484664	1231	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_908959	1228	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_1041411	1228	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_207625	1222	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1023194	1219	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1169287	1213	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_183531	1212	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_599256	1208	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_210343	1207	NA	1	0.0	yes	0	0	0	0	0	0	1	0
k121_11092	1192	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_290038	1189	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_890406	1184	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_342053	1183	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_305731	1183	NA	2	-0.1	no	0	0	1	0	0	0	0	0
k121_595327	1179	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_615639	1177	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1169852	1174	NA	3	0.0	yes	0	0	0	0	0	0	0	0
