gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_874487_1	2	1030	1029	-1	0.680	11	GGA/GAG/AGG	GENOMAD.065561.PP	5.83e-08	57	0	1	0	1	NA	MOBQ	NA	PF03389;TIGR02768;COG0507	MobA/MobL family
k121_874487_2	1237	1422	186	1	0.570	11	GGA/GAG/AGG	GENOMAD.048732.PP	1.707e-06	45	0	1	0	1	NA	NA	NA	PF12958	NA
k121_947454_1	2	493	492	1	0.667	11	None	GENOMAD.094265.PC	1.988e-22	96	0	1	0	1	NA	T_virB8	NA	PF04335;K12081;COG3736;TIGR03781	VirB8 protein
k121_947454_2	490	999	510	1	0.702	11	GGAG/GAGG	GENOMAD.110958.PC	1.892e-69	232	0	1	0	1	NA	T_virB9	NA	PF03524;K03204;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
k121_2039078_1	1	312	312	1	0.644	11	None	GENOMAD.126782.PC	1.601e-16	76	0	1	0	1	NA	NA	NA	PF14319;COG5655	Transposase zinc-binding domain
k121_2039078_2	358	1608	1251	1	0.691	11	GGGGGT	GENOMAD.096843.PC	3.1e-22	103	0	0	0	1	NA	NA	NA	NA	NA
k121_2039078_3	1781	2329	549	1	0.694	11	GGG	GENOMAD.079772.PC	5.693e-16	78	0	0	0	1	NA	NA	NA	NA	NA
k121_366678_1	1	267	267	1	0.659	11	None	GENOMAD.061974.PP	1.031e-14	70	0	0	0	1	NA	NA	NA	COG2929	Uncharacterized conserved protein, DUF497 family
k121_366678_2	264	635	372	1	0.683	11	AGGAG	GENOMAD.053315.PP	1.563e-41	149	0	1	0	1	NA	NA	NA	PF09274;TIGR04563;COG3905	ParG
k121_148443_1	3	182	180	1	0.700	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_148443_2	185	916	732	1	0.639	11	GGA/GAG/AGG	GENOMAD.102021.PC	1.305e-45	167	0	1	0	1	NA	T_virB8	NA	PF04335;COG3736;K12081;TIGR03781	Type IV secretory pathway, component VirB8
k121_148443_3	913	1143	231	1	0.619	11	GGAG/GAGG	GENOMAD.112644.PC	1.056e-09	55	0	1	0	1	NA	T_virB9	NA	PF03524;K03204;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
k121_1094702_1	1	231	231	1	0.593	11	None	GENOMAD.059201.PP	1.121e-38	138	0	1	0	1	NA	F_traL	NA	PF07178;K12068;TIGR02762	type IV conjugative transfer system protein TraL
k121_1094702_2	238	807	570	1	0.612	11	None	GENOMAD.030647.PP	8.241e-36	136	0	1	0	1	NA	F_traE	NA	PF05309;K12067;TIGR02761	type IV conjugative transfer system protein TraE
k121_1094702_3	804	1529	726	1	0.640	11	AGGAGG	GENOMAD.094453.PP	1.137e-92	303	0	1	0	1	NA	F_traK	NA	PF06586;TIGR02756;K12066	type-F conjugative transfer system secretin TraK
k121_2258722_1	2	271	270	1	0.656	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2258722_2	268	630	363	1	0.603	11	GGAG/GAGG	GENOMAD.116477.PC	8.287e-47	164	0	1	0	1	NA	T_virB2	NA	PF04956;K20528;COG3838	Type IV secretory pathway, VirB2 components (pilins)
k121_2258722_3	627	911	285	1	0.674	11	GGxGG	GENOMAD.127310.PC	1.793e-42	150	0	1	0	1	NA	T_virB3	NA	PF05101;COG5268;K03198	Type IV secretory pathway, TrbD component
k121_2258722_4	922	1005	84	1	0.631	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_4421_1	3	128	126	-1	0.405	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_4421_2	186	1214	1029	-1	0.452	11	None	GENOMAD.068637.PP	1.129e-28	121	0	1	0	1	NA	T_virB6	NA	PF04610;COG3704;K03201;TIGR02783	Type IV secretory pathway, VirB6 components
k121_1532073_1	1	798	798	-1	0.417	11	AGGAG	GENOMAD.065209.PP	9.484e-20	92	0	1	0	1	NA	NA	NA	PF06406;TIGR03739;K18640;COG1077	PRTRC system protein D
k121_2114264_1	2	115	114	-1	0.649	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2114264_2	112	1296	1185	-1	0.677	11	GGAGG	GENOMAD.035215.PP	2.338e-22	103	0	1	0	1	NA	F_traV	NA	PF09676;K12064;TIGR02747	type IV conjugative transfer system lipoprotein TraV
k121_2114264_3	1293	1397	105	-1	0.676	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_77548_1	2	1300	1299	-1	0.644	11	None	GENOMAD.148395.PC	3.031e-20	97	0	1	0	1	NA	NA	NA	PF03432	Relaxase/Mobilisation nuclease domain
k121_77548_2	1297	1653	357	-1	0.711	11	GGA/GAG/AGG	GENOMAD.147419.PV	1.359e-07	51	0	1	0	1	NA	NA	NA	PF19514	MobC-like protein
k121_77548_3	1637	2416	780	-1	0.604	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_77548_4	3033	4325	1293	-1	0.584	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_77548_5	4410	4757	348	-1	0.624	11	GGAG/GAGG	GENOMAD.212800.PV	7.109e-14	69	0	0	0	1	NA	NA	NA	PF07764;COG4877;TIGR02384	Omega Transcriptional Repressor
k121_77548_6	4754	5404	651	-1	0.621	11	4Base/6BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_77548_7	5579	5947	369	-1	0.491	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_77548_8	6447	7643	1197	1	0.657	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_659817_1	1	186	186	1	0.296	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_659817_2	358	1725	1368	1	0.406	11	AAA	GENOMAD.076695.PP	2.242e-31	132	0	1	0	1	NA	MOBP1	NA	PF03432;K18434;COG3843	Type IV secretory pathway, VirD2 components (relaxase)
k121_659817_3	1912	2247	336	1	0.393	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_659817_4	2237	3490	1254	1	0.424	11	AAAAA	GENOMAD.180673.PC	3.041e-06	52	0	0	0	1	NA	NA	NA	PF07804;PF13657;COG3550;K07154;TIGR03071	Serine/threonine protein kinase HipA, toxin component of the HipAB toxin-antitoxin module
k121_659817_5	3731	4240	510	-1	0.359	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1751521_1	3	506	504	-1	0.663	11	GGAGG	GENOMAD.035215.PP	2.485e-21	93	0	1	0	1	NA	F_traV	NA	PF09676;K12064;TIGR02747	type IV conjugative transfer system lipoprotein TraV
k121_1751521_2	503	622	120	-1	0.633	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1751521_3	619	1497	879	-1	0.633	11	GGAG/GAGG	GENOMAD.145481.PC	2.296e-109	354	0	0	0	1	NA	NA	NA	PF13462;PF10411;K03981;COG1651;TIGR01126	Protein-disulfide isomerase
k121_1751521_4	1494	2795	1302	-1	0.633	11	GGAG/GAGG	GENOMAD.093643.PC	1.362e-157	501	0	1	0	1	NA	NA	NA	K12065	NA
k121_1751521_5	2930	3670	741	-1	0.622	11	AGGAG	GENOMAD.094453.PP	5.827e-94	307	0	1	0	1	NA	F_traK	NA	PF06586;TIGR02756;K12066	type-F conjugative transfer system secretin TraK
k121_1751521_6	3667	4236	570	-1	0.574	11	None	GENOMAD.030647.PP	1.543e-37	141	0	1	0	1	NA	F_traE	NA	PF05309;K12067;TIGR02761	type IV conjugative transfer system protein TraE
k121_1751521_7	4242	4529	288	-1	0.580	11	4Base/6BMM	GENOMAD.059201.PP	7.543e-52	177	0	1	0	1	NA	F_traL	NA	PF07178;K12068;TIGR02762	type IV conjugative transfer system protein TraL
k121_1751521_8	4560	4877	318	-1	0.667	11	AGGAG	GENOMAD.034769.PP	5.576e-36	132	0	1	0	1	NA	NA	NA	K12069;COG3838	NA
k121_1751521_9	5150	5557	408	1	0.564	11	AGGAG/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1751521_10	5624	6094	471	1	0.558	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1751521_11	6209	6937	729	1	0.557	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1751521_12	7473	8732	1260	1	0.590	11	GGAGG	GENOMAD.152551.PV	1.508e-06	53	0	1	0	2561	Caudoviricetes	NA	NA	PF11800	Replication protein C C-terminal region
k121_2554230_1	2	388	387	-1	0.638	11	None	GENOMAD.099181.PC	4.809e-15	73	0	1	0	1	NA	T_virB6	NA	COG3704;K03201	Type IV secretory pathway, VirB6 components
k121_2554230_2	413	1150	738	1	0.671	11	GGA/GAG/AGG	GENOMAD.083435.PC	5.866e-12	68	0	1	0	1	NA	T_virB5	NA	PF07996;K03200;TIGR02791;COG5314	Type IV secretion system proteins
k121_2554230_3	1160	1225	66	1	0.591	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_157111_1	3	776	774	1	0.553	11	None	GENOMAD.065561.PP	1.644e-13	73	0	1	0	1	NA	MOBQ	NA	PF03389;TIGR02768;COG0507	MobA/MobL family
k121_157111_2	791	1069	279	1	0.534	11	GGA/GAG/AGG	GENOMAD.030372.PP	2.269e-31	118	0	0	0	1	NA	NA	NA	NA	NA
k121_303995_1	2	691	690	-1	0.671	11	GGA/GAG/AGG	GENOMAD.102021.PC	3.224e-24	104	0	1	0	1	NA	T_virB8	NA	PF04335;COG3736;K12081;TIGR03781	Type IV secretory pathway, component VirB8
k121_303995_2	688	903	216	-1	0.704	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_303995_3	900	1454	555	-1	0.674	11	None	GENOMAD.104211.PC	6.661e-14	72	0	1	0	1	NA	T_virB6	NA	PF04610;COG3704;K03201;TIGR02783	Type IV secretory pathway, VirB6 components
k121_815705_1	3	761	759	-1	0.361	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_2	754	993	240	-1	0.362	11	TAA	GENOMAD.158810.VV	0.0002156	40	0	0	0	2561	Caudoviricetes	NA	NA	PF13986	NA
k121_815705_3	1005	1169	165	-1	0.285	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_4	1247	1504	258	-1	0.326	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_5	1622	2698	1077	1	0.326	11	TAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_6	2702	4162	1461	-1	0.353	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_7	4163	4867	705	-1	0.339	11	AAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_8	5065	6033	969	1	0.386	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_9	5996	6481	486	1	0.360	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_10	6475	6657	183	1	0.355	11	TAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_11	6651	6845	195	1	0.395	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_12	6871	7059	189	1	0.307	11	AATAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_13	7056	7754	699	1	0.359	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_14	7793	8086	294	1	0.395	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_15	8100	10781	2682	1	0.372	11	TAA	GENOMAD.108687.PC	5.502e-64	241	0	1	0	1	NA	virb4	NA	PF19044;PF03135;PF05101;K03199;TIGR00929;COG3451	type IV secretion/conjugal transfer ATPase, VirB4 family
k121_815705_16	10778	11476	699	1	0.363	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_17	11604	12650	1047	1	0.380	11	AAAA	GENOMAD.107966.PC	8.027e-10	63	0	1	0	1	NA	T_virB6	NA	COG3704	Type IV secretory pathway, VirB6 components
k121_815705_18	12654	13409	756	1	0.344	11	AAAAAA	GENOMAD.102021.PC	1.51e-15	79	0	1	0	1	NA	T_virB8	NA	PF04335;COG3736;K12081;TIGR03781	Type IV secretory pathway, component VirB8
k121_815705_19	13419	14174	756	1	0.361	11	TAA	GENOMAD.109949.PC	1.368e-22	100	0	1	0	1	NA	T_virB9	NA	PF03524;K03204;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
k121_815705_20	14186	15235	1050	1	0.396	11	TAA	GENOMAD.106848.PC	2.275e-41	159	0	1	0	1	NA	T_virB10	NA	PF03743	Bacterial conjugation TrbI-like protein
k121_815705_21	15237	16241	1005	1	0.366	11	None	GENOMAD.005978.CC	6.774e-17	85	0	0	0	1	NA	T_virB11	NA	PF00437;PF05810;K07332;TIGR03819;COG4962	helicase/secretion neighborhood ATPase
k121_815705_22	16214	17965	1752	1	0.381	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_23	17982	19658	1677	-1	0.290	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_24	19819	20118	300	-1	0.307	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_25	20202	21251	1050	-1	0.400	11	TAAAA	GENOMAD.076695.PP	2.805e-27	117	0	1	0	1	NA	MOBP1	NA	PF03432;K18434;COG3843	Type IV secretory pathway, VirD2 components (relaxase)
k121_815705_26	21248	21616	369	-1	0.412	11	TAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_27	21717	21998	282	-1	0.365	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_28	22536	23012	477	1	0.379	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_29	23031	23393	363	-1	0.289	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_30	23490	23822	333	-1	0.378	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_815705_31	23815	24096	282	-1	0.348	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
