,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
0,k121_525146,134120,,152,-0.4,no,0,0,1,0,3,0,0,0
4,k121_290126,56836,,41,-0.5,no,0,0,1,0,0,0,0,0
5,k121_45628,53431,,60,-0.3,no,0,0,1,0,3,0,0,0
26,k121_890854,5390,,8,0.0,no,0,0,1,0,0,0,0,0
27,k121_496716,5181,,2,0.9,no,0,0,0,0,0,0,0,0
28,k121_273799,4693,,5,0.1,no,0,0,1,0,1,0,0,0
35,k121_895650,2629,,2,0.0,no,0,0,1,0,0,0,0,1
36,k121_520652,2604,,3,0.6,no,0,0,0,0,0,0,0,1
38,k121_1133381,2129,,4,10.0,no,0,0,0,0,0,0,0,1
43,k121_1045368,1808,,1,0.0,no,0,0,1,0,0,0,0,0
45,k121_679253,1732,,1,0.1,no,0,0,0,0,0,0,0,1
56,k121_186965,1449,,2,4.2,no,0,0,0,0,0,0,0,1
57,k121_801651,1410,,2,2.6,no,0,0,0,0,0,0,0,1
68,k121_276415,1229,,2,1.8,no,0,0,0,0,0,0,0,0
73,k121_132789,1179,,2,0.1,no,0,0,0,0,0,0,0,1
74,k121_941775,1165,,1,0.4,no,0,0,0,0,0,0,0,1
