gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_1499296_1	1	213	213	-1	0.352	11	AATAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1499296_2	350	1519	1170	-1	0.333	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1499296_3	1503	1886	384	-1	0.370	11	AATAA	GENOMAD.073215.PP	0.0004795	41	0	1	0	1	NA	NA	NA	PF19514	MobC-like protein
k121_1499296_4	2218	2634	417	1	0.357	11	TAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1499296_5	2656	3366	711	1	0.329	11	TAAA	GENOMAD.126298.PC	1.617e-49	178	0	0	0	1	NA	NA	NA	PF10609;K07321;TIGR03371;COG1348	NUBPL iron-transfer P-loop NTPase
k121_1499296_6	3448	3546	99	1	0.313	11	AAAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_158884_1	307	1065	759	1	0.692	11	GGAG/GAGG	GENOMAD.126222.CP	0.0001734	45	0	0	0	1	NA	NA	NA	PF07840;TIGR03338;K22293;COG1802	phosphonate utilization associated transcriptional regulator
k121_158884_2	1098	2066	969	-1	0.708	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_158884_3	2063	3130	1068	-1	0.676	11	AGGAG	GENOMAD.178979.PC	9.279e-63	222	0	0	0	1	NA	NA	NA	PF19112	Vanillate O-demethylase oxygenase C-terminal domain
k121_158884_4	3258	4304	1047	1	0.687	11	GGAG/GAGG	GENOMAD.147295.CP	2.989e-14	77	0	0	0	1	NA	NA	NA	PF14525;PF12833;K14063;TIGR02297;COG2207	4-hydroxyphenylacetate catabolism regulatory protein HpaA
k121_158884_5	4597	4836	240	1	0.675	11	None	GENOMAD.160466.PC	5.488e-17	76	0	0	0	1	NA	NA	NA	PF03693;TIGR02606;COG3609;K07722	putative addiction module antidote protein, CC2985 family
k121_158884_6	4833	5153	321	1	0.629	11	None	GENOMAD.196233.PC	7.844e-41	146	0	1	0	1	NA	NA	NA	PF05016;K19093;COG3668	Plasmid stabilization system protein ParE
k121_158884_7	5187	6218	1032	-1	0.706	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_158884_8	6238	7062	825	-1	0.716	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_158884_9	7059	7592	534	-1	0.669	11	AGGAG	GENOMAD.196562.PC	3.284e-67	226	0	0	0	1	NA	NA	NA	PF12973;K05913	ChrR Cupin-like domain
k121_158884_10	7628	8689	1062	-1	0.688	11	GGA/GAG/AGG	GENOMAD.118421.CP	6.457e-172	538	0	0	0	1	NA	NA	NA	K01998;COG0559	Branched-chain amino acid ABC-type transport system, permease component
k121_158884_11	8695	9555	861	-1	0.704	11	GGAG/GAGG	GENOMAD.117299.CP	3.225e-23	103	0	0	0	1	NA	NA	NA	PF02653;K11956;COG4177;TIGR03622	ABC-type branched-chain amino acid transport system, permease component
k121_158884_12	9542	10288	747	-1	0.695	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_158884_13	10285	11019	735	-1	0.687	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_158884_14	11025	12350	1326	-1	0.660	11	GGAG/GAGG	GENOMAD.168002.CP	1.06e-82	284	0	0	0	1	NA	NA	NA	PF13433;TIGR03407;K01999;COG0683	urea ABC transporter, urea binding protein
k121_158884_15	12437	13177	741	-1	0.711	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_158884_16	13477	13770	294	-1	0.595	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_158884_17	13924	14802	879	-1	0.701	11	None	GENOMAD.166293.CP	1.103e-10	65	0	0	0	1	NA	NA	NA	PF08450;K01053;TIGR03866;COG2133	SMP-30/Gluconolactonase/LRE-like region
k121_158884_18	14974	15657	684	-1	0.664	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
