gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_1252046_1	116	556	441	1	0.458	11	AGGA	GENOMAD.020425.PP	2.359e-12	66	0	1	0	1	NA	T_virB2	NA	PF04956;K03197;COG3838	TrbC/VIRB2 pilin
k121_1252046_2	778	1083	306	1	0.399	11	GGA/GAG/AGG	GENOMAD.048140.PP	1.808e-14	70	0	1	0	1	NA	T_virB3	NA	PF05101;K03198;COG3702	Type IV secretory pathway, VirB3 components
k121_1513248_1	316	498	183	-1	0.426	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1513248_2	511	1035	525	-1	0.419	11	None	GENOMAD.118451.PC	4.17e-37	139	0	0	0	1	NA	NA	NA	PF06782;COG3328;K07493	Transposase (or an inactivated derivative)
k121_1513248_3	1077	1601	525	-1	0.423	11	None	GENOMAD.147966.PC	2.724e-10	61	0	0	0	1	NA	NA	NA	PF07929	Plasmid pRiA4b ORF-3-like protein
k121_1513248_4	1552	1788	237	-1	0.443	11	None	GENOMAD.147966.PC	1.637e-06	46	0	0	0	1	NA	NA	NA	PF07929	Plasmid pRiA4b ORF-3-like protein
k121_1513248_5	1793	2029	237	-1	0.422	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1513248_6	2330	3121	792	1	0.371	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1513248_7	3349	3957	609	1	0.394	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1513248_8	4304	7687	3384	1	0.435	11	None	GENOMAD.037241.PP	0.000386	47	0	0	0	1	NA	NA	NA	NA	NA
k121_1513248_9	7687	8145	459	1	0.418	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1513248_10	8159	8620	462	-1	0.424	11	None	GENOMAD.074351.PP	6.178e-23	97	0	0	0	1	NA	NA	NA	NA	NA
k121_1513248_11	8617	9936	1320	-1	0.388	11	None	GENOMAD.157866.PC	9.497e-127	412	0	1	0	1	NA	NA	NA	PF06406;TIGR03739;K18640	PRTRC system protein D
