gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_1670960_1	1	1005	1005	-1	0.314	11	None	GENOMAD.015439.PP	3.544e-05	48	0	1	0	1	NA	NA	NA	PF01051;COG5527	Protein involved in initiation of plasmid replication
k121_1670960_2	1084	1260	177	-1	0.322	11	AAAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1670960_3	1620	1799	180	-1	0.300	11	AATAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2575328_1	36	485	450	1	0.433	11	None	GENOMAD.213689.CP	7.999e-05	44	0	0	0	1	NA	NA	NA	PF17206;COG4877;TIGR04563	Predicted DNA-binding protein with an HTH domain
k121_2575328_2	508	1437	930	1	0.437	11	None	GENOMAD.127132.PV	1.485e-05	49	0	1	0	1	NA	MOBP1	NA	PF03432	Relaxase/Mobilisation nuclease domain
k121_2088802_1	3	662	660	-1	0.432	11	GGA/GAG/AGG	GENOMAD.136080.PC	1.235e-34	134	0	1	0	1	NA	t4cp1	NA	PF02534;COG3505;TIGR02767;K03205	Type IV secretory pathway, VirD4 component, TraG/TraD family ATPase
k121_2088802_2	674	2404	1731	-1	0.426	11	AGGA	GENOMAD.154272.PC	4.552e-21	101	0	0	0	1	NA	C_alr7212	NA	NA	NA
k121_2088802_3	2521	3204	684	-1	0.420	11	GGA/GAG/AGG	GENOMAD.123532.PC	1.935e-12	69	0	0	0	1	NA	C_alr7211	NA	NA	NA
k121_2088802_4	3228	4688	1461	-1	0.419	11	None	GENOMAD.154901.PC	2.004e-19	95	0	1	0	1	NA	C_alr7210	NA	PF03743	Bacterial conjugation TrbI-like protein
k121_2088802_5	4722	5483	762	-1	0.402	11	None	GENOMAD.166478.PC	1.692e-35	138	0	1	0	1	NA	C_alr7209	NA	PF11393	NA
k121_2088802_6	5493	6581	1089	-1	0.438	11	AGGA	GENOMAD.114573.PP	7.149e-14	76	0	0	0	1	NA	C_alr7208	NA	NA	NA
