seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_2033924	2327	DTR	4	11	0.9989	0.0011	1	4.8581	NA	NA
k121_452014	2960	No terminal repeats	3	11	0.9988	0.0012	2	3.4339	MOBP1	NA
k121_1651402	2897	No terminal repeats	5	11	0.9988	0.0012	2	4.1397	NA	NA
k121_1050927	1426	No terminal repeats	2	11	0.9988	0.0012	1	3.4366	NA	NA
k121_412503	4228	No terminal repeats	2	11	0.9988	0.0012	1	1.7183	MOBF	NA
k121_565360	2903	No terminal repeats	6	11	0.9988	0.0012	3	3.3844	MOBP1	NA
k121_929159	3284	No terminal repeats	5	11	0.9988	0.0012	1	2.0073	NA	NA
k121_1222500	1590	No terminal repeats	2	11	0.9988	0.0012	2	2.6648	F_traV;virb4	NA
k121_403021	2767	No terminal repeats	3	11	0.9987	0.0012	1	1.7183	NA	NA
k121_361355	1679	No terminal repeats	2	11	0.9987	0.0012	1	1.7183	I_traW	NA
k121_990965	2127	No terminal repeats	3	11	0.9987	0.0012	1	2.5651	NA	NA
k121_1873107	2805	No terminal repeats	3	11	0.9987	0.0012	3	3.9863	T_virB2;T_virB3;virb4	NA
k121_1002940	2413	No terminal repeats	3	11	0.9987	0.0012	1	2.6136	NA	NA
k121_992030	4268	No terminal repeats	3	11	0.9987	0.0012	2	2.5091	F_traH;F_traG	NA
k121_1931637	1874	No terminal repeats	3	11	0.9986	0.0012	2	2.6906	T_virB2;virb4	NA
k121_336444	1121	No terminal repeats	2	11	0.9986	0.0013	2	2.7964	T_virB8;T_virB6	NA
k121_1197603	3487	No terminal repeats	5	11	0.9986	0.0013	1	3.4446	NA	NA
k121_1541591	1533	No terminal repeats	2	11	0.9986	0.0013	2	2.6906	virb4;T_virB3	NA
k121_386130	1362	No terminal repeats	2	11	0.9986	0.0013	1	1.7183	NA	NA
k121_1960069	1674	No terminal repeats	3	11	0.9985	0.0013	1	1.7183	NA	NA
k121_443263	1416	No terminal repeats	3	11	0.9985	0.0013	2	2.9200	F_traH	NA
k121_188147	1401	No terminal repeats	2	11	0.9985	0.0013	1	3.2536	I_traL	NA
k121_584325	2203	No terminal repeats	2	11	0.9985	0.0013	1	1.7183	MOBP1	NA
k121_1105740	1091	No terminal repeats	3	11	0.9985	0.0013	3	4.4693	F_traL;F_traE;F_traK	NA
k121_2003355	1398	No terminal repeats	3	11	0.9985	0.0013	1	1.7166	NA	NA
k121_1707025	1189	No terminal repeats	4	11	0.9985	0.0013	1	2.3719	NA	NA
k121_1997092	1728	No terminal repeats	3	11	0.9984	0.0013	2	2.6906	virb4	NA
k121_150792	3809	No terminal repeats	3	11	0.9984	0.0014	1	1.5160	NA	NA
k121_793464	1234	No terminal repeats	3	11	0.9984	0.0014	1	3.4182	T_virB2	NA
k121_695881	1948	No terminal repeats	4	11	0.9983	0.0014	1	1.7183	NA	NA
k121_1673461	1636	No terminal repeats	2	11	0.9983	0.0014	1	1.7137	NA	NA
k121_1144283	2487	No terminal repeats	3	11	0.9982	0.0014	1	1.5675	NA	NA
k121_1610438	1509	No terminal repeats	2	11	0.9982	0.0014	2	2.4284	F_traH;F_traF	NA
k121_487413	1538	No terminal repeats	2	11	0.9982	0.0014	2	2.5290	T_virB8;T_virB9	NA
k121_542168	3452	No terminal repeats	4	11	0.9980	0.0014	2	2.6904	T_virB5;T_virB6	NA
k121_583961	1654	No terminal repeats	1	11	0.9980	0.0015	1	1.7134	NA	NA
k121_322807	1120	No terminal repeats	2	11	0.9980	0.0015	1	1.7137	NA	NA
k121_750196	2008	No terminal repeats	3	11	0.9980	0.0015	1	2.9780	T_virB6	NA
k121_1060961	1029	No terminal repeats	1	11	0.9979	0.0015	1	1.5023	NA	NA
k121_407057	2037	No terminal repeats	4	11	0.9978	0.0015	2	4.1371	F_traH;F_traF	NA
k121_1353958	1726	No terminal repeats	4	11	0.9975	0.0015	3	4.1744	F_traU;F_traW	NA
k121_1875654	1115	No terminal repeats	3	11	0.9973	0.0016	2	2.9420	F_traE;F_traL	NA
k121_1721153	1484	No terminal repeats	3	11	0.9973	0.0016	2	3.1823	MOBP1	NA
k121_944034	7636	No terminal repeats	8	11	0.9973	0.0016	4	4.0710	T_virB3;virb4;T_virB6	NA
k121_1096376	1055	No terminal repeats	2	11	0.9969	0.0017	2	2.7021	T_virB5;T_virB8	NA
k121_1819435	1495	No terminal repeats	3	11	0.9967	0.0017	1	1.7137	NA	NA
k121_836057	1121	No terminal repeats	2	11	0.9965	0.0017	1	2.9626	T_virB6	NA
k121_1678011	4945	No terminal repeats	3	11	0.9958	0.0018	1	3.4696	NA	NA
k121_1213693	1260	No terminal repeats	3	11	0.9955	0.0018	2	2.2801	T_virB3;T_virB2	NA
k121_740667	1079	No terminal repeats	2	11	0.9941	0.0019	2	2.7964	T_virB6;T_virB8	NA
k121_1001590	1312	No terminal repeats	3	11	0.9932	0.0020	2	2.4653	F_traW;F_traU	NA
k121_1052860	1156	No terminal repeats	4	11	0.9932	0.0021	2	3.4366	T_virB2;T_virB3	NA
k121_1599425	1221	No terminal repeats	2	11	0.9894	0.0023	2	2.7797	T_virB6;T_virB5	NA
k121_418516	4480	No terminal repeats	5	11	0.9893	0.0024	1	1.5314	NA	NA
k121_387044	2227	No terminal repeats	2	11	0.9878	0.0026	2	2.7853	t4cp1	NA
k121_599867	2830	No terminal repeats	5	11	0.9806	0.0029	3	3.7006	F_traU;F_traW	NA
k121_1484735	1200	No terminal repeats	3	11	0.9771	0.0033	1	1.6385	NA	NA
k121_1071136	1127	No terminal repeats	4	11	0.9640	0.0038	1	3.1038	NA	NA
k121_763216	1891	No terminal repeats	4	11	0.9636	0.0044	1	1.7044	F_traL	NA
k121_1584156	2769	No terminal repeats	7	11	0.9597	0.0050	1	3.1038	NA	NA
k121_1351268	1493	No terminal repeats	3	11	0.9523	0.0057	1	1.7137	NA	NA
k121_155753	1401	No terminal repeats	2	11	0.9393	0.0066	1	1.5023	NA	NA
k121_419337	1806	No terminal repeats	4	11	0.9386	0.0074	2	2.6617	MOBQ	NA
k121_1490362	1100	No terminal repeats	1	11	0.9162	0.0086	1	1.5023	NA	NA
k121_1593481	1415	No terminal repeats	2	11	0.8226	0.0112	2	2.1526	T_virB9;T_virB8	NA
k121_873138	1073	No terminal repeats	2	11	0.8019	0.0140	1	2.0818	T_virB9	NA
