ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_1770332	36185	NA	33	0.0	no	0	1	0	0	0	0	0	0
k121_1648606	24539	NA	26	0.0	yes	0	0	0	0	0	0	0	0
k121_1527877	22100	NA	19	0.0	no	0	1	0	0	0	0	0	0
k121_619055	15739	NA	19	0.0	no	0	0	1	0	0	0	0	0
k121_1532788	12267	NA	11	0.0	no	0	0	1	0	0	0	0	0
k121_1698875	10821	NA	23	0.0	yes	0	0	0	0	0	0	0	0
k121_1420508	8262	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_1368649	8115	NA	10	-0.1	no	0	0	1	0	0	0	0	0
k121_1529952	7817	NA	8	0.0	no	0	0	1	0	0	0	0	0
k121_411227	7790	NA	14	0.0	yes	0	0	0	0	0	0	0	0
k121_955425	7656	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_269611	7653	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_606092	7060	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1470310	6720	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1324900	6719	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1521249	6598	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1616338	6454	NA	6	0.0	no	0	0	1	0	1	0	0	0
k121_1609150	6436	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1315287	6427	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1202052	6346	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1897861	6313	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_964924	6289	NA	1	0.0	yes	0	0	0	0	0	0	2	0
k121_606569	6162	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1896216	6044	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1652185	6011	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1662256	5960	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_578205	5875	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_656094	5851	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_721149	5845	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1501640	5826	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_907227	5788	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_301963	5702	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1253609	5663	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1895969	5625	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1857105	5577	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1895954	5558	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_926544	5507	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1895902	5372	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_828916	5299	NA	4	0.0	no	0	1	0	0	0	0	0	0
k121_1571520	5193	NA	5	0.0	no	0	0	1	0	0	0	0	0
k121_1896445	5191	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1293233	5112	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_123819	5058	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1896106	5005	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_142600	4940	NA	3	0.0	no	0	0	1	0	0	0	0	0
k121_1896430	4828	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_496041	4756	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1607170	4754	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_532067	4599	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_217934	4483	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_1895994	4456	NA	8	0.3	yes	0	0	1	0	0	0	0	0
k121_473358	4304	NA	6	0.0	no	0	0	1	0	0	0	0	0
k121_368950	4260	NA	6	0.0	no	0	0	1	0	0	0	0	0
k121_916058	4091	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_369256	4041	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1200422	3904	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1539831	3888	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_1896398	3836	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1896373	3651	NA	4	0.0	yes	0	0	1	0	1	0	0	0
k121_1896168	3650	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_141776	3535	NA	5	0.0	no	0	1	0	0	0	0	0	0
k121_962715	3511	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1897357	3426	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_963402	3414	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_474110	3361	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1896786	3213	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1896523	3209	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_64963	3124	NA	2	0.2	no	0	0	0	0	0	0	0	1
k121_1897593	3059	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1897660	3037	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1896018	3001	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1897767	2973	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1779874	2947	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1896973	2852	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1896882	2842	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1896141	2832	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1550607	2766	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_963688	2731	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_106653	2696	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1896267	2624	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1270853	2569	NA	1	0.0	no	0	1	0	0	0	0	0	0
k121_1896089	2552	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1895989	2549	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1896071	2515	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1896000	2411	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_848534	2399	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1708746	2391	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1896290	2317	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1895956	2313	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1895943	2302	NA	2	0.0	yes	0	0	1	0	0	0	0	0
k121_1896299	2294	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1863752	2246	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_1795700	2228	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_87738	2225	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1896052	2220	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1104520	2201	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1895931	2150	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1895898	2149	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_144966	2148	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1896045	2144	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1118890	2136	NA	1	7.1	no	0	0	0	0	0	0	0	1
k121_1896175	2113	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_819363	2104	NA	1	0.1	no	0	0	0	0	0	0	0	1
k121_1008948	2069	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1896228	2068	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1896225	2059	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1896330	2059	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1896767	2059	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1283670	2033	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1178864	2019	NA	1	0.0	no	0	1	0	0	0	0	0	0
k121_1899433	2009	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_423353	2001	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1895892	1996	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1852534	1994	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1897816	1985	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_68880	1940	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_670542	1923	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_524720	1908	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_1895921	1903	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1509245	1879	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_337177	1871	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1896193	1871	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_348966	1846	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1898091	1838	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_226127	1830	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_415066	1825	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1662452	1816	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1896051	1806	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1897747	1801	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1896293	1757	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_311355	1755	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1615831	1754	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1549280	1742	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1265541	1736	NA	2	0.0	no	0	1	0	0	0	0	0	0
k121_1897078	1723	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1899557	1720	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1896704	1712	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1895914	1708	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_949891	1708	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1194775	1684	NA	1	0.1	no	0	0	0	0	0	0	0	1
k121_171128	1675	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_169856	1663	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_616794	1662	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1896319	1639	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1897856	1639	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1899960	1630	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1896322	1627	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1535502	1619	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_57625	1616	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_874235	1612	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1413331	1611	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_1901068	1607	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1772281	1606	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_727148	1604	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1900962	1600	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1896718	1599	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1852808	1594	NA	2	0.1	no	0	1	0	0	0	0	0	0
k121_1895903	1588	NA	1	0.0	yes	0	0	0	0	0	0	0	0
