ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_1745642	223164	NA	257	0.0	yes	0	0	0	0	0	0	0	0
k121_383216	97408	NA	84	0.0	no	0	0	1	0	3	0	0	0
k121_35074	72629	NA	95	0.0	yes	0	0	0	0	0	0	0	0
k121_2034884	70835	NA	80	0.0	yes	0	0	0	0	0	0	0	0
k121_1898164	63749	NA	83	0.0	yes	0	0	0	0	0	0	0	0
k121_990039	56055	NA	84	0.0	yes	0	0	0	0	0	0	0	0
k121_1282642	55162	NA	63	0.0	yes	0	0	0	0	0	0	0	0
k121_3000536	47543	NA	70	0.0	yes	0	0	0	0	0	0	0	0
k121_3000498	47478	NA	63	0.0	yes	0	0	0	0	0	0	0	0
k121_2996703	45604	NA	69	0.0	yes	0	0	0	0	0	0	0	0
k121_3000481	44995	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_1525860	44897	NA	70	0.0	yes	0	0	0	0	0	0	0	0
k121_3000472	44888	NA	56	0.0	yes	0	0	0	0	0	0	0	0
k121_3000474	44826	NA	52	0.0	yes	0	0	0	0	0	0	0	0
k121_2584559	44127	NA	43	0.0	yes	0	0	0	0	0	0	0	0
k121_2335286	42848	NA	42	0.0	no	0	0	1	0	1	0	0	0
k121_3000508	42450	NA	58	0.0	yes	0	0	0	0	0	0	0	0
k121_3000503	41501	NA	66	0.0	yes	0	0	0	0	0	0	0	0
k121_3000576	40827	NA	53	0.0	yes	0	0	0	0	0	0	0	0
k121_685315	39427	NA	47	0.0	yes	0	0	0	0	0	0	0	0
k121_1095794	39103	NA	60	0.0	yes	0	0	0	0	0	0	0	0
k121_2187776	38551	NA	61	0.0	yes	0	0	0	0	0	0	0	0
k121_2406196	38550	NA	61	0.0	yes	0	0	0	0	0	0	0	0
k121_1954410	38373	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_3000478	37624	NA	59	0.0	yes	0	0	0	0	0	0	0	0
k121_1102987	37526	NA	52	0.0	yes	0	0	0	0	0	0	0	0
k121_3000545	36808	NA	52	0.0	yes	0	0	0	0	0	0	0	0
k121_522505	36551	NA	59	0.0	yes	0	0	0	0	0	0	0	0
k121_3000483	36537	NA	51	0.0	yes	0	0	0	0	0	0	0	0
k121_3000476	35532	NA	51	0.0	yes	0	0	0	0	0	0	0	0
k121_2798073	35257	NA	58	0.0	yes	0	0	0	0	0	0	0	0
k121_1843988	34762	NA	44	0.0	yes	0	0	0	0	0	0	0	0
k121_3000826	33607	NA	52	0.0	yes	0	0	0	0	0	0	0	0
k121_100787	33083	NA	55	0.0	yes	0	0	0	0	0	0	0	0
k121_2656818	29048	NA	35	0.0	no	0	0	1	0	0	0	0	0
k121_2730283	19782	NA	26	0.0	no	0	0	1	0	1	0	0	0
k121_48043	15872	NA	13	0.0	yes	0	0	0	0	0	0	0	0
k121_2222767	15850	NA	24	0.0	yes	0	0	0	0	0	0	0	0
k121_3000546	14257	NA	24	0.0	yes	0	0	0	0	0	0	0	0
k121_2410770	12891	NA	17	0.0	no	0	0	1	0	0	0	0	0
k121_2019476	12754	NA	12	0.3	no	0	0	0	0	0	0	0	1
k121_1898356	12554	NA	13	0.2	no	0	0	0	0	0	0	0	1
k121_3001747	11975	NA	15	0.0	yes	0	0	0	0	0	0	0	0
k121_275354	11294	NA	11	0.2	no	0	0	0	0	0	0	0	1
k121_2767731	10695	NA	22	0.0	yes	0	0	0	0	0	0	0	0
k121_675609	10276	NA	13	0.0	no	0	0	1	0	1	0	0	0
k121_3000479	9837	NA	11	0.0	yes	0	0	0	0	0	0	0	0
k121_3000808	8884	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_1148934	8691	NA	9	0.0	no	0	0	1	0	0	0	0	0
k121_1355813	8267	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_1684051	7767	NA	6	0.0	no	0	1	0	0	0	0	0	0
k121_924464	7704	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2116613	7564	NA	10	0.0	no	0	0	1	0	0	0	0	0
